时间,真实值,预测值
2017-04-28 19:00:00,0.15933874,0.2563038
2017-04-28 19:30:00,0.5294186,0.42395252
2017-04-28 20:00:00,0.43319878,0.3736068
2017-04-28 20:30:00,0.3816619,0.36320806
2017-04-28 21:00:00,0.3545645,0.3577557
2017-04-28 21:30:00,0.4207922,0.3749392
2017-04-28 22:00:00,0.4442427,0.36945167
2017-04-28 22:30:00,0.26832932,0.32786548
2017-04-28 23:00:00,0.42037588,0.3803854
2017-04-28 23:30:00,0.24343498,0.32679787
2017-04-29 00:00:00,0.41743913,0.2717632
2017-04-29 00:30:00,0.39165747,0.3343155
2017-04-29 01:00:00,0.24396142,0.31988394
2017-04-29 01:30:00,0.45568442,0.36532167
2017-04-29 02:00:00,0.35620698,0.39047927
2017-04-29 02:30:00,0.39165747,0.35637507
2017-04-29 03:00:00,0.41787893,0.37381756
2017-04-29 03:30:00,0.36461085,0.35321385
2017-04-29 04:00:00,0.39165747,0.3450892
2017-04-29 04:30:00,0.23348173,0.32824638
2017-04-29 05:00:00,0.44861794,0.37472686
2017-04-29 05:30:00,0.39165747,0.37817618
2017-04-29 06:00:00,0.39832455,0.37114057
2017-04-29 06:30:00,0.374489,0.357247
2017-04-29 07:00:00,0.43357563,0.3823767
2017-04-29 07:30:00,0.39165747,0.3657326
2017-04-29 08:00:00,0.45191574,0.3801555
2017-04-29 08:30:00,0.34126276,0.31823227
2017-04-29 09:00:00,0.39165747,0.36549568
2017-04-29 09:30:00,0.3482007,0.35136986
2017-04-29 10:00:00,0.42768806,0.31998736
2017-04-29 10:30:00,0.40083644,0.34220994
2017-04-29 11:00:00,0.39165747,0.36554685
2017-04-29 11:30:00,0.3737871,0.3284244
2017-04-29 12:00:00,0.43586564,0.3371815
2017-04-29 12:30:00,0.42300746,0.44568586
2017-04-29 13:00:00,0.39165747,0.37605634
2017-04-29 13:30:00,0.42436337,0.37376913
2017-04-29 14:00:00,0.39165747,0.34094518
2017-04-29 14:30:00,0.24866985,0.31834376
2017-04-29 15:00:00,0.40877405,0.3836572
2017-04-29 15:30:00,0.121071205,0.1369924
2017-04-29 16:00:00,0.39859346,0.3659795
2017-04-29 16:30:00,0.0281911,0.12702182
2017-04-29 17:00:00,0.21691947,0.30610168
2017-04-29 17:30:00,0.39849466,0.4293339
2017-04-29 18:00:00,0.34530824,0.32171482
2017-04-29 18:30:00,0.41704825,0.37646204
2017-04-29 19:00:00,0.3050282,0.35601687
2017-04-29 19:30:00,0.39700764,0.3856147
2017-04-29 20:00:00,0.09155114,0.31249008
2017-04-29 20:30:00,0.3977476,0.34844702
2017-04-29 21:00:00,0.36252552,0.37393072
2017-04-29 21:30:00,0.41431358,0.39181557
2017-04-29 22:00:00,0.4343825,0.36975816
2017-04-29 22:30:00,0.23174429,0.27294916
2017-04-29 23:00:00,0.42673388,0.3816881
2017-04-29 23:30:00,0.39899367,0.40293047
2017-04-30 00:00:00,0.45423222,0.3436377
2017-04-30 00:30:00,0.32860032,0.33865312
2017-04-30 01:00:00,0.39165747,0.33926708
2017-04-30 01:30:00,0.44731858,0.35568053
2017-04-30 02:00:00,0.42028603,0.34462184
2017-04-30 02:30:00,0.38092098,0.35461563
2017-04-30 03:00:00,0.47676745,0.36303982
2017-04-30 03:30:00,0.44713354,0.41524795
2017-04-30 04:00:00,0.28779557,0.34046423
2017-04-30 04:30:00,0.39165747,0.34953564
2017-04-30 05:00:00,0.3811401,0.27305004
2017-04-30 05:30:00,0.46900487,0.3596521
