时间,真实值,预测值
2017-04-28 19:00:00,-2.1975474,-1.9652272
2017-04-28 19:30:00,5.768067,1.6301306
2017-04-28 20:00:00,0.7413396,1.1627064
2017-04-28 20:30:00,6.30518,4.898034
2017-04-28 21:00:00,9.181828,4.069925
2017-04-28 21:30:00,7.307719,4.204525
2017-04-28 22:00:00,6.2460384,3.8904057
2017-04-28 22:30:00,15.024361,5.1598535
2017-04-28 23:00:00,-0.5366378,-8.482815
2017-04-28 23:30:00,0.51726454,0.8526224
2017-04-29 00:00:00,0.51726454,2.5870824
2017-04-29 00:30:00,17.18043,4.2663217
2017-04-29 01:00:00,0.51726454,3.7723494
2017-04-29 01:30:00,-0.7008882,2.0895371
2017-04-29 02:00:00,-1.5574077,-13.502526
2017-04-29 02:30:00,-4.7145257,1.235426
2017-04-29 03:00:00,-7.4542212,-20.097656
2017-04-29 03:30:00,-8.376003,4.511711
2017-04-29 04:00:00,0.51726454,1.9201137
2017-04-29 04:30:00,1.7486004,2.5396671
2017-04-29 05:00:00,-8.114882,5.342703
2017-04-29 05:30:00,23.865849,6.344142
2017-04-29 06:00:00,0.81816655,3.0492954
2017-04-29 06:30:00,0.39225626,1.5333128
2017-04-29 07:00:00,-11.976838,4.6266575
2017-04-29 07:30:00,5.9190736,1.7018337
2017-04-29 08:00:00,-4.2381167,-7.8506703
2017-04-29 08:30:00,1.5743413,2.309448
2017-04-29 09:00:00,1.5247984,3.5229926
2017-04-29 09:30:00,0.64069504,1.4733365
2017-04-29 10:00:00,24.26408,5.5169353
2017-04-29 10:30:00,-18.632257,-17.133215
2017-04-29 11:00:00,8.1042595,3.4989097
2017-04-29 11:30:00,8.7814455,4.1444726
2017-04-29 12:00:00,14.902132,4.2681875
2017-04-29 12:30:00,-19.006264,-19.969753
2017-04-29 13:00:00,-4.196182,-0.4163475
2017-04-29 13:30:00,12.077812,5.7779202
2017-04-29 14:00:00,-19.048363,-1.6930846
2017-04-29 14:30:00,6.318128,4.7311063
2017-04-29 15:00:00,0.51726454,2.3710704
2017-04-29 15:30:00,0.51726454,0.65641546
2017-04-29 16:00:00,-20.613745,4.5198727
2017-04-29 16:30:00,-17.963108,-17.402203
2017-04-29 17:00:00,3.0528302,5.534002
2017-04-29 17:30:00,4.0973644,4.175974
2017-04-29 18:00:00,0.51726454,3.385427
2017-04-29 18:30:00,4.436007,5.9859295
2017-04-29 19:00:00,1.5182296,2.2118337
2017-04-29 19:30:00,0.51726454,2.857139
2017-04-29 20:00:00,27.98568,4.939366
2017-04-29 20:30:00,3.0069017,2.2845001
2017-04-29 21:00:00,-3.9748297,-8.344848
2017-04-29 21:30:00,0.51726454,2.4197145
2017-04-29 22:00:00,0.51726454,1.4617841
2017-04-29 22:30:00,0.51726454,0.95365757
2017-04-29 23:00:00,-2.9864106,-2.278535
2017-04-29 23:30:00,2.6996017,3.0670753
2017-04-30 00:00:00,-2.9334278,-14.508577
2017-04-30 00:30:00,0.51726454,4.2646303
2017-04-30 01:00:00,-16.31746,-14.511141
2017-04-30 01:30:00,-20.629253,-0.32720596
2017-04-30 02:00:00,-12.570465,-15.336982
2017-04-30 02:30:00,0.51726454,2.6608107
2017-04-30 03:00:00,2.8854358,1.5227163
2017-04-30 03:30:00,-14.869876,-12.182636
2017-04-30 04:00:00,-8.214928,-4.92684
2017-04-30 04:30:00,5.2896743,5.2766657
2017-04-30 05:00:00,7.8374786,6.025449
2017-04-30 05:30:00,0.51726454,3.8165257
2017-04-30 06:00:00,0.51726454,1.8968801
2017-04-30 06:30:00,0.51726454,3.0903695
2017-04-30 07:00:00,-4.635378,-5.3998623
2017-04-30 07:30:00,-15.994435,-21.359074
2017-04-30 08:00:00,0.51726454,1.115587
2017-04-30 08:30:00,1.3510437,-1.4024416
2017-04-30 09:00:00,3.806464,1.0516511
2017-04-30 09:30:00,0.51726454,2.7191336
2017-04-30 10:00:00,-4.800436,-3.5257277
2017-04-30 10:30:00,-22.463017,-15.940394
2017-04-30 11:00:00,12.568243,1.0315958
2017-04-30 11:30:00,-27.920685,-17.64917
2017-04-30 12:00:00,6.8013716,6.396487
2017-04-30 12:30:00,-7.6387205,-1.5671017
2017-04-30 13:00:00,3.3414443,2.700034
2017-04-30 13:30:00,-3.500541,-9.140902
2017-04-30 14:00:00,-0.6787128,-3.9408367
2017-04-30 14:30:00,-8.661101,-0.13429856
2017-04-30 15:00:00,3.108756,-3.3512523
2017-04-30 15:30:00,0.51726454,2.9790108
2017-04-30 16:00:00,5.4730887,6.283164
2017-04-30 16:30:00,0.51726454,4.026219
2017-04-30 17:00:00,2.1807609,3.911743
2017-04-30 17:30:00,8.629476,3.9001148
2017-04-30 18:00:00,-2.8252702,-1.9737227
2017-04-30 18:30:00,7.4720645,3.674371
