时间,真实值,预测值
2017-04-28 19:00:00,-4.992342,-3.926891
2017-04-28 19:30:00,0.18970045,-0.5929353
2017-04-28 20:00:00,4.7679095,3.3719747
2017-04-28 20:30:00,-5.1110773,-17.590006
2017-04-28 21:00:00,3.9369714,4.608461
2017-04-28 21:30:00,6.278966,3.5049703
2017-04-28 22:00:00,1.9858966,1.2161064
2017-04-28 22:30:00,-17.10228,4.611218
2017-04-28 23:00:00,2.2291205,6.84229
2017-04-28 23:30:00,3.3652844,5.625112
2017-04-29 00:00:00,7.354649,2.841946
2017-04-29 00:30:00,-1.9071358,-2.1354358
2017-04-29 01:00:00,-6.338689,-3.0931273
2017-04-29 01:30:00,0.18970045,-0.5929353
2017-04-29 02:00:00,-12.701909,-10.603177
2017-04-29 02:30:00,8.9761505,6.9405336
2017-04-29 03:00:00,0.18970045,-0.5929353
2017-04-29 03:30:00,8.733416,5.4403396
2017-04-29 04:00:00,-11.021938,-16.956465
2017-04-29 04:30:00,1.7543803,6.3976064
2017-04-29 05:00:00,-46.829197,-6.3589263
2017-04-29 05:30:00,4.4333596,-7.3843803
2017-04-29 06:00:00,3.383379,2.1145382
2017-04-29 06:30:00,1.764666,1.7521693
2017-04-29 07:00:00,-23.5807,-6.4835024
2017-04-29 07:30:00,0.18970045,-0.5929353
2017-04-29 08:00:00,-7.8178873,-9.75433
2017-04-29 08:30:00,0.18970045,-0.5929353
2017-04-29 09:00:00,1.6058996,0.27943364
2017-04-29 09:30:00,4.8078423,5.658453
2017-04-29 10:00:00,5.51012,5.1778684
2017-04-29 10:30:00,0.351004,2.0098734
2017-04-29 11:00:00,4.876818,5.581914
2017-04-29 11:30:00,-14.317141,0.11895307
2017-04-29 12:00:00,3.2411296,4.028453
2017-04-29 12:30:00,4.3204613,3.953678
2017-04-29 13:00:00,-2.9033828,-4.639641
2017-04-29 13:30:00,5.670991,3.1514912
2017-04-29 14:00:00,-14.4627695,-11.880285
2017-04-29 14:30:00,2.5324876,3.9375253
2017-04-29 15:00:00,0.18970045,-0.5929353
2017-04-29 15:30:00,3.4810617,3.263161
2017-04-29 16:00:00,0.18970045,-0.5929353
2017-04-29 16:30:00,-2.275717,2.9799743
2017-04-29 17:00:00,-16.404928,-4.177306
2017-04-29 17:30:00,6.029738,3.1097345
2017-04-29 18:00:00,8.946617,-6.8915834
2017-04-29 18:30:00,-10.68831,-14.841633
2017-04-29 19:00:00,3.5568075,5.511876
2017-04-29 19:30:00,-6.4154325,0.8815221
2017-04-29 20:00:00,-8.472927,-9.879498
2017-04-29 20:30:00,6.9782777,-0.5929353
2017-04-29 21:00:00,0.18970045,-0.5929353
2017-04-29 21:30:00,0.18970045,-0.5929353
2017-04-29 22:00:00,-4.7412715,0.87538946
2017-04-29 22:30:00,-11.322613,-8.281477
2017-04-29 23:00:00,0.18970045,-0.5929353
2017-04-29 23:30:00,-14.530213,-13.519206
2017-04-30 00:00:00,13.321493,2.7458942
2017-04-30 00:30:00,-9.528646,-8.0199
2017-04-30 01:00:00,0.18970045,-0.5929353
2017-04-30 01:30:00,1.6160372,3.1185448
2017-04-30 02:00:00,1.2746302,-5.08462
