时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,10.332073
2017-04-28 19:30:00,3.883183,7.4836507
2017-04-28 20:00:00,3.1135032,5.21101
2017-04-28 20:30:00,4.2741365,2.7281039
2017-04-28 21:00:00,4.9026327,-0.5804299
2017-04-28 21:30:00,5.051767,-3.4467013
2017-04-28 22:00:00,5.8418956,-4.8691926
2017-04-28 22:30:00,5.061944,-7.801182
2017-04-28 23:00:00,5.4606485,-8.6950655
2017-04-28 23:30:00,3.9218051,-9.12671
2017-04-29 00:00:00,3.5646358,-9.258018
2017-04-29 00:30:00,2.9955382,-7.8169622
2017-04-29 01:00:00,2.980568,-6.326018
2017-04-29 01:30:00,4.8063188,-5.501438
2017-04-29 02:00:00,4.851331,-5.5772014
2017-04-29 02:30:00,4.3052826,-6.048794
2017-04-29 03:00:00,3.1283154,-6.097239
2017-04-29 03:30:00,2.5324876,-2.5081732
2017-04-29 04:00:00,8.713393,4.454805
2017-04-29 04:30:00,2.7933695,12.875144
2017-04-29 05:00:00,8.1307125,19.207644
2017-04-29 05:30:00,5.280869,20.043215
2017-04-29 06:00:00,4.4633207,19.161531
2017-04-29 06:30:00,3.363409,15.742869
2017-04-29 07:00:00,-2.8686924,10.479885
2017-04-29 07:30:00,-8.9101095,3.05973
2017-04-29 08:00:00,-11.509184,-3.2401805
2017-04-29 08:30:00,-7.713828,-9.265531
2017-04-29 09:00:00,-20.0258,-15.374298
2017-04-29 09:30:00,-15.869132,-21.75879
2017-04-29 10:00:00,-14.503749,-26.140629
2017-04-29 10:30:00,-18.653013,-29.7844
2017-04-29 11:00:00,-26.628038,-31.042194
2017-04-29 11:30:00,-25.448153,-32.620213
2017-04-29 12:00:00,-24.268265,-32.415478
2017-04-29 12:30:00,-23.088379,-29.765081
2017-04-29 13:00:00,-21.908491,-26.981916
2017-04-29 13:30:00,-20.728605,-25.186817
2017-04-29 14:00:00,-19.54872,-22.135424
2017-04-29 14:30:00,-18.368832,-19.079626
2017-04-29 15:00:00,-17.188948,-16.978226
2017-04-29 15:30:00,-16.00906,-14.999366
2017-04-29 16:00:00,-14.829176,-12.487129
2017-04-29 16:30:00,-13.649288,-11.169912
2017-04-29 17:00:00,-12.4694,-8.103296
2017-04-29 17:30:00,-11.289516,-5.1209936
2017-04-29 18:00:00,-10.109629,-0.91254216
2017-04-29 18:30:00,-8.929745,2.3802073
2017-04-29 19:00:00,-7.7498574,5.416487
2017-04-29 19:30:00,-6.5699697,6.414414
2017-04-29 20:00:00,-5.3900857,7.6679063
2017-04-29 20:30:00,-4.210198,8.701136
2017-04-29 21:00:00,-3.0303137,9.521981
2017-04-29 21:30:00,-1.8504258,11.88158
2017-04-29 22:00:00,-0.67053807,14.483616
2017-04-29 22:30:00,0.50934595,15.383997
2017-04-29 23:00:00,1.6892338,15.777136
2017-04-29 23:30:00,2.8691177,15.617425
2017-04-30 00:00:00,4.0490055,13.7414465
2017-04-30 00:30:00,4.402034,10.726836
2017-04-30 01:00:00,3.1360586,7.963714
2017-04-30 01:30:00,3.6348224,6.210915
2017-04-30 02:00:00,2.5813513,5.659558
2017-04-30 02:30:00,3.3770566,7.5760837
2017-04-30 03:00:00,3.319881,8.036629
2017-04-30 03:30:00,3.546647,9.659985
2017-04-30 04:00:00,3.0768971,11.008186
2017-04-30 04:30:00,1.681385,10.992737
2017-04-30 05:00:00,1.5997813,11.51796
2017-04-30 05:30:00,1.5181812,10.688643
2017-04-30 06:00:00,2.3045082,10.103404
2017-04-30 06:30:00,1.5486305,8.560751
2017-04-30 07:00:00,-4.5931444,7.766334
2017-04-30 07:30:00,-5.6566725,6.1908584
2017-04-30 08:00:00,-12.827279,2.831773
2017-04-30 08:30:00,-21.595823,-1.4407492
2017-04-30 09:00:00,-15.995048,-9.5709505
2017-04-30 09:30:00,-17.463516,-14.728529
2017-04-30 10:00:00,-18.164124,-17.969187
2017-04-30 10:30:00,-28.081053,-20.938343
2017-04-30 11:00:00,-22.780973,-23.654408
2017-04-30 11:30:00,-24.080145,-26.104252
2017-04-30 12:00:00,-24.742592,-24.21467
2017-04-30 12:30:00,-39.56868,-22.271336
2017-04-30 13:00:00,-19.774418,-20.650303
2017-04-30 13:30:00,-28.12152,-19.376425
2017-04-30 14:00:00,-22.585518,-18.676542
2017-04-30 14:30:00,-17.433907,-17.481134
2017-04-30 15:00:00,-15.301105,-15.857881
2017-04-30 15:30:00,-20.10085,-14.182593
2017-04-30 16:00:00,-11.108061,-12.8812895
2017-04-30 16:30:00,-8.658282,-11.300919
2017-04-30 17:00:00,-2.5876744,-8.903388
2017-04-30 17:30:00,1.5230796,-6.8495374
2017-04-30 18:00:00,-2.3123763,-4.5396914
2017-04-30 18:30:00,0.94773114,-2.8089733
2017-04-30 19:00:00,0.6754812,-1.2078636
2017-04-30 19:30:00,-0.471429,2.0272543
2017-04-30 20:00:00,-3.3934329,4.1879697
2017-04-30 20:30:00,1.6562335,4.40931
2017-04-30 21:00:00,6.7059035,4.0824614
2017-04-30 21:30:00,4.49926,5.1311398
2017-04-30 22:00:00,2.2926126,5.4009404
2017-04-30 22:30:00,4.898838,4.6750565
2017-04-30 23:00:00,7.505068,4.9089704
2017-04-30 23:30:00,0.98324084,4.0430408
2017-05-01 00:00:00,0.12182511,4.912987
2017-05-01 00:30:00,-0.93011993,5.478618
2017-05-01 01:00:00,-0.30778438,6.041709
2017-05-01 01:30:00,0.32411063,5.728211
2017-05-01 02:00:00,0.809498,5.8251615
2017-05-01 02:30:00,1.2948891,5.3208213
2017-05-01 03:00:00,1.4042329,4.6579194
2017-05-01 03:30:00,1.5135729,4.694435
2017-05-01 04:00:00,1.622913,3.857033
2017-05-01 04:30:00,1.7322531,3.9551594
2017-05-01 05:00:00,7.2962904,2.7806864
2017-05-01 05:30:00,6.234714,1.184784
2017-05-01 06:00:00,3.7348819,0.7331393
2017-05-01 06:30:00,-3.798961,0.18709078
2017-05-01 07:00:00,-11.3328,-1.5561255
2017-05-01 07:30:00,-18.866642,-3.1447594
2017-05-01 08:00:00,-7.6316175,-6.596734
2017-05-01 08:30:00,-19.074177,-12.945447
2017-05-01 09:00:00,-30.447622,-15.006065
2017-05-01 09:30:00,-22.100786,-17.79131
2017-05-01 10:00:00,-27.034943,-20.918455
2017-05-01 10:30:00,-18.934729,-24.33382
2017-05-01 11:00:00,-22.805279,-23.942776
2017-05-01 11:30:00,-26.34032,-23.891357
2017-05-01 12:00:00,-17.906973,-23.546438
2017-05-01 12:30:00,-23.706392,-25.111
2017-05-01 13:00:00,-21.81065,-22.887577
2017-05-01 13:30:00,-23.861696,-22.81968
2017-05-01 14:00:00,-22.59068,-22.131966
2017-05-01 14:30:00,-20.538105,-20.086535
2017-05-01 15:00:00,-14.46871,-18.000397
2017-05-01 15:30:00,-11.047185,-16.593777
2017-05-01 16:00:00,-2.750234,-12.569427
2017-05-01 16:30:00,-1.217359,-8.702742
2017-05-01 17:00:00,-0.48492223,-3.2741528
2017-05-01 17:30:00,3.0138733,1.8550224
2017-05-01 18:00:00,5.0449014,3.2160761
2017-05-01 18:30:00,4.781329,5.3783326
2017-05-01 19:00:00,5.043733,4.918703
2017-05-01 19:30:00,5.8523216,4.7808957
2017-05-01 20:00:00,5.792595,3.7136378
2017-05-01 20:30:00,4.8980093,3.2763567
2017-05-01 21:00:00,6.630943,2.7313895
2017-05-01 21:30:00,6.6034174,0.8946964
2017-05-01 22:00:00,4.9410024,0.008087773
2017-05-01 22:30:00,4.4271665,-0.4756944
2017-05-01 23:00:00,5.78787,-0.39285094
2017-05-01 23:30:00,5.2582345,-0.39538682
2017-05-02 00:00:00,7.266794,0.18834175
2017-05-02 00:30:00,7.4857607,0.72715193
2017-05-02 01:00:00,8.21914,1.5493088
2017-05-02 01:30:00,5.609281,1.6243562
2017-05-02 02:00:00,3.667751,0.9936707
2017-05-02 02:30:00,5.630804,1.2681174
2017-05-02 03:00:00,6.1747727,0.9685833
2017-05-02 03:30:00,5.8053985,0.05435892
2017-05-02 04:00:00,8.337881,0.060903948
2017-05-02 04:30:00,10.870359,0.44462284
2017-05-02 05:00:00,13.402839,0.56330764
2017-05-02 05:30:00,15.935317,0.9515029
2017-05-02 06:00:00,18.467802,0.5963342
2017-05-02 06:30:00,21.00028,0.037621424
2017-05-02 07:00:00,23.53276,-1.495487
2017-05-02 07:30:00,26.065239,-3.9307811
2017-05-02 08:00:00,28.597717,-4.928757
2017-05-02 08:30:00,31.130203,-7.834585
2017-05-02 09:00:00,46.482998,-11.443429
2017-05-02 09:30:00,18.529741,-11.571191
2017-05-02 10:00:00,-9.42352,-14.082595
2017-05-02 10:30:00,-6.3966827,-14.632392
2017-05-02 11:00:00,-11.352163,-15.575431
2017-05-02 11:30:00,-22.21755,-17.11426
2017-05-02 12:00:00,-18.626904,-15.780666
2017-05-02 12:30:00,-9.897415,-15.000048
2017-05-02 13:00:00,-4.553373,-15.204372
2017-05-02 13:30:00,-5.327209,-14.273425
2017-05-02 14:00:00,29.976099,-12.60879
2017-05-02 14:30:00,-2.9158754,-10.190705
2017-05-02 15:00:00,-5.1304626,-6.6290936
2017-05-02 15:30:00,-4.853299,-3.4945738
2017-05-02 16:00:00,-5.1019497,-0.66889524
2017-05-02 16:30:00,-4.5954695,1.312934
2017-05-02 17:00:00,-3.3684132,2.6315033
2017-05-02 17:30:00,-0.763005,2.8197343
2017-05-02 18:00:00,1.8424033,3.5618398
2017-05-02 18:30:00,4.877383,3.1403768
2017-05-02 19:00:00,5.702637,2.2813838
2017-05-02 19:30:00,3.9759474,1.9158757
2017-05-02 20:00:00,4.0180774,0.73479724
2017-05-02 20:30:00,5.2836385,0.6160748
2017-05-02 21:00:00,3.2390947,0.9199873
2017-05-02 21:30:00,2.3965342,1.6385804
2017-05-02 22:00:00,7.2779703,2.3510957
2017-05-02 22:30:00,10.09002,3.9049397
2017-05-02 23:00:00,6.0722866,3.832168
2017-05-02 23:30:00,4.837269,3.289262
2017-05-03 00:00:00,5.3399477,3.2656817
2017-05-03 00:30:00,5.4655995,2.8885305
2017-05-03 01:00:00,4.876818,2.4986246
2017-05-03 01:30:00,4.470404,2.6532373
2017-05-03 02:00:00,4.803937,2.8317127
2017-05-03 02:30:00,10.267117,2.4313016
2017-05-03 03:00:00,8.139303,2.410099
2017-05-03 03:30:00,7.371394,4.5625734
2017-05-03 04:00:00,10.848287,5.3330975
2017-05-03 04:30:00,8.172115,5.448557
2017-05-03 05:00:00,7.659579,4.1576033
2017-05-03 05:30:00,4.900997,4.7440596
2017-05-03 06:00:00,-0.48474514,4.255609
2017-05-03 06:30:00,-2.2800956,3.525863
2017-05-03 07:00:00,-1.8114647,1.9731193
2017-05-03 07:30:00,-8.623432,0.25278223
2017-05-03 08:00:00,-11.974326,-0.16320966
2017-05-03 08:30:00,-14.692578,-1.9321351
2017-05-03 09:00:00,-20.539312,-3.1544657
2017-05-03 09:30:00,-22.89017,-8.866348
2017-05-03 10:00:00,-29.064623,-20.428818
2017-05-03 10:30:00,-25.934633,-22.587416
2017-05-03 11:00:00,-23.358332,-23.024332
2017-05-03 11:30:00,-33.878098,-24.083996
2017-05-03 12:00:00,-25.553476,-22.366905
2017-05-03 12:30:00,-24.536655,-20.880447
2017-05-03 13:00:00,-14.461592,-21.39235
2017-05-03 13:30:00,-18.764746,-19.732023
2017-05-03 14:00:00,-20.516357,-18.95581
2017-05-03 14:30:00,-19.971416,-15.011593
2017-05-03 15:00:00,-15.865477,-11.065934
2017-05-03 15:30:00,-22.955513,-7.08286
2017-05-03 16:00:00,-10.372149,-4.7465963
2017-05-03 16:30:00,-12.679297,-2.858274
2017-05-03 17:00:00,-3.9400465,-1.2434676
2017-05-03 17:30:00,-1.3059373,-0.30140892
2017-05-03 18:00:00,0.6841175,0.42808884
2017-05-03 18:30:00,3.1719754,2.99408
2017-05-03 19:00:00,6.235773,4.7981343
2017-05-03 19:30:00,7.694162,6.467208
2017-05-03 20:00:00,6.5787635,8.594434
2017-05-03 20:30:00,6.2633395,9.886035
2017-05-03 21:00:00,6.4338684,9.439673
2017-05-03 21:30:00,8.379661,8.357505
2017-05-03 22:00:00,7.043321,8.357433
2017-05-03 22:30:00,5.97731,7.771451
2017-05-03 23:00:00,7.4758472,6.645962
2017-05-03 23:30:00,9.680012,6.2826204
2017-05-04 00:00:00,7.190997,6.579935
2017-05-04 00:30:00,7.405182,6.585723
2017-05-04 01:00:00,8.152567,6.740381
2017-05-04 01:30:00,8.798053,7.11269
2017-05-04 02:00:00,7.7841644,5.6319346
2017-05-04 02:30:00,8.083058,5.2239723
2017-05-04 03:00:00,8.348157,6.35162
2017-05-04 03:30:00,9.6973295,4.3420887
2017-05-04 04:00:00,8.478876,3.6843414
2017-05-04 04:30:00,8.468597,4.898518
2017-05-04 05:00:00,7.8022056,5.2394814
2017-05-04 05:30:00,7.1358147,5.5836926
2017-05-04 06:00:00,6.469427,5.6841288
2017-05-04 06:30:00,5.8030357,5.9267583
2017-05-04 07:00:00,5.136645,7.385494
2017-05-04 07:30:00,4.4702573,7.492863
2017-05-04 08:00:00,3.8038666,6.2143254
2017-05-04 08:30:00,3.1374755,3.3870983
2017-05-04 09:00:00,2.471084,-0.6588723
2017-05-04 09:30:00,1.8046968,-5.2795477
2017-05-04 10:00:00,1.1383057,-11.704894
2017-05-04 10:30:00,0.47191453,-15.124626
2017-05-04 11:00:00,-0.19447283,-16.267166
2017-05-04 11:30:00,-0.8608639,-15.36764
2017-05-04 12:00:00,-1.527255,-14.499906
2017-05-04 12:30:00,-2.1936424,-12.428111
2017-05-04 13:00:00,-2.8600335,-13.722346
2017-05-04 13:30:00,-3.5264246,-14.692186
2017-05-04 14:00:00,-4.1928124,-15.539009
2017-05-04 14:30:00,-4.8592033,-12.741168
2017-05-04 15:00:00,-7.4222293,-11.805617
2017-05-04 15:30:00,-6.1755495,-11.335208
2017-05-04 16:00:00,-4.928874,-12.05186
2017-05-04 16:30:00,-0.17422733,-10.790595
2017-05-04 17:00:00,3.8704433,-9.319896
2017-05-04 17:30:00,3.6606333,-6.506087
2017-05-04 18:00:00,4.6875734,-4.123526
2017-05-04 18:30:00,13.899334,-1.6720597
2017-05-04 19:00:00,23.111105,2.4768682
2017-05-04 19:30:00,32.322865,5.846417
2017-05-04 20:00:00,41.53463,8.658531
2017-05-04 20:30:00,50.74639,10.177457
2017-05-04 21:00:00,9.324301,10.190174
2017-05-04 21:30:00,11.498577,9.102764
2017-05-04 22:00:00,5.8813086,9.031896
2017-05-04 22:30:00,4.5435038,6.9904637
2017-05-04 23:00:00,7.818242,4.7685366
2017-05-04 23:30:00,4.6815333,5.5696306
2017-05-05 00:00:00,10.661277,4.4894066
2017-05-05 00:30:00,8.274195,3.2464046
2017-05-05 01:00:00,12.157225,1.6262478
2017-05-05 01:30:00,16.684637,1.5347303
2017-05-05 02:00:00,13.700617,0.8478488
2017-05-05 02:30:00,6.8047724,-0.16758433
2017-05-05 03:00:00,6.6207542,-1.0786322
2017-05-05 03:30:00,15.668436,-1.8300334
2017-05-05 04:00:00,13.571878,-3.8472443
2017-05-05 04:30:00,11.267007,-5.4803786
2017-05-05 05:00:00,9.693042,-5.4922967
2017-05-05 05:30:00,5.835897,-4.054783
2017-05-05 06:00:00,7.979988,-6.5171123
2017-05-05 06:30:00,4.013447,-5.93676
2017-05-05 07:00:00,3.2326026,-3.7662132
2017-05-05 07:30:00,2.403716,-5.1335106
2017-05-05 08:00:00,-3.1761017,-6.4722314
2017-05-05 08:30:00,-2.5762799,-7.2522507
2017-05-05 09:00:00,-3.2258508,-13.009353
2017-05-05 09:30:00,-3.1313756,-15.225555
2017-05-05 10:00:00,-3.1754386,-16.337767
2017-05-05 10:30:00,-3.0949314,-16.135372
2017-05-05 11:00:00,-3.5610113,-19.26693
2017-05-05 11:30:00,-4.0270915,-15.698867
2017-05-05 12:00:00,-4.4931717,-13.614341
2017-05-05 12:30:00,-6.601738,-13.77901
2017-05-05 13:00:00,-5.3896675,-12.105385
2017-05-05 13:30:00,-7.4130807,-10.670539
2017-05-05 14:00:00,-4.4908733,-10.572092
2017-05-05 14:30:00,-2.5435963,-10.57693
2017-05-05 15:00:00,3.2914286,-9.34788
2017-05-05 15:30:00,-6.0391703,-8.303728
2017-05-05 16:00:00,-11.775522,-5.4468207
2017-05-05 16:30:00,-19.05657,-2.991605
2017-05-05 17:00:00,-12.755946,-2.891941
2017-05-05 17:30:00,-12.584141,-1.2797496
2017-05-05 18:00:00,-0.66042095,-0.51091015
2017-05-05 18:30:00,1.7424192,1.8774383
2017-05-05 19:00:00,1.7393408,3.7443848
2017-05-05 19:30:00,1.7362585,6.5555224
2017-05-05 20:00:00,1.73318,8.692307
2017-05-05 20:30:00,-0.04310062,10.118114
2017-05-05 21:00:00,0.4000473,9.947623
2017-05-05 21:30:00,0.84536564,11.128936
2017-05-05 22:00:00,1.6495378,7.830202
2017-05-05 22:30:00,2.64725,7.5107574
2017-05-05 23:00:00,3.9894369,3.2858481
2017-05-05 23:30:00,0.97464603,2.2828195
2017-05-06 00:00:00,-43.304497,-0.049204797
2017-05-06 00:30:00,-31.042875,-1.9205674
2017-05-06 01:00:00,-18.781254,-3.5970147
2017-05-06 01:30:00,-6.519633,-4.611698
2017-05-06 02:00:00,5.7419868,-6.758359
2017-05-06 02:30:00,4.6699805,-8.373824
2017-05-06 03:00:00,3.597975,-8.095768
2017-05-06 03:30:00,2.3684926,-8.415408
2017-05-06 04:00:00,4.6890883,-7.122488
2017-05-06 04:30:00,2.4597802,-5.1047044
2017-05-06 05:00:00,2.0691206,-4.446908
2017-05-06 05:30:00,2.7651246,-4.5160546
2017-05-06 06:00:00,2.2399433,-3.3888133
2017-05-06 06:30:00,1.7147583,-3.5562222
2017-05-06 07:00:00,2.6939392,-4.549869
2017-05-06 07:30:00,-4.886891,-7.85202
2017-05-06 08:00:00,-4.993842,-10.68101
2017-05-06 08:30:00,-18.94981,-12.887491
2017-05-06 09:00:00,-23.98089,-14.232181
2017-05-06 09:30:00,-17.287415,-15.900037
2017-05-06 10:00:00,-24.216232,-17.12124
2017-05-06 10:30:00,-36.930447,-18.31044
2017-05-06 11:00:00,-31.411324,-19.742437
2017-05-06 11:30:00,-34.249325,-19.697163
2017-05-06 12:00:00,-32.66194,-19.996483
2017-05-06 12:30:00,-33.462837,-20.09238
