时间,真实值,预测值
2017-04-28 19:00:00,4.3338413,4.4966164
2017-04-28 19:30:00,4.2348657,4.8519692
2017-04-28 20:00:00,3.4601605,4.578097
2017-04-28 20:30:00,4.6283717,4.2132096
2017-04-28 21:00:00,5.260972,4.0073166
2017-04-28 21:30:00,5.41108,3.9935343
2017-04-28 22:00:00,6.2063675,4.162032
2017-04-28 22:30:00,5.4213233,4.3311524
2017-04-28 23:00:00,5.8226314,4.452334
2017-04-28 23:30:00,4.27374,4.527136
2017-04-29 00:00:00,3.9142385,4.557439
2017-04-29 00:30:00,3.3414252,4.6210485
2017-04-29 01:00:00,3.3263571,4.7384334
2017-04-29 01:30:00,5.164029,4.947797
2017-04-29 02:00:00,5.2093353,5.0849266
2017-04-29 02:30:00,4.6597214,4.9696994
2017-04-29 03:00:00,3.4750693,4.721268
2017-04-29 03:30:00,2.8753512,4.4075356
2017-04-29 04:00:00,9.096615,4.1436005
2017-04-29 04:30:00,3.1379364,3.7224233
2017-04-29 05:00:00,8.510129,3.033268
2017-04-29 05:30:00,5.641678,1.9307861
2017-04-29 06:00:00,4.8187914,0.37871662
2017-04-29 06:30:00,3.7116978,-1.5790105
2017-04-29 07:00:00,-2.561096,-4.18433
2017-04-29 07:30:00,-8.64196,-7.8339186
2017-04-29 08:00:00,-11.258005,-13.187755
2017-04-29 08:30:00,-7.4378676,-19.017561
2017-04-29 09:00:00,-19.83023,-23.606014
2017-04-29 09:30:00,-15.646421,-26.719584
2017-04-29 10:00:00,-14.272122,-28.089212
2017-04-29 10:30:00,-18.44848,-27.725834
2017-04-29 11:00:00,-26.475576,-26.407679
2017-04-29 11:30:00,-25.287987,-24.383303
2017-04-29 12:00:00,-24.100397,-23.286726
2017-04-29 12:30:00,-22.912807,-23.772196
2017-04-29 13:00:00,-21.725216,-24.67886
2017-04-29 13:30:00,-20.537624,-25.35315
2017-04-29 14:00:00,-19.350035,-25.030527
2017-04-29 14:30:00,-18.162443,-23.219362
2017-04-29 15:00:00,-16.974855,-20.189554
2017-04-29 15:30:00,-15.787264,-16.483633
2017-04-29 16:00:00,-14.599675,-12.431902
2017-04-29 16:30:00,-13.412084,-8.45302
2017-04-29 17:00:00,-12.224492,-4.8990517
2017-04-29 17:30:00,-11.036903,-1.6444899
2017-04-29 18:00:00,-9.849312,1.2157954
2017-04-29 18:30:00,-8.661724,3.3233497
2017-04-29 19:00:00,-7.4741325,4.5311065
2017-04-29 19:30:00,-6.2865405,5.1764193
2017-04-29 20:00:00,-5.0989523,5.5501432
2017-04-29 20:30:00,-3.9113605,6.015015
2017-04-29 21:00:00,-2.7237723,6.438335
