时间,真实值,预测值
2017-04-28 19:00:00,4.3338413,1.6893106
2017-04-28 19:30:00,4.2348657,2.535666
2017-04-28 20:00:00,3.4601605,3.4349132
2017-04-28 20:30:00,4.6283717,4.4400196
2017-04-28 21:00:00,5.260972,5.174982
2017-04-28 21:30:00,5.41108,5.7038426
2017-04-28 22:00:00,6.2063675,5.944165
2017-04-28 22:30:00,5.4213233,6.2521176
2017-04-28 23:00:00,5.8226314,6.3950915
2017-04-28 23:30:00,4.27374,6.4786124
2017-04-29 00:00:00,3.9142385,6.3242874
2017-04-29 00:30:00,3.3414252,5.9616303
2017-04-29 01:00:00,3.3263571,5.4367785
2017-04-29 01:30:00,5.164029,4.8842936
2017-04-29 02:00:00,5.2093353,4.3466034
2017-04-29 02:30:00,4.6597214,3.868238
2017-04-29 03:00:00,3.4750693,3.5127034
2017-04-29 03:30:00,2.8753512,3.137523
2017-04-29 04:00:00,9.096615,2.8441494
2017-04-29 04:30:00,3.1379364,2.502799
2017-04-29 05:00:00,8.510129,2.1218503
2017-04-29 05:30:00,5.641678,1.3277646
2017-04-29 06:00:00,4.8187914,0.13078223
2017-04-29 06:30:00,3.7116978,-1.6885108
2017-04-29 07:00:00,-2.561096,-4.469159
2017-04-29 07:30:00,-8.64196,-8.491139
2017-04-29 08:00:00,-11.258005,-14.803673
2017-04-29 08:30:00,-7.4378676,-20.53729
2017-04-29 09:00:00,-19.83023,-24.619907
2017-04-29 09:30:00,-15.646421,-26.876799
2017-04-29 10:00:00,-14.272122,-26.698128
2017-04-29 10:30:00,-18.44848,-25.464708
2017-04-29 11:00:00,-26.475576,-24.886772
2017-04-29 11:30:00,-25.287987,-24.202667
2017-04-29 12:00:00,-24.100397,-24.113398
2017-04-29 12:30:00,-22.912807,-23.373077
2017-04-29 13:00:00,-21.725216,-22.77836
2017-04-29 13:30:00,-20.537624,-22.73719
2017-04-29 14:00:00,-19.350035,-22.080454
2017-04-29 14:30:00,-18.162443,-20.914925
2017-04-29 15:00:00,-16.974855,-19.564083
2017-04-29 15:30:00,-15.787264,-18.068642
2017-04-29 16:00:00,-14.599675,-16.181725
2017-04-29 16:30:00,-13.412084,-13.6410055
2017-04-29 17:00:00,-12.224492,-10.587961
2017-04-29 17:30:00,-11.036903,-6.9607987
2017-04-29 18:00:00,-9.849312,-2.974794
2017-04-29 18:30:00,-8.661724,0.7132212
2017-04-29 19:00:00,-7.4741325,3.6500983
2017-04-29 19:30:00,-6.2865405,5.48386
2017-04-29 20:00:00,-5.0989523,6.429578
2017-04-29 20:30:00,-3.9113605,6.9082813
2017-04-29 21:00:00,-2.7237723,7.0109096
2017-04-29 21:30:00,-1.5361805,6.9252343
2017-04-29 22:00:00,-0.3485887,6.8181386
2017-04-29 22:30:00,0.83899933,6.677205
2017-04-29 23:00:00,2.0265913,6.639249
2017-04-29 23:30:00,3.2141793,6.4990396
2017-04-30 00:00:00,4.401771,6.3228235
2017-04-30 00:30:00,4.7571044,6.038336
2017-04-30 01:00:00,3.4828632,5.691187
2017-04-30 01:30:00,3.9848833,5.343427
2017-04-30 02:00:00,2.9245338,5.010656
2017-04-30 02:30:00,3.7254348,5.0168223
2017-04-30 03:00:00,3.6678855,5.5921087
2017-04-30 03:30:00,3.8961327,6.408855
2017-04-30 04:00:00,3.4233153,7.380556
2017-04-30 04:30:00,2.0186913,8.305601
2017-04-30 05:00:00,1.9365547,8.249797
2017-04-30 05:30:00,1.8544219,6.84094
2017-04-30 06:00:00,2.645883,4.2717714
2017-04-30 06:30:00,1.88507,1.2362148
2017-04-30 07:00:00,-4.296808,-2.128541
2017-04-30 07:30:00,-5.3672795,-5.7102113
2017-04-30 08:00:00,-12.584706,-9.593481
2017-04-30 08:30:00,-21.410503,-13.912735
2017-04-30 09:00:00,-15.773159,-19.05179
2017-04-30 09:30:00,-17.251215,-22.808567
2017-04-30 10:00:00,-17.956398,-24.336555
2017-04-30 10:30:00,-27.93808,-23.692127
2017-04-30 11:00:00,-22.603394,-22.92707
2017-04-30 11:30:00,-23.911047,-23.059511
2017-04-30 12:00:00,-24.57782,-24.151974
2017-04-30 12:30:00,-39.500713,-24.334536
2017-04-30 13:00:00,-19.577208,-22.744596
2017-04-30 13:30:00,-27.978811,-21.275564
2017-04-30 14:00:00,-22.406662,-20.145763
2017-04-30 14:30:00,-17.221413,-18.546278
2017-04-30 15:00:00,-15.074685,-16.413294
2017-04-30 15:30:00,-19.90577,-14.256095
2017-04-30 16:00:00,-10.854263,-12.022918
2017-04-30 16:30:00,-8.388489,-9.455434
