时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,-5.4800396
2017-04-28 19:30:00,3.883183,-7.0985384
2017-04-28 20:00:00,3.1135032,-7.9735413
2017-04-28 20:30:00,4.2741365,-8.901681
2017-04-28 21:00:00,4.9026327,-10.2973585
2017-04-28 21:30:00,5.051767,-10.056391
2017-04-28 22:00:00,5.8418956,-10.665165
2017-04-28 22:30:00,5.061944,-11.312585
2017-04-28 23:00:00,5.4606485,-10.923365
2017-04-28 23:30:00,3.9218051,-13.327602
2017-04-29 00:00:00,3.5646358,-14.571116
2017-04-29 00:30:00,2.9955382,-14.731996
2017-04-29 01:00:00,2.980568,-14.977801
2017-04-29 01:30:00,4.8063188,-13.768546
2017-04-29 02:00:00,4.851331,-16.63735
2017-04-29 02:30:00,4.3052826,-10.562299
2017-04-29 03:00:00,3.1283154,1.5064778
2017-04-29 03:30:00,2.5324876,-4.46256
2017-04-29 04:00:00,8.713393,-3.5945654
2017-04-29 04:30:00,2.7933695,-3.1745944
2017-04-29 05:00:00,8.1307125,-3.3631117
2017-04-29 05:30:00,5.280869,-4.278734
2017-04-29 06:00:00,4.4633207,-3.6322117
2017-04-29 06:30:00,3.363409,-3.2805169
2017-04-29 07:00:00,-2.8686924,-2.5790155
2017-04-29 07:30:00,-8.9101095,0.08102888
2017-04-29 08:00:00,-11.509184,0.31080958
2017-04-29 08:30:00,-7.713828,-3.6612704
2017-04-29 09:00:00,-20.0258,-6.341225
2017-04-29 09:30:00,-15.869132,-14.0076
2017-04-29 10:00:00,-14.503749,-16.23508
2017-04-29 10:30:00,-18.653013,-19.320063
2017-04-29 11:00:00,-26.628038,-19.959217
2017-04-29 11:30:00,-25.448153,-14.238221
2017-04-29 12:00:00,-24.268265,-12.830493
2017-04-29 12:30:00,-23.088379,-14.450846
2017-04-29 13:00:00,-21.908491,-12.789094
2017-04-29 13:30:00,-20.728605,-11.79111
2017-04-29 14:00:00,-19.54872,-9.731449
2017-04-29 14:30:00,-18.368832,-8.740504
2017-04-29 15:00:00,-17.188948,-6.1362157
2017-04-29 15:30:00,-16.00906,-3.9192395
2017-04-29 16:00:00,-14.829176,-1.2685361
2017-04-29 16:30:00,-13.649288,0.7776282
2017-04-29 17:00:00,-12.4694,1.5356686
2017-04-29 17:30:00,-11.289516,1.6572735
2017-04-29 18:00:00,-10.109629,1.4149529
2017-04-29 18:30:00,-8.929745,1.3704075
2017-04-29 19:00:00,-7.7498574,1.1494967
2017-04-29 19:30:00,-6.5699697,1.2665612
2017-04-29 20:00:00,-5.3900857,0.5920877
2017-04-29 20:30:00,-4.210198,0.6808318
2017-04-29 21:00:00,-3.0303137,0.24449262
2017-04-29 21:30:00,-1.8504258,-0.24293695
2017-04-29 22:00:00,-0.67053807,0.19174427
2017-04-29 22:30:00,0.50934595,0.40240985
2017-04-29 23:00:00,1.6892338,0.8792137
2017-04-29 23:30:00,2.8691177,1.3293098
2017-04-30 00:00:00,4.0490055,1.8986634
2017-04-30 00:30:00,4.402034,4.0379953
2017-04-30 01:00:00,3.1360586,1.7712897
2017-04-30 01:30:00,3.6348224,1.8620799
2017-04-30 02:00:00,2.5813513,1.6849797
2017-04-30 02:30:00,3.3770566,0.73059964
2017-04-30 03:00:00,3.319881,1.0237395
2017-04-30 03:30:00,3.546647,0.50251836
2017-04-30 04:00:00,3.0768971,-0.06773963
2017-04-30 04:30:00,1.681385,0.11514443
2017-04-30 05:00:00,1.5997813,-0.2627341
2017-04-30 05:30:00,1.5181812,-0.91123843
2017-04-30 06:00:00,2.3045082,-0.37667865
2017-04-30 06:30:00,1.5486305,0.011972589
2017-04-30 07:00:00,-4.5931444,0.6929158
2017-04-30 07:30:00,-5.6566725,-0.7323372
