时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,-2.0241687
2017-04-28 19:30:00,3.883183,0.056657404
2017-04-28 20:00:00,3.1135032,1.126282
2017-04-28 20:30:00,4.2741365,1.8199912
2017-04-28 21:00:00,4.9026327,1.6270654
2017-04-28 21:30:00,5.051767,1.4909687
2017-04-28 22:00:00,5.8418956,1.1890533
2017-04-28 22:30:00,5.061944,1.593417
2017-04-28 23:00:00,5.4606485,1.9025257
2017-04-28 23:30:00,3.9218051,2.082026
2017-04-29 00:00:00,3.5646358,2.5055578
2017-04-29 00:30:00,2.9955382,2.547183
2017-04-29 01:00:00,2.980568,3.3733075
2017-04-29 01:30:00,4.8063188,4.1437745
2017-04-29 02:00:00,4.851331,4.082571
2017-04-29 02:30:00,4.3052826,4.485778
2017-04-29 03:00:00,3.1283154,5.1855836
2017-04-29 03:30:00,2.5324876,5.7392097
2017-04-29 04:00:00,8.713393,6.183341
2017-04-29 04:30:00,2.7933695,6.194355
2017-04-29 05:00:00,8.1307125,6.1509323
2017-04-29 05:30:00,5.280869,5.4772387
2017-04-29 06:00:00,4.4633207,3.531119
2017-04-29 06:30:00,3.363409,1.4759268
2017-04-29 07:00:00,-2.8686924,-2.1644065
2017-04-29 07:30:00,-8.9101095,-6.5689826
2017-04-29 08:00:00,-11.509184,-11.826756
2017-04-29 08:30:00,-7.713828,-15.612168
2017-04-29 09:00:00,-20.0258,-19.032269
2017-04-29 09:30:00,-15.869132,-23.762661
2017-04-29 10:00:00,-14.503749,-26.248869
2017-04-29 10:30:00,-18.653013,-27.164461
2017-04-29 11:00:00,-26.628038,-28.563028
2017-04-29 11:30:00,-25.448153,-28.237059
2017-04-29 12:00:00,-24.268265,-28.235985
2017-04-29 12:30:00,-23.088379,-27.909182
2017-04-29 13:00:00,-21.908491,-27.2931
2017-04-29 13:30:00,-20.728605,-26.592691
2017-04-29 14:00:00,-19.54872,-24.864536
2017-04-29 14:30:00,-18.368832,-22.035305
2017-04-29 15:00:00,-17.188948,-20.165487
2017-04-29 15:30:00,-16.00906,-17.248882
2017-04-29 16:00:00,-14.829176,-14.959395
2017-04-29 16:30:00,-13.649288,-10.917584
2017-04-29 17:00:00,-12.4694,-7.7188997
2017-04-29 17:30:00,-11.289516,-4.968031
2017-04-29 18:00:00,-10.109629,-2.7394497
2017-04-29 18:30:00,-8.929745,-0.21086368
2017-04-29 19:00:00,-7.7498574,0.8410023
2017-04-29 19:30:00,-6.5699697,2.589652
2017-04-29 20:00:00,-5.3900857,3.4589393
2017-04-29 20:30:00,-4.210198,3.6307454
2017-04-29 21:00:00,-3.0303137,3.8956213
2017-04-29 21:30:00,-1.8504258,3.7795289
2017-04-29 22:00:00,-0.67053807,3.9993467
2017-04-29 22:30:00,0.50934595,4.562114
2017-04-29 23:00:00,1.6892338,4.8266697
2017-04-29 23:30:00,2.8691177,4.6295047
