时间,真实值,预测值
2018-07-25 23:30:00,0.2759755,0.31714284
2018-07-26 00:00:00,0.35737902,0.3541042
2018-07-26 00:30:00,0.3974242,0.37081105
2018-07-26 01:00:00,0.3628159,0.35174614
2018-07-26 01:30:00,0.34858635,0.3700498
2018-07-26 02:00:00,0.35218918,0.35971776
2018-07-26 02:30:00,0.4819349,0.34828845
2018-07-26 03:00:00,0.33953047,0.25110453
2018-07-26 03:30:00,0.3502335,0.361269
2018-07-26 04:00:00,0.30358082,0.31757623
2018-07-26 04:30:00,0.35814664,0.36574355
2018-07-26 05:00:00,0.30914775,0.3512728
2018-07-26 05:30:00,0.3562838,0.36974505
2018-07-26 06:00:00,0.3462723,0.34738585
2018-07-26 06:30:00,0.2643495,0.38456964
2018-07-26 07:00:00,0.33532712,0.32828227
2018-07-26 07:30:00,0.3709073,0.35882556
2018-07-26 08:00:00,0.17480054,0.23735228
2018-07-26 08:30:00,0.22697087,0.26210868
2018-07-26 09:00:00,0.32032734,0.3409605
2018-07-26 09:30:00,0.37141114,0.38933703
2018-07-26 10:00:00,0.22829916,0.17779252
2018-07-26 10:30:00,0.34956962,0.35630053
2018-07-26 11:00:00,0.28691158,0.3290923
2018-07-26 11:30:00,0.33175886,0.32442877
2018-07-26 12:00:00,0.24243748,0.31042933
2018-07-26 12:30:00,0.3619464,0.35337916
2018-07-26 13:00:00,0.1274736,0.37798837
2018-07-26 13:30:00,0.33004284,0.34039375
2018-07-26 14:00:00,0.3478315,0.36167064
2018-07-26 14:30:00,0.33747607,0.34271005
2018-07-26 15:00:00,0.08957619,0.37034374
2018-07-26 15:30:00,0.30952492,0.33930477
2018-07-26 16:00:00,0.36286503,0.35337576
2018-07-26 16:30:00,0.24610181,0.22991455
2018-07-26 17:00:00,0.32854497,0.34379458
2018-07-26 17:30:00,0.3310128,0.33023223
2018-07-26 18:00:00,0.37379056,0.35673788
2018-07-26 18:30:00,0.33316568,0.35738662
2018-07-26 19:00:00,0.33522305,0.31148407
2018-07-26 19:30:00,0.29502487,0.34700152
2018-07-26 20:00:00,0.36603883,0.34224218
2018-07-26 20:30:00,0.44354764,0.46843436
2018-07-26 21:00:00,0.33326334,0.33639407
2018-07-26 21:30:00,0.25020903,0.32392374
2018-07-26 22:00:00,0.3501547,0.34150758
2018-07-26 22:30:00,0.33653787,0.34442958
2018-07-26 23:00:00,0.65748334,0.35137266
2018-07-26 23:30:00,0.30695984,0.2892876
2018-07-27 00:00:00,0.259845,0.27197346
2018-07-27 00:30:00,0.33316904,0.3258107
2018-07-27 01:00:00,0.21232569,0.2994395
2018-07-27 01:30:00,0.7424857,0.40919372
2018-07-27 02:00:00,0.34275317,0.35717088
2018-07-27 02:30:00,0.2731368,0.1800485
2018-07-27 03:00:00,0.33635905,0.34959856
2018-07-27 03:30:00,0.35469848,0.35052347
2018-07-27 04:00:00,0.33779043,0.33602044
2018-07-27 04:30:00,0.3434008,0.346601
2018-07-27 05:00:00,0.3508571,0.3385024
2018-07-27 05:30:00,0.36266536,0.34680554
2018-07-27 06:00:00,0.16922069,0.22703633
2018-07-27 06:30:00,0.3628158,0.37178794
2018-07-27 07:00:00,0.22816281,0.291068
2018-07-27 07:30:00,0.34053746,0.33709517
2018-07-27 08:00:00,0.2986187,0.37923005
2018-07-27 08:30:00,0.29610336,0.35320458
2018-07-27 09:00:00,0.31235194,0.32613555
2018-07-27 09:30:00,0.28324604,0.3671817
2018-07-27 10:00:00,0.35870916,0.23474735
2018-07-27 10:30:00,0.34423807,0.3384283
2018-07-27 11:00:00,0.32459566,0.34078583
2018-07-27 11:30:00,0.4302886,0.36645144
2018-07-27 12:00:00,0.40614563,0.3682332
2018-07-27 12:30:00,0.21694583,0.27088505
2018-07-27 13:00:00,0.33003372,0.33320254
2018-07-27 13:30:00,0.39818764,0.3211243
2018-07-27 14:00:00,0.3113441,0.3404657
2018-07-27 14:30:00,0.32933742,0.31295618
2018-07-27 15:00:00,0.18101062,0.2842181
2018-07-27 15:30:00,0.34423968,0.33453724
2018-07-27 16:00:00,0.4508035,0.3609815
2018-07-27 16:30:00,0.3747218,0.34178534
2018-07-27 17:00:00,0.3425064,0.34355098
2018-07-27 17:30:00,0.35659963,0.34321585
2018-07-27 18:00:00,0.40387493,0.34462792
2018-07-27 18:30:00,0.29479668,0.18094939
2018-07-27 19:00:00,0.35479873,0.36294803
2018-07-27 19:30:00,0.34417716,0.3478459
2018-07-27 20:00:00,0.3314185,0.33088294
2018-07-27 20:30:00,0.3279471,0.3542462
2018-07-27 21:00:00,0.34417793,0.3301013
2018-07-27 21:30:00,0.344028,0.34995672
2018-07-27 22:00:00,0.3478199,0.3475628
2018-07-27 22:30:00,0.37136927,0.36801946
2018-07-27 23:00:00,0.3823663,0.2983194
2018-07-27 23:30:00,0.36931148,0.33953285
2018-07-28 00:00:00,0.32494137,0.34949318
2018-07-28 00:30:00,0.49789804,0.33611348
2018-07-28 01:00:00,0.3455074,0.34644833
2018-07-28 01:30:00,0.3672585,0.37214354
2018-07-28 02:00:00,0.34608403,0.33547372
2018-07-28 02:30:00,0.3534245,0.34456298
2018-07-28 03:00:00,0.22199929,0.33916867
2018-07-28 03:30:00,0.35335845,0.34389088
2018-07-28 04:00:00,0.30502677,0.34624097
2018-07-28 04:30:00,0.31972355,0.33138698
2018-07-28 05:00:00,0.18285282,0.21564305
2018-07-28 05:30:00,0.35332152,0.35838938
2018-07-28 06:00:00,0.32295933,0.34112862
2018-07-28 06:30:00,0.3321737,0.3243534
2018-07-28 07:00:00,0.3415888,0.34355953
2018-07-28 07:30:00,0.38009486,0.3800056
2018-07-28 08:00:00,0.30990258,0.34020153
2018-07-28 08:30:00,0.328379,0.3337766
2018-07-28 09:00:00,0.3708666,0.30738714
2018-07-28 09:30:00,0.36044213,0.37065503
2018-07-28 10:00:00,0.3265789,0.3414908
2018-07-28 10:30:00,0.32335863,0.34282055
2018-07-28 11:00:00,0.35523856,0.35226497
2018-07-28 11:30:00,0.21416815,0.2440058
2018-07-28 12:00:00,0.37787375,0.3172022
2018-07-28 12:30:00,0.35435262,0.33521858
2018-07-28 13:00:00,0.34252098,0.3513639
2018-07-28 13:30:00,0.3064888,0.26145357
2018-07-28 14:00:00,0.6652236,0.3550684
2018-07-28 14:30:00,0.31858394,0.3389342
2018-07-28 15:00:00,0.35460684,0.36211857
2018-07-28 15:30:00,0.34471187,0.35403568
2018-07-28 16:00:00,0.36430943,0.33941764
2018-07-28 16:30:00,0.2734231,0.33324426
2018-07-28 17:00:00,0.412291,0.34402928
2018-07-28 17:30:00,0.26381025,0.30579683
2018-07-28 18:00:00,0.2383608,0.34987587
2018-07-28 18:30:00,0.44384,0.3540505
2018-07-28 19:00:00,0.33758897,0.33332703
2018-07-28 19:30:00,0.3358761,0.3362589
2018-07-28 20:00:00,0.28660116,0.2789202
2018-07-28 20:30:00,0.10777679,0.35301372
2018-07-28 21:00:00,0.3539042,0.3561484
2018-07-28 21:30:00,0.15856555,0.3142602
2018-07-28 22:00:00,0.24074939,0.3563489
2018-07-28 22:30:00,0.51548755,0.35022542
2018-07-28 23:00:00,0.34796682,0.32877502
2018-07-28 23:30:00,0.35721284,0.3544527
2018-07-29 00:00:00,0.28687727,0.39118698
