时间,真实值,预测值
2018-07-25 23:30:00,1.5350009,0.4000162
2018-07-26 00:00:00,19.710136,2.6595519
2018-07-26 00:30:00,-21.871746,0.04135434
2018-07-26 01:00:00,12.873031,-0.9868
2018-07-26 01:30:00,0.33541107,0.38064688
2018-07-26 02:00:00,0.5203435,0.09631193
2018-07-26 02:30:00,-0.24250437,-1.493421
2018-07-26 03:00:00,4.4062667,1.9609289
2018-07-26 03:30:00,7.0233583,5.534802
2018-07-26 04:00:00,-6.536534,2.2079716
2018-07-26 04:30:00,4.014092,3.7225606
2018-07-26 05:00:00,-6.1691113,-3.486977
2018-07-26 05:30:00,-10.756881,-10.992844
2018-07-26 06:00:00,1.1203941,0.32830653
2018-07-26 06:30:00,3.299263,5.510919
2018-07-26 07:00:00,-25.983524,-18.851246
2018-07-26 07:30:00,5.470498,1.5523516
2018-07-26 08:00:00,14.269883,1.6195784
2018-07-26 08:30:00,-28.925701,-20.403097
2018-07-26 09:00:00,14.515833,0.15893336
2018-07-26 09:30:00,6.493619,0.7485193
2018-07-26 10:00:00,-5.825668,-3.4402077
2018-07-26 10:30:00,1.4729345,0.974777
2018-07-26 11:00:00,6.7131786,2.4166384
2018-07-26 11:30:00,-4.9487324,0.6679137
2018-07-26 12:00:00,0.073171884,0.4091612
2018-07-26 12:30:00,2.3033412,1.906347
2018-07-26 13:00:00,-4.5545387,-0.9842265
2018-07-26 13:30:00,-23.633966,2.1625872
2018-07-26 14:00:00,-3.3917472,-1.2860563
2018-07-26 14:30:00,-4.2963367,-2.0314748
2018-07-26 15:00:00,3.7081068,2.646278
2018-07-26 15:30:00,4.5428915,-3.1637638
2018-07-26 16:00:00,-17.50991,-13.712243
2018-07-26 16:30:00,-1.5652922,1.3120421
2018-07-26 17:00:00,-23.501154,-11.034212
2018-07-26 17:30:00,-12.384602,-4.2948337
2018-07-26 18:00:00,-3.7849443,-2.0184062
2018-07-26 18:30:00,-3.2772791,-4.321543
2018-07-26 19:00:00,6.014783,5.133989
2018-07-26 19:30:00,13.311917,1.2139504
2018-07-26 20:00:00,-4.9473906,1.1730227
2018-07-26 20:30:00,-10.455921,-8.578179
2018-07-26 21:00:00,-15.040244,-22.321764
2018-07-26 21:30:00,10.458697,1.3815715
2018-07-26 22:00:00,2.8884573,1.0004687
2018-07-26 22:30:00,0.27181968,0.34657475
2018-07-26 23:00:00,-16.211952,-11.56964
2018-07-26 23:30:00,1.682663,1.8919326
