时间,真实值,预测值
2018-07-25 23:30:00,0.88892376,-1.2996712
2018-07-26 00:00:00,-11.057951,-22.766588
2018-07-26 00:30:00,1.3748908,2.916998
2018-07-26 01:00:00,0.28133175,3.9734352
2018-07-26 01:30:00,-12.5393505,5.187885
2018-07-26 02:00:00,7.113878,2.2893286
2018-07-26 02:30:00,0.49040475,4.636762
2018-07-26 03:00:00,-1.0267751,1.2393538
2018-07-26 03:30:00,15.357971,7.6016583
2018-07-26 04:00:00,2.2899272,3.5670512
2018-07-26 04:30:00,-1.9395264,2.3245676
2018-07-26 05:00:00,0.4123246,0.5689568
2018-07-26 05:30:00,-2.0721273,1.6188049
2018-07-26 06:00:00,-9.077534,-1.0122908
2018-07-26 06:30:00,-2.2799027,0.7870307
2018-07-26 07:00:00,-32.98018,4.6717257
2018-07-26 07:30:00,1.5789915,0.12194686
2018-07-26 08:00:00,3.7413313,3.9188619
2018-07-26 08:30:00,-13.86599,-11.066725
2018-07-26 09:00:00,-6.5153995,-2.506383
2018-07-26 09:30:00,9.884479,0.08627555
2018-07-26 10:00:00,-14.677049,-1.6413844
2018-07-26 10:30:00,-41.11785,-9.586583
2018-07-26 11:00:00,-12.325886,-8.645956
2018-07-26 11:30:00,4.6933713,3.9219248
2018-07-26 12:00:00,0.9097393,1.5021173
2018-07-26 12:30:00,3.6661873,2.3262758
2018-07-26 13:00:00,-28.772469,-13.857227
2018-07-26 13:30:00,-0.052922968,1.5468069
2018-07-26 14:00:00,2.0874999,2.9565842
2018-07-26 14:30:00,0.52170235,3.3464563
2018-07-26 15:00:00,-2.6022508,3.6350381
2018-07-26 15:30:00,2.1628318,4.751414
2018-07-26 16:00:00,1.4904512,6.2327347
2018-07-26 16:30:00,-2.983996,0.7837406
2018-07-26 17:00:00,-12.127252,1.2730327
2018-07-26 17:30:00,2.0663261,2.294502
2018-07-26 18:00:00,1.0515944,2.7987373
2018-07-26 18:30:00,-2.316155,-1.1689929
2018-07-26 19:00:00,-2.204479,3.6073453
2018-07-26 19:30:00,38.84367,3.1165807
2018-07-26 20:00:00,-7.644481,4.117047
2018-07-26 20:30:00,32.687588,5.748148
2018-07-26 21:00:00,3.7273843,4.9124064
2018-07-26 21:30:00,2.5259635,-2.3023915
2018-07-26 22:00:00,1.4155432,1.0791562
2018-07-26 22:30:00,-4.282595,1.3404211
2018-07-26 23:00:00,3.0448537,5.920593
2018-07-26 23:30:00,-1.1738997,0.90771633
2018-07-27 00:00:00,42.391376,8.01835
2018-07-27 00:30:00,-1.103964,6.180416
2018-07-27 01:00:00,-12.559065,0.43875042
2018-07-27 01:30:00,-17.460245,-10.663011
2018-07-27 02:00:00,-3.252505,-7.850976
2018-07-27 02:30:00,-10.052796,-4.4645696
2018-07-27 03:00:00,-1.5798684,2.153075
2018-07-27 03:30:00,2.1683023,3.322154
2018-07-27 04:00:00,0.8231695,2.6303384
2018-07-27 04:30:00,-1.3890505,2.3483717
2018-07-27 05:00:00,-8.504167,-7.282245
2018-07-27 05:30:00,-3.9952278,0.4354996
2018-07-27 06:00:00,-1.9767619,-1.3697467
2018-07-27 06:30:00,3.688436,4.462679
2018-07-27 07:00:00,3.9332852,5.1045485
2018-07-27 07:30:00,18.07413,5.348231
2018-07-27 08:00:00,4.4492564,2.9921243
2018-07-27 08:30:00,1.7234944,3.1590507
2018-07-27 09:00:00,2.2419782,2.7562847
2018-07-27 09:30:00,-6.4171896,3.643375
2018-07-27 10:00:00,2.2279305,3.0862489
2018-07-27 10:30:00,-0.03620586,1.518511
2018-07-27 11:00:00,4.4830184,4.3836026
2018-07-27 11:30:00,6.6956096,3.2206936
2018-07-27 12:00:00,-4.985675,5.9817505
2018-07-27 12:30:00,-6.8417935,-5.6596985
2018-07-27 13:00:00,-13.416297,-3.760782
2018-07-27 13:30:00,0.48477706,3.4060934
2018-07-27 14:00:00,19.911503,7.2393436
2018-07-27 14:30:00,1.9189439,4.7364354
2018-07-27 15:00:00,-3.389567,2.3820636
2018-07-27 15:30:00,-5.6133614,-3.2837765
2018-07-27 16:00:00,-10.015722,-4.7704325
2018-07-27 16:30:00,-25.675201,-19.276463
2018-07-27 17:00:00,1.9353377,0.32077816
2018-07-27 17:30:00,0.017759888,2.2378578
2018-07-27 18:00:00,3.135417,1.3775998
2018-07-27 18:30:00,1.6276135,3.802148
2018-07-27 19:00:00,0.39041236,3.918744
2018-07-27 19:30:00,-9.9117365,-8.95219
2018-07-27 20:00:00,-18.938633,-8.250491
2018-07-27 20:30:00,0.28688517,2.3766937
2018-07-27 21:00:00,2.3335726,1.8265454
2018-07-27 21:30:00,-0.8626714,1.0150317
2018-07-27 22:00:00,2.1410813,2.907962
2018-07-27 22:30:00,11.768705,3.432716
2018-07-27 23:00:00,-27.748947,-9.78631
2018-07-27 23:30:00,-1.2421532,0.9830307
2018-07-28 00:00:00,3.4714632,3.5149512
2018-07-28 00:30:00,-27.270323,7.835073
2018-07-28 01:00:00,-0.30488986,1.3363925
2018-07-28 01:30:00,-33.191032,2.752204
2018-07-28 02:00:00,-9.261976,-3.9791791
2018-07-28 02:30:00,0.23279709,1.0996834
2018-07-28 03:00:00,0.36523184,-0.5718829
2018-07-28 03:30:00,-2.9596717,-1.8123873
2018-07-28 04:00:00,0.7320207,1.5766933
2018-07-28 04:30:00,-0.6256957,1.4393997
2018-07-28 05:00:00,-5.961738,-12.465605
2018-07-28 05:30:00,2.34471,1.6917686
2018-07-28 06:00:00,1.438775,0.32527858
2018-07-28 06:30:00,2.6468065,2.243538
2018-07-28 07:00:00,-6.902169,0.6145203
2018-07-28 07:30:00,-1.8223712,4.385604
2018-07-28 08:00:00,1.0687485,3.2259192
2018-07-28 08:30:00,-3.2824087,-0.7616697
2018-07-28 09:00:00,-2.4855194,2.342661
2018-07-28 09:30:00,0.7419915,2.8328357
2018-07-28 10:00:00,1.6306459,2.616728
2018-07-28 10:30:00,-3.7212262,2.190918
2018-07-28 11:00:00,3.1308422,7.455993
2018-07-28 11:30:00,2.6666784,14.042401
2018-07-28 12:00:00,-3.039268,-5.8885036
2018-07-28 12:30:00,8.652166,1.2310607
2018-07-28 13:00:00,-13.333854,-5.2448163
2018-07-28 13:30:00,-2.416025,4.142328
2018-07-28 14:00:00,-0.3310972,0.37616393
2018-07-28 14:30:00,-11.01046,-2.4763436
2018-07-28 15:00:00,4.5559034,5.15882
2018-07-28 15:30:00,0.059705578,1.1172613
2018-07-28 16:00:00,1.2375231,4.9182878
2018-07-28 16:30:00,4.7335563,7.2344065
2018-07-28 17:00:00,2.1240845,3.3178065
2018-07-28 17:30:00,0.5292919,1.5047739
2018-07-28 18:00:00,-4.9473906,2.7265558
2018-07-28 18:30:00,11.67133,-4.039188
2018-07-28 19:00:00,-1.5982983,5.6011634
2018-07-28 19:30:00,1.4185624,2.9317663
2018-07-28 20:00:00,0.9475647,4.709385
2018-07-28 20:30:00,3.6361043,12.192138
2018-07-28 21:00:00,1.5719393,1.432885
2018-07-28 21:30:00,31.716816,20.515451
2018-07-28 22:00:00,3.111045,3.6456687
2018-07-28 22:30:00,-3.6927993,0.6203665
2018-07-28 23:00:00,-12.460812,-8.458039
2018-07-28 23:30:00,-13.46671,-7.227567
2018-07-29 00:00:00,-38.675457,4.1662498
2018-07-29 00:30:00,-9.838559,1.5083305
2018-07-29 01:00:00,-2.0313,3.3072326
2018-07-29 01:30:00,-0.12967922,5.365726
2018-07-29 02:00:00,-0.0005651347,0.7895824
2018-07-29 02:30:00,4.784289,-1.9054674
2018-07-29 03:00:00,4.1612773,2.6801271
2018-07-29 03:30:00,1.3493651,2.3786337
2018-07-29 04:00:00,0.5770226,7.039713
2018-07-29 04:30:00,-11.759514,-7.010105
2018-07-29 05:00:00,-20.499435,-7.577779
2018-07-29 05:30:00,0.9353655,0.91011506
2018-07-29 06:00:00,-11.032906,9.05824
2018-07-29 06:30:00,-0.16808572,-0.67638445
2018-07-29 07:00:00,5.0566955,5.901617
2018-07-29 07:30:00,3.1550047,0.3418646
2018-07-29 08:00:00,0.84646684,5.2409506
2018-07-29 08:30:00,-5.3713,3.289065
2018-07-29 09:00:00,2.595423,5.206332
2018-07-29 09:30:00,0.26188818,1.9781921
2018-07-29 10:00:00,-13.119328,-17.129784
2018-07-29 10:30:00,15.344466,2.2481694
2018-07-29 11:00:00,-14.986907,2.0747154
2018-07-29 11:30:00,-8.054137,5.7085752
2018-07-29 12:00:00,-4.1400976,0.43252409
2018-07-29 12:30:00,1.9300901,-0.20729621
2018-07-29 13:00:00,-8.947406,-4.3952365
2018-07-29 13:30:00,-10.105836,-0.3829132
2018-07-29 14:00:00,2.2292414,7.008406
2018-07-29 14:30:00,2.4072006,3.161821
2018-07-29 15:00:00,-3.712776,0.8963953
2018-07-29 15:30:00,-16.873852,-4.735456
2018-07-29 16:00:00,-26.728302,-16.014406
2018-07-29 16:30:00,0.6661747,1.360201
2018-07-29 17:00:00,-5.676988,-6.9701996
2018-07-29 17:30:00,-0.9765889,1.4734151
2018-07-29 18:00:00,0.92840075,0.13412859
2018-07-29 18:30:00,5.4902344,1.4281006
2018-07-29 19:00:00,0.900153,2.1986735
2018-07-29 19:30:00,-24.587427,-14.511024
2018-07-29 20:00:00,1.044232,0.674258
2018-07-29 20:30:00,-0.19310021,1.8937021
2018-07-29 21:00:00,-32.353584,5.097308
2018-07-29 21:30:00,-20.747736,-5.67361
2018-07-29 22:00:00,4.1892896,3.289978
2018-07-29 22:30:00,0.05378075,0.7047822
2018-07-29 23:00:00,5.005976,5.8577747
2018-07-29 23:30:00,0.6786448,4.570606
2018-07-30 00:00:00,4.3625207,0.1966102
2018-07-30 00:30:00,9.559762,0.97621447
2018-07-30 01:00:00,31.991167,13.787018
2018-07-30 01:30:00,2.0734046,2.2218616
2018-07-30 02:00:00,3.5558746,1.8248632
2018-07-30 02:30:00,-6.3439813,7.1738033
2018-07-30 03:00:00,-1.4759218,3.873386
