时间,真实值,预测值
2018-07-25 23:30:00,42.391376,3.2986643
2018-07-26 00:00:00,7.7510285,2.9358299
2018-07-26 00:30:00,7.4822836,3.875684
2018-07-26 01:00:00,3.355278,4.4261556
2018-07-26 01:30:00,4.7732563,4.1535263
2018-07-26 02:00:00,4.843734,2.5102296
2018-07-26 02:30:00,4.9142065,1.9561838
2018-07-26 03:00:00,5.619554,3.336573
2018-07-26 03:30:00,4.443017,3.239307
2018-07-26 04:00:00,-2.9978292,4.748622
2018-07-26 04:30:00,10.351522,4.77867
2018-07-26 05:00:00,8.137016,5.173715
2018-07-26 05:30:00,17.288946,4.5408597
2018-07-26 06:00:00,7.157698,0.666498
2018-07-26 06:30:00,13.257681,1.5631002
2018-07-26 07:00:00,1.7393246,-0.63565785
2018-07-26 07:30:00,-9.779031,-4.2524114
2018-07-26 08:00:00,-7.134819,-8.067875
2018-07-26 08:30:00,-8.1670065,-9.49737
2018-07-26 09:00:00,-9.319551,-12.362474
2018-07-26 09:30:00,-12.254601,-17.07667
2018-07-26 10:00:00,-17.388987,-18.734324
2018-07-26 10:30:00,-24.315876,-20.412611
2018-07-26 11:00:00,-19.384172,-21.426043
2018-07-26 11:30:00,-31.685522,-20.922716
2018-07-26 12:00:00,-16.390364,-19.825218
2018-07-26 12:30:00,-15.588437,-20.187439
2018-07-26 13:00:00,-23.952736,-20.42389
2018-07-26 13:30:00,-18.220188,-19.57014
2018-07-26 14:00:00,-17.177326,-20.285627
2018-07-26 14:30:00,-24.131285,-18.312092
2018-07-26 15:00:00,-17.948454,-19.50601
2018-07-26 15:30:00,-22.859354,-19.124662
2018-07-26 16:00:00,-19.44365,-17.529686
2018-07-26 16:30:00,-12.525674,-18.364483
2018-07-26 17:00:00,-17.620943,-13.808766
2018-07-26 17:30:00,-4.0231433,-10.653555
2018-07-26 18:00:00,-1.9767619,-5.7858195
2018-07-26 18:30:00,2.1956367,-2.0608194
2018-07-26 19:00:00,6.368031,-0.21493381
2018-07-26 19:30:00,16.040987,3.0257945
2018-07-26 20:00:00,25.713942,4.8307786
2018-07-26 20:30:00,15.029607,5.7829585
2018-07-26 21:00:00,17.568579,6.767826
2018-07-26 21:30:00,17.224018,5.439795
2018-07-26 22:00:00,16.879456,5.246836
2018-07-26 22:30:00,16.534893,3.4921956
2018-07-26 23:00:00,16.190336,1.8165133
2018-07-26 23:30:00,15.845774,2.4974842
2018-07-27 00:00:00,15.501212,2.5024521
2018-07-27 00:30:00,15.15665,2.2288833
2018-07-27 01:00:00,14.812088,4.701966
2018-07-27 01:30:00,14.4675255,5.453991
2018-07-27 02:00:00,14.122968,5.202212
2018-07-27 02:30:00,13.778406,4.8826995
2018-07-27 03:00:00,13.433845,6.48298
2018-07-27 03:30:00,13.089282,6.3634696
2018-07-27 04:00:00,12.74472,6.815819
2018-07-27 04:30:00,12.400158,7.064478
2018-07-27 05:00:00,12.0556,6.350318
2018-07-27 05:30:00,11.711039,6.6544285
2018-07-27 06:00:00,11.366477,1.9593297
2018-07-27 06:30:00,2.2563095,0.20246948
2018-07-27 07:00:00,0.56336844,-3.0083506
2018-07-27 07:30:00,-1.1295683,-5.829963
2018-07-27 08:00:00,-2.8225093,-8.488883
2018-07-27 08:30:00,-4.5154505,-9.723357
2018-07-27 09:00:00,-6.2083874,-12.252634
2018-07-27 09:30:00,-7.9013286,-13.094331
2018-07-27 10:00:00,-9.594269,-11.969421
2018-07-27 10:30:00,-11.287206,-11.789295
2018-07-27 11:00:00,-12.980146,-12.558029
2018-07-27 11:30:00,-14.673086,-13.451156
2018-07-27 12:00:00,-16.366024,-13.815167
2018-07-27 12:30:00,-18.058964,-13.816845
2018-07-27 13:00:00,-24.650272,-16.399565
2018-07-27 13:30:00,-23.832281,-16.995214
2018-07-27 14:00:00,-14.167013,-16.823124
2018-07-27 14:30:00,-21.019697,-16.884842
2018-07-27 15:00:00,-22.745687,-15.542823
2018-07-27 15:30:00,-14.631099,-16.57873
2018-07-27 16:00:00,-13.521618,-15.594958
2018-07-27 16:30:00,-14.239326,-14.284623
2018-07-27 17:00:00,-11.147906,-13.814211
2018-07-27 17:30:00,-4.386371,-9.712853
2018-07-27 18:00:00,-3.8519351,-8.128184
2018-07-27 18:30:00,-0.7601273,-4.326096
2018-07-27 19:00:00,2.3316808,-1.795325
2018-07-27 19:30:00,11.0862665,1.776831
2018-07-27 20:00:00,-27.292652,5.692369
2018-07-27 20:30:00,-24.57848,6.2535806
2018-07-27 21:00:00,-21.864311,7.525601
2018-07-27 21:30:00,-19.15014,6.942836
2018-07-27 22:00:00,-16.435966,5.569171
2018-07-27 22:30:00,-13.721797,6.2406344
2018-07-27 23:00:00,-11.007625,6.309941
2018-07-27 23:30:00,-8.293455,7.159105
2018-07-28 00:00:00,-5.579285,8.581816
2018-07-28 00:30:00,-2.8651147,10.787784
2018-07-28 01:00:00,-0.1509448,12.060018
2018-07-28 01:30:00,2.5632255,15.198062
2018-07-28 02:00:00,5.2773995,17.093517
2018-07-28 02:30:00,7.9915695,17.462357
2018-07-28 03:00:00,7.1563435,15.96039
2018-07-28 03:30:00,6.3211217,12.714611
2018-07-28 04:00:00,5.4859004,14.230829
2018-07-28 04:30:00,4.6506743,8.550635
2018-07-28 05:00:00,3.8154528,4.5788164
2018-07-28 05:30:00,5.0560136,4.4781423
2018-07-28 06:00:00,7.026395,5.6561866
2018-07-28 06:30:00,4.5030866,4.1572185
2018-07-28 07:00:00,-6.083057,2.5142756
2018-07-28 07:30:00,-4.4361296,-0.55255294
2018-07-28 08:00:00,-4.6948647,-6.5703263
2018-07-28 08:30:00,-2.858766,-10.314232
2018-07-28 09:00:00,-8.621086,-12.690385
2018-07-28 09:30:00,-13.9625,-14.253671
2018-07-28 10:00:00,-25.69164,-15.784942
2018-07-28 10:30:00,-18.475042,-16.386591
2018-07-28 11:00:00,-17.14543,-19.43553
2018-07-28 11:30:00,-24.660486,-21.317482
2018-07-28 12:00:00,-25.684952,-23.720322
2018-07-28 12:30:00,-28.317654,-24.419596
2018-07-28 13:00:00,-27.179781,-25.203983
2018-07-28 13:30:00,-24.388834,-24.055435
2018-07-28 14:00:00,-22.956675,-24.73092
2018-07-28 14:30:00,-19.48677,-23.412235
2018-07-28 15:00:00,-14.403572,-22.247704
2018-07-28 15:30:00,-14.702431,-17.746597
2018-07-28 16:00:00,-19.622494,-13.82835
2018-07-28 16:30:00,-19.665897,-9.525793
2018-07-28 17:00:00,-12.633283,-6.912647
2018-07-28 17:30:00,-11.377035,-4.3677273
2018-07-28 18:00:00,-6.676593,-2.308303
2018-07-28 18:30:00,-3.5327897,1.205369
2018-07-28 19:00:00,0.9774467,5.1582565
2018-07-28 19:30:00,2.4138944,8.228873
2018-07-28 20:00:00,17.955074,5.1931763
2018-07-28 20:30:00,15.900399,7.4447026
2018-07-28 21:00:00,-22.039137,8.918727
2018-07-28 21:30:00,17.837612,10.229377
2018-07-28 22:00:00,20.475708,12.915963
2018-07-28 22:30:00,6.0276814,13.158091
2018-07-28 23:00:00,12.873031,12.797606
2018-07-28 23:30:00,19.718378,9.39939
2018-07-29 00:00:00,26.563726,10.451012
2018-07-29 00:30:00,15.260902,10.09824
2018-07-29 01:00:00,3.9580812,11.291389
2018-07-29 01:30:00,2.3923185,11.539537
2018-07-29 02:00:00,3.9359984,9.526516
2018-07-29 02:30:00,5.479678,10.349194
2018-07-29 03:00:00,7.0233583,8.679321
2018-07-29 03:30:00,14.019747,9.108548
2018-07-29 04:00:00,9.38931,3.6457825
2018-07-29 04:30:00,-5.8243265,2.408057
2018-07-29 05:00:00,4.330454,0.92577916
2018-07-29 05:30:00,14.485239,-0.40619743
2018-07-29 06:00:00,5.1508503,-0.027563302
2018-07-29 06:30:00,-4.183542,-3.4709153
2018-07-29 07:00:00,-13.51793,-6.7781935
2018-07-29 07:30:00,-6.413004,-8.299332
2018-07-29 08:00:00,-5.727926,-10.775718
2018-07-29 08:30:00,-13.963234,-12.2559805
2018-07-29 09:00:00,-14.274739,-15.561633
2018-07-29 09:30:00,-17.51702,-18.173672
2018-07-29 10:00:00,-18.040487,-21.238262
2018-07-29 10:30:00,-19.667141,-21.837618
2018-07-29 11:00:00,-22.21754,-22.335506
2018-07-29 11:30:00,-21.040516,-23.714985
2018-07-29 12:00:00,-26.42999,-23.969864
2018-07-29 12:30:00,-20.427803,-23.895359
2018-07-29 13:00:00,-18.281633,-23.403954
2018-07-29 13:30:00,-15.957052,-23.080738
2018-07-29 14:00:00,-14.039068,-22.210615
2018-07-29 14:30:00,-19.526794,-21.142853
2018-07-29 15:00:00,-21.105865,-19.547749
2018-07-29 15:30:00,-16.608442,-17.47641
2018-07-29 16:00:00,-18.312607,-15.639766
2018-07-29 16:30:00,-11.887125,-14.987493
2018-07-29 17:00:00,-7.2395434,-14.40677
2018-07-29 17:30:00,-5.302059,-13.935421
2018-07-29 18:00:00,-9.119257,-12.114785
2018-07-29 18:30:00,-3.3777566,-8.715831
2018-07-29 19:00:00,1.9233962,-7.7022657
2018-07-29 19:30:00,7.2245445,-6.4435453
2018-07-29 20:00:00,8.540316,-4.410228
2018-07-29 20:30:00,13.223622,-2.130777
2018-07-29 21:00:00,17.906923,-2.0937467
2018-07-29 21:30:00,22.590223,2.2343624
2018-07-29 22:00:00,27.273525,4.617428
2018-07-29 22:30:00,15.010198,5.815436
2018-07-29 23:00:00,4.310023,7.6953545
2018-07-29 23:30:00,18.545725,9.939541
2018-07-30 00:00:00,13.302598,14.791538
2018-07-30 00:30:00,8.059469,16.329721
2018-07-30 01:00:00,17.261284,14.838185
2018-07-30 01:30:00,5.078612,11.252484
2018-07-30 02:00:00,6.6328263,9.892191
2018-07-30 02:30:00,6.3705044,10.098026
2018-07-30 03:00:00,6.1081862,9.335348
2018-07-30 03:30:00,5.8458643,12.163991
2018-07-30 04:00:00,11.182226,13.22125
2018-07-30 04:30:00,15.435213,12.650748
2018-07-30 05:00:00,5.798505,15.997709
2018-07-30 05:30:00,14.166801,16.767015
2018-07-30 06:00:00,22.535091,19.231716
2018-07-30 06:30:00,30.903393,13.237669
2018-07-30 07:00:00,-10.068308,11.2197275
2018-07-30 07:30:00,-8.541656,14.157801
2018-07-30 08:00:00,-6.605093,8.5168915
2018-07-30 08:30:00,-14.874156,6.2654653
2018-07-30 09:00:00,-25.045712,3.2029147
2018-07-30 09:30:00,-23.805569,-6.054796
2018-07-30 10:00:00,-21.427992,-11.072243
2018-07-30 10:30:00,-22.410004,-13.534571
2018-07-30 11:00:00,-22.030146,-17.980406
2018-07-30 11:30:00,-23.283754,-21.524437
2018-07-30 12:00:00,-26.903828,-26.006582
2018-07-30 12:30:00,-21.077774,-24.087978
2018-07-30 13:00:00,-23.652575,-22.772472
2018-07-30 13:30:00,-20.546167,-21.03781
2018-07-30 14:00:00,-8.8564625,-19.218592
2018-07-30 14:30:00,-30.533598,-18.602058
2018-07-30 15:00:00,-23.422832,-18.822119
2018-07-30 15:30:00,-19.925797,-16.77197
2018-07-30 16:00:00,-21.415047,-15.801359
2018-07-30 16:30:00,-15.1754465,-12.362151
2018-07-30 17:00:00,36.191772,-7.946975
2018-07-30 17:30:00,-0.27224648,-5.4911246
2018-07-30 18:00:00,-0.71048284,-5.035293
2018-07-30 18:30:00,-3.0232806,-2.1493948
2018-07-30 19:00:00,1.5713015,-1.6866814
2018-07-30 19:30:00,6.1658835,-1.6989897
2018-07-30 20:00:00,9.739595,0.03164129
2018-07-30 20:30:00,6.2009344,5.255859
2018-07-30 21:00:00,6.7271867,6.4918103
2018-07-30 21:30:00,11.883471,7.825137
2018-07-30 22:00:00,17.25459,10.750967
2018-07-30 22:30:00,22.625708,10.748114
2018-07-30 23:00:00,5.6632648,9.755216
2018-07-30 23:30:00,27.127573,10.449531
2018-07-31 00:00:00,8.04228,9.448964
2018-07-31 00:30:00,5.302274,6.695618
2018-07-31 01:00:00,2.5622685,7.7000556
2018-07-31 01:30:00,17.940868,7.737724
2018-07-31 02:00:00,6.450542,5.8177824
2018-07-31 02:30:00,11.606559,3.05624
2018-07-31 03:00:00,16.762571,1.7294105
2018-07-31 03:30:00,30.142332,1.2460214
2018-07-31 04:00:00,25.945297,4.6579056
2018-07-31 04:30:00,21.748264,5.411888
2018-07-31 05:00:00,17.551233,4.6289716
2018-07-31 05:30:00,13.354199,4.642416
2018-07-31 06:00:00,6.421062,0.89501464
2018-07-31 06:30:00,6.8559074,-4.121209
2018-07-31 07:00:00,-6.534231,-4.655934
2018-07-31 07:30:00,-6.212875,-7.238119
2018-07-31 08:00:00,-16.457838,-10.172175
2018-07-31 08:30:00,-18.107769,-14.299243
2018-07-31 09:00:00,-21.004599,-16.271656
2018-07-31 09:30:00,-23.221128,-19.08722
2018-07-31 10:00:00,-30.873781,-21.12023
2018-07-31 10:30:00,-28.654419,-22.43397
2018-07-31 11:00:00,-22.983656,-24.621248
2018-07-31 11:30:00,-25.59316,-24.594742
2018-07-31 12:00:00,-26.0685,-26.593506
