时间,真实值,预测值
2018-07-25 23:30:00,42.391376,9.7479105
2018-07-26 00:00:00,7.7510285,9.802326
2018-07-26 00:30:00,7.4822836,9.902393
2018-07-26 01:00:00,3.355278,9.865646
2018-07-26 01:30:00,4.7732563,9.462374
2018-07-26 02:00:00,4.843734,9.581587
2018-07-26 02:30:00,4.9142065,9.517192
2018-07-26 03:00:00,5.619554,8.993569
2018-07-26 03:30:00,4.443017,8.919919
2018-07-26 04:00:00,-2.9978292,9.008775
2018-07-26 04:30:00,10.351522,8.377055
2018-07-26 05:00:00,8.137016,6.698843
2018-07-26 05:30:00,17.288946,4.335457
2018-07-26 06:00:00,7.157698,0.57901067
2018-07-26 06:30:00,13.257681,-1.3690782
2018-07-26 07:00:00,1.7393246,-4.0464716
2018-07-26 07:30:00,-9.779031,-6.961758
2018-07-26 08:00:00,-7.134819,-9.292653
2018-07-26 08:30:00,-8.1670065,-11.77665
2018-07-26 09:00:00,-9.319551,-13.693337
2018-07-26 09:30:00,-12.254601,-16.375296
2018-07-26 10:00:00,-17.388987,-18.151613
2018-07-26 10:30:00,-24.315876,-19.163273
2018-07-26 11:00:00,-19.384172,-19.123123
2018-07-26 11:30:00,-31.685522,-19.136425
2018-07-26 12:00:00,-16.390364,-18.714417
2018-07-26 12:30:00,-15.588437,-19.17761
2018-07-26 13:00:00,-23.952736,-19.339138
2018-07-26 13:30:00,-18.220188,-18.976385
2018-07-26 14:00:00,-17.177326,-19.547665
2018-07-26 14:30:00,-24.131285,-18.983768
2018-07-26 15:00:00,-17.948454,-19.750984
2018-07-26 15:30:00,-22.859354,-19.92168
2018-07-26 16:00:00,-19.44365,-17.902876
2018-07-26 16:30:00,-12.525674,-14.92662
2018-07-26 17:00:00,-17.620943,-11.880449
2018-07-26 17:30:00,-4.0231433,-8.218206
2018-07-26 18:00:00,-1.9767619,-3.708127
2018-07-26 18:30:00,2.1956367,0.8676582
2018-07-26 19:00:00,6.368031,4.721934
2018-07-26 19:30:00,16.040987,7.6569433
2018-07-26 20:00:00,25.713942,8.898519
2018-07-26 20:30:00,15.029607,8.129724
2018-07-26 21:00:00,17.568579,5.864989
2018-07-26 21:30:00,17.224018,3.1267614
2018-07-26 22:00:00,16.879456,0.65581495
2018-07-26 22:30:00,16.534893,-1.150611
2018-07-26 23:00:00,16.190336,-2.0778205
2018-07-26 23:30:00,15.845774,-2.8396065
2018-07-27 00:00:00,15.501212,-1.0595015
2018-07-27 00:30:00,15.15665,1.6360507
2018-07-27 01:00:00,14.812088,4.552054
2018-07-27 01:30:00,14.4675255,6.6505265
2018-07-27 02:00:00,14.122968,7.8176217
2018-07-27 02:30:00,13.778406,8.157164
2018-07-27 03:00:00,13.433845,8.100169
2018-07-27 03:30:00,13.089282,8.329936
2018-07-27 04:00:00,12.74472,7.570282
2018-07-27 04:30:00,12.400158,7.3686457
2018-07-27 05:00:00,12.0556,7.8492994
2018-07-27 05:30:00,11.711039,9.289872
2018-07-27 06:00:00,11.366477,10.689757
2018-07-27 06:30:00,2.2563095,12.106622
2018-07-27 07:00:00,0.56336844,12.395531
2018-07-27 07:30:00,-1.1295683,10.248629
2018-07-27 08:00:00,-2.8225093,6.3697004
2018-07-27 08:30:00,-4.5154505,1.6792285
2018-07-27 09:00:00,-6.2083874,-2.590921
2018-07-27 09:30:00,-7.9013286,-7.126386
2018-07-27 10:00:00,-9.594269,-11.879898
2018-07-27 10:30:00,-11.287206,-17.80443
2018-07-27 11:00:00,-12.980146,-20.692392
2018-07-27 11:30:00,-14.673086,-24.484905
2018-07-27 12:00:00,-16.366024,-23.836683
2018-07-27 12:30:00,-18.058964,-22.712404
2018-07-27 13:00:00,-24.650272,-21.72915
2018-07-27 13:30:00,-23.832281,-18.898455
2018-07-27 14:00:00,-14.167013,-15.912105
2018-07-27 14:30:00,-21.019697,-14.711477
2018-07-27 15:00:00,-22.745687,-13.13241
2018-07-27 15:30:00,-14.631099,-14.057268
2018-07-27 16:00:00,-13.521618,-13.751756
2018-07-27 16:30:00,-14.239326,-12.895019
2018-07-27 17:00:00,-11.147906,-13.577432
2018-07-27 17:30:00,-4.386371,-11.561819
2018-07-27 18:00:00,-3.8519351,-9.801918
2018-07-27 18:30:00,-0.7601273,-6.47774
2018-07-27 19:00:00,2.3316808,-2.578665
2018-07-27 19:30:00,11.0862665,1.6356138
2018-07-27 20:00:00,-27.292652,5.2639155
2018-07-27 20:30:00,-24.57848,6.041484
2018-07-27 21:00:00,-21.864311,5.8313184
2018-07-27 21:30:00,-19.15014,4.9614086
2018-07-27 22:00:00,-16.435966,4.099224
2018-07-27 22:30:00,-13.721797,3.243401
2018-07-27 23:00:00,-11.007625,1.8658345
2018-07-27 23:30:00,-8.293455,-0.712082
2018-07-28 00:00:00,-5.579285,-4.511116
2018-07-28 00:30:00,-2.8651147,-8.269856
2018-07-28 01:00:00,-0.1509448,-10.797822
2018-07-28 01:30:00,2.5632255,-11.413707
2018-07-28 02:00:00,5.2773995,-10.103175
2018-07-28 02:30:00,7.9915695,-7.8641586
2018-07-28 03:00:00,7.1563435,-5.4770164
2018-07-28 03:30:00,6.3211217,-3.0609837
2018-07-28 04:00:00,5.4859004,-0.49454117
2018-07-28 04:30:00,4.6506743,-1.1911323
2018-07-28 05:00:00,3.8154528,-2.2224238
2018-07-28 05:30:00,5.0560136,-2.5399482
2018-07-28 06:00:00,7.026395,-3.0270338
2018-07-28 06:30:00,4.5030866,-3.2925587
2018-07-28 07:00:00,-6.083057,-3.4505892
2018-07-28 07:30:00,-4.4361296,-4.0743694
2018-07-28 08:00:00,-4.6948647,-6.1714444
2018-07-28 08:30:00,-2.858766,-9.517617
2018-07-28 09:00:00,-8.621086,-12.927029
2018-07-28 09:30:00,-13.9625,-15.709949
2018-07-28 10:00:00,-25.69164,-17.86903
2018-07-28 10:30:00,-18.475042,-19.29221
2018-07-28 11:00:00,-17.14543,-20.485735
2018-07-28 11:30:00,-24.660486,-21.962969
2018-07-28 12:00:00,-25.684952,-23.679873
2018-07-28 12:30:00,-28.317654,-24.715612
2018-07-28 13:00:00,-27.179781,-24.80673
2018-07-28 13:30:00,-24.388834,-24.22626
2018-07-28 14:00:00,-22.956675,-22.21035
2018-07-28 14:30:00,-19.48677,-22.353828
2018-07-28 15:00:00,-14.403572,-20.598272
2018-07-28 15:30:00,-14.702431,-18.305729
2018-07-28 16:00:00,-19.622494,-15.897168
2018-07-28 16:30:00,-19.665897,-13.936039
2018-07-28 17:00:00,-12.633283,-12.219397
2018-07-28 17:30:00,-11.377035,-9.952817
2018-07-28 18:00:00,-6.676593,-8.19726
2018-07-28 18:30:00,-3.5327897,-6.186737
2018-07-28 19:00:00,0.9774467,-4.014287
2018-07-28 19:30:00,2.4138944,-1.0637311
2018-07-28 20:00:00,17.955074,-0.45650166
2018-07-28 20:30:00,15.900399,0.93939406
2018-07-28 21:00:00,-22.039137,2.6349263
2018-07-28 21:30:00,17.837612,4.1292415
2018-07-28 22:00:00,20.475708,5.91528
2018-07-28 22:30:00,6.0276814,7.461092
2018-07-28 23:00:00,12.873031,8.813579
2018-07-28 23:30:00,19.718378,15.521377
2018-07-29 00:00:00,26.563726,15.602314
2018-07-29 00:30:00,15.260902,13.792541
2018-07-29 01:00:00,3.9580812,9.603154
2018-07-29 01:30:00,2.3923185,3.5501156
2018-07-29 02:00:00,3.9359984,-2.7903028
2018-07-29 02:30:00,5.479678,-7.400309
2018-07-29 03:00:00,7.0233583,-8.245926
2018-07-29 03:30:00,14.019747,-5.7146254
2018-07-29 04:00:00,9.38931,-2.193346
2018-07-29 04:30:00,-5.8243265,0.2308003
2018-07-29 05:00:00,4.330454,1.1072379
2018-07-29 05:30:00,14.485239,0.85820293
2018-07-29 06:00:00,5.1508503,0.13115306
2018-07-29 06:30:00,-4.183542,-2.1119626
2018-07-29 07:00:00,-13.51793,-6.21606
2018-07-29 07:30:00,-6.413004,-11.142637
2018-07-29 08:00:00,-5.727926,-15.423532
2018-07-29 08:30:00,-13.963234,-18.464373
2018-07-29 09:00:00,-14.274739,-20.41226
2018-07-29 09:30:00,-17.51702,-22.512762
2018-07-29 10:00:00,-18.040487,-26.398441
2018-07-29 10:30:00,-19.667141,-29.494003
2018-07-29 11:00:00,-22.21754,-31.430178
2018-07-29 11:30:00,-21.040516,-32.98205
