时间,真实值,预测值
2018-07-25 23:30:00,42.391376,12.121364
2018-07-26 00:00:00,7.7510285,11.60946
2018-07-26 00:30:00,7.4822836,11.551793
2018-07-26 01:00:00,3.355278,11.829906
2018-07-26 01:30:00,4.7732563,12.01258
2018-07-26 02:00:00,4.843734,11.766066
2018-07-26 02:30:00,4.9142065,11.277683
2018-07-26 03:00:00,5.619554,10.02529
2018-07-26 03:30:00,4.443017,8.0647955
2018-07-26 04:00:00,-2.9978292,6.280063
2018-07-26 04:30:00,10.351522,4.2598147
2018-07-26 05:00:00,8.137016,1.6119932
2018-07-26 05:30:00,17.288946,-0.76903635
2018-07-26 06:00:00,7.157698,-2.1031845
2018-07-26 06:30:00,13.257681,-4.447599
2018-07-26 07:00:00,1.7393246,-5.3812404
2018-07-26 07:30:00,-9.779031,-8.332696
2018-07-26 08:00:00,-7.134819,-13.453432
2018-07-26 08:30:00,-8.1670065,-19.48198
2018-07-26 09:00:00,-9.319551,-24.524693
2018-07-26 09:30:00,-12.254601,-29.192013
2018-07-26 10:00:00,-17.388987,-30.63541
2018-07-26 10:30:00,-24.315876,-30.85824
2018-07-26 11:00:00,-19.384172,-29.0463
2018-07-26 11:30:00,-31.685522,-27.64639
2018-07-26 12:00:00,-16.390364,-25.460947
2018-07-26 12:30:00,-15.588437,-25.029284
2018-07-26 13:00:00,-23.952736,-24.385384
2018-07-26 13:30:00,-18.220188,-22.7991
2018-07-26 14:00:00,-17.177326,-22.847157
2018-07-26 14:30:00,-24.131285,-20.206432
2018-07-26 15:00:00,-17.948454,-18.169231
2018-07-26 15:30:00,-22.859354,-17.519173
2018-07-26 16:00:00,-19.44365,-14.220411
2018-07-26 16:30:00,-12.525674,-10.224905
2018-07-26 17:00:00,-17.620943,-6.713606
2018-07-26 17:30:00,-4.0231433,-3.149454
2018-07-26 18:00:00,-1.9767619,-0.06287196
2018-07-26 18:30:00,2.1956367,2.7608683
2018-07-26 19:00:00,6.368031,5.876314
2018-07-26 19:30:00,16.040987,9.238681
2018-07-26 20:00:00,25.713942,12.555366
2018-07-26 20:30:00,15.029607,15.288521
2018-07-26 21:00:00,17.568579,16.621742
2018-07-26 21:30:00,17.224018,16.294666
2018-07-26 22:00:00,16.879456,14.843599
2018-07-26 22:30:00,16.534893,12.910655
2018-07-26 23:00:00,16.190336,11.02035
2018-07-26 23:30:00,15.845774,7.750133
2018-07-27 00:00:00,15.501212,6.338302
2018-07-27 00:30:00,15.15665,7.016804
2018-07-27 01:00:00,14.812088,8.896154
2018-07-27 01:30:00,14.4675255,12.198775
2018-07-27 02:00:00,14.122968,16.31536
2018-07-27 02:30:00,13.778406,20.761318
2018-07-27 03:00:00,13.433845,25.60574
2018-07-27 03:30:00,13.089282,29.294477
2018-07-27 04:00:00,12.74472,31.1468
2018-07-27 04:30:00,12.400158,30.570501
2018-07-27 05:00:00,12.0556,26.980858
2018-07-27 05:30:00,11.711039,21.458775
2018-07-27 06:00:00,11.366477,15.348066
2018-07-27 06:30:00,2.2563095,8.97971
2018-07-27 07:00:00,0.56336844,1.1225832
2018-07-27 07:30:00,-1.1295683,-8.574417
2018-07-27 08:00:00,-2.8225093,-15.629987
2018-07-27 08:30:00,-4.5154505,-20.658169
