时间,真实值,预测值
2018-07-25 23:30:00,4.3779464,-1.217587
2018-07-26 00:00:00,-8.190729,-9.507125
2018-07-26 00:30:00,-1.0719764,2.885532
2018-07-26 01:00:00,-7.639219,-6.324125
2018-07-26 01:30:00,-5.4177985,0.5255716
2018-07-26 02:00:00,-4.696876,-5.60779
2018-07-26 02:30:00,-1.2876862,-4.995663
2018-07-26 03:00:00,-3.5403838,1.7277254
2018-07-26 03:30:00,-5.0661116,18.048248
2018-07-26 04:00:00,-0.7682476,0.06455031
2018-07-26 04:30:00,-19.596361,-18.603773
2018-07-26 05:00:00,2.0874524,2.3181472
2018-07-26 05:30:00,3.8242812,0.92552817
2018-07-26 06:00:00,-28.650173,-20.0913
2018-07-26 06:30:00,0.25458592,0.2853886
2018-07-26 07:00:00,-11.887084,-19.019068
2018-07-26 07:30:00,0.41770864,0.82052445
2018-07-26 08:00:00,14.136451,-2.90591
2018-07-26 08:30:00,-1.2406478,0.25920945
2018-07-26 09:00:00,4.3755064,-7.9642587
2018-07-26 09:30:00,1.6619982,5.6418495
2018-07-26 10:00:00,1.7379531,10.373832
2018-07-26 10:30:00,-3.7482061,-7.5950346
2018-07-26 11:00:00,-2.1777263,-1.8433148
2018-07-26 11:30:00,-15.375581,-15.953854
2018-07-26 12:00:00,16.637798,-4.81093
2018-07-26 12:30:00,2.328722,2.359315
2018-07-26 13:00:00,-6.535565,-1.608395
2018-07-26 13:30:00,0.31703347,-2.8048844
2018-07-26 14:00:00,10.630465,4.494934
2018-07-26 14:30:00,1.580177,-3.0916815
2018-07-26 15:00:00,-28.305738,-27.180737
2018-07-26 15:30:00,0.794665,0.7589576
2018-07-26 16:00:00,-0.84532714,1.7712172
2018-07-26 16:30:00,6.2085567,6.7031837
2018-07-26 17:00:00,1.0321788,0.50161093
2018-07-26 17:30:00,-4.975737,1.215285
2018-07-26 18:00:00,-3.5089693,-4.538726
2018-07-26 18:30:00,23.159292,6.286678
2018-07-26 19:00:00,-0.71627474,0.9438522
2018-07-26 19:30:00,-14.757522,-13.574159
2018-07-26 20:00:00,-8.100315,-8.261306
2018-07-26 20:30:00,0.44486022,4.749897
2018-07-26 21:00:00,4.2355456,0.48900867
2018-07-26 21:30:00,1.2087964,-0.6322907
2018-07-26 22:00:00,1.7050887,0.80586433
2018-07-26 22:30:00,0.14658338,-2.6964073
2018-07-26 23:00:00,-3.3364582,-0.91945803
2018-07-26 23:30:00,0.86999464,1.7410241
2018-07-27 00:00:00,-8.2726965,-4.253435
2018-07-27 00:30:00,6.511923,1.8243126
2018-07-27 01:00:00,-0.7966794,-0.8612145
2018-07-27 01:30:00,-7.5877657,-1.6882081
2018-07-27 02:00:00,1.8238353,3.7973695
2018-07-27 02:30:00,0.5831412,0.38728827
2018-07-27 03:00:00,0.93536663,-0.27733767
2018-07-27 03:30:00,2.1229882,-11.117569
2018-07-27 04:00:00,-0.13416404,1.0575413
2018-07-27 04:30:00,10.027595,8.624851
2018-07-27 05:00:00,-8.302768,-2.7045627
2018-07-27 05:30:00,4.8166957,0.46488637
2018-07-27 06:00:00,-0.3334479,0.6067656
2018-07-27 06:30:00,-2.0991087,-0.92201924
2018-07-27 07:00:00,18.113874,3.5478969
2018-07-27 07:30:00,-27.622034,-23.175
2018-07-27 08:00:00,0.4856729,-0.037210137
2018-07-27 08:30:00,-3.9104018,-3.7230296
2018-07-27 09:00:00,-1.7064027,-4.116622
2018-07-27 09:30:00,0.40519083,-0.08801064
2018-07-27 10:00:00,-2.9528584,-5.8484683
2018-07-27 10:30:00,4.121975,3.4597144
2018-07-27 11:00:00,15.592946,-0.10999048
2018-07-27 11:30:00,-7.6148696,-10.519767
2018-07-27 12:00:00,-9.8882675,1.438148
2018-07-27 12:30:00,-1.6797944,4.479683
2018-07-27 13:00:00,-1.9296825,-1.05991
2018-07-27 13:30:00,0.7772716,-1.7537471
2018-07-27 14:00:00,1.5911721,2.3966255
2018-07-27 14:30:00,0.32355392,5.3866987
2018-07-27 15:00:00,-8.589014,-4.12509
2018-07-27 15:30:00,-2.8252478,-4.0270348
2018-07-27 16:00:00,2.9625382,1.5984029
2018-07-27 16:30:00,-6.053925,0.7576978
2018-07-27 17:00:00,-26.192513,-27.632282
2018-07-27 17:30:00,-2.930182,-1.4958869
2018-07-27 18:00:00,-2.4268718,-0.5159026
2018-07-27 18:30:00,-12.281598,-9.92828
2018-07-27 19:00:00,3.5008893,2.8666983
2018-07-27 19:30:00,2.0397496,2.768179
2018-07-27 20:00:00,-14.290339,-16.966597
2018-07-27 20:30:00,-2.1418629,-0.88869774
2018-07-27 21:00:00,-7.6844044,-4.9458222
2018-07-27 21:30:00,74.86222,14.208954
2018-07-27 22:00:00,6.368032,4.0098
2018-07-27 22:30:00,-15.573512,21.138466
2018-07-27 23:00:00,-0.1519317,7.815148
2018-07-27 23:30:00,0.48897368,0.7253424
2018-07-28 00:00:00,-2.687417,-5.9221196
2018-07-28 00:30:00,3.0120983,3.7624793
2018-07-28 01:00:00,0.9530543,-4.740394
2018-07-28 01:30:00,5.4783587,-9.235967
2018-07-28 02:00:00,-6.3398986,-5.4903603
2018-07-28 02:30:00,3.407382,6.524097
2018-07-28 03:00:00,-33.348045,-26.173628
2018-07-28 03:30:00,-4.7353864,4.6905503
2018-07-28 04:00:00,-2.2549415,-6.0237613
2018-07-28 04:30:00,0.40526778,1.6760699
2018-07-28 05:00:00,19.22384,1.4951651
2018-07-28 05:30:00,-2.6933446,-4.086383
2018-07-28 06:00:00,3.3912148,0.23623735
2018-07-28 06:30:00,-19.45011,-22.571186
2018-07-28 07:00:00,-3.7352695,-0.3803851
2018-07-28 07:30:00,2.2669601,-0.8832211
2018-07-28 08:00:00,-17.87755,-17.728605
2018-07-28 08:30:00,-10.945759,-13.24097
2018-07-28 09:00:00,0.761467,0.87362206
2018-07-28 09:30:00,1.885924,1.4407251
