时间,真实值,预测值
2018-07-25 23:30:00,42.391376,12.335833
2018-07-26 00:00:00,7.7510285,12.009316
2018-07-26 00:30:00,7.4822836,9.849349
2018-07-26 01:00:00,3.355278,9.795519
2018-07-26 01:30:00,4.7732563,10.459183
2018-07-26 02:00:00,4.843734,9.163209
2018-07-26 02:30:00,4.9142065,8.996662
2018-07-26 03:00:00,5.619554,9.756601
2018-07-26 03:30:00,4.443017,8.222066
2018-07-26 04:00:00,-2.9978292,7.7811728
2018-07-26 04:30:00,10.351522,7.739852
2018-07-26 05:00:00,8.137016,6.3812704
2018-07-26 05:30:00,17.288946,5.8135047
2018-07-26 06:00:00,7.157698,3.6692545
2018-07-26 06:30:00,13.257681,1.8785536
2018-07-26 07:00:00,1.7393246,0.34364292
2018-07-26 07:30:00,-9.779031,-2.2191732
2018-07-26 08:00:00,-7.134819,-6.144486
2018-07-26 08:30:00,-8.1670065,-10.285224
2018-07-26 09:00:00,-9.319551,-13.003156
2018-07-26 09:30:00,-12.254601,-17.46754
2018-07-26 10:00:00,-17.388987,-18.978788
2018-07-26 10:30:00,-24.315876,-20.19523
2018-07-26 11:00:00,-19.384172,-19.795143
2018-07-26 11:30:00,-31.685522,-22.224176
2018-07-26 12:00:00,-16.390364,-19.572756
2018-07-26 12:30:00,-15.588437,-20.03131
2018-07-26 13:00:00,-23.952736,-22.41472
2018-07-26 13:30:00,-18.220188,-21.236774
2018-07-26 14:00:00,-17.177326,-19.564283
2018-07-26 14:30:00,-24.131285,-16.390314
2018-07-26 15:00:00,-17.948454,-15.833315
2018-07-26 15:30:00,-22.859354,-15.814779
2018-07-26 16:00:00,-19.44365,-11.938889
2018-07-26 16:30:00,-12.525674,-10.109038
2018-07-26 17:00:00,-17.620943,-8.35241
2018-07-26 17:30:00,-4.0231433,-5.3285637
2018-07-26 18:00:00,-1.9767619,-2.594482
2018-07-26 18:30:00,2.1956367,-0.5892685
2018-07-26 19:00:00,6.368031,1.4211053
2018-07-26 19:30:00,16.040987,2.8597596
2018-07-26 20:00:00,25.713942,4.722379
2018-07-26 20:30:00,15.029607,4.613609
2018-07-26 21:00:00,17.568579,5.4393406
2018-07-26 21:30:00,17.224018,6.5721407
2018-07-26 22:00:00,16.879456,6.831269
2018-07-26 22:30:00,16.534893,7.6505685
2018-07-26 23:00:00,16.190336,7.323602
2018-07-26 23:30:00,15.845774,10.377437
2018-07-27 00:00:00,15.501212,8.505046
2018-07-27 00:30:00,15.15665,7.979733
2018-07-27 01:00:00,14.812088,9.063601
2018-07-27 01:30:00,14.4675255,7.958389
2018-07-27 02:00:00,14.122968,8.142224
2018-07-27 02:30:00,13.778406,9.136398
2018-07-27 03:00:00,13.433845,9.343917
2018-07-27 03:30:00,13.089282,7.7558827
2018-07-27 04:00:00,12.74472,6.9181924
2018-07-27 04:30:00,12.400158,6.358436
2018-07-27 05:00:00,12.0556,5.142662
2018-07-27 05:30:00,11.711039,3.5999305
2018-07-27 06:00:00,11.366477,1.744961
2018-07-27 06:30:00,2.2563095,-0.62412274
2018-07-27 07:00:00,0.56336844,-3.713497
2018-07-27 07:30:00,-1.1295683,-8.16137
2018-07-27 08:00:00,-2.8225093,-10.766712
2018-07-27 08:30:00,-4.5154505,-13.714804
2018-07-27 09:00:00,-6.2083874,-14.987095
2018-07-27 09:30:00,-7.9013286,-18.893084
2018-07-27 10:00:00,-9.594269,-20.61702
2018-07-27 10:30:00,-11.287206,-23.621521
2018-07-27 11:00:00,-12.980146,-23.554464
2018-07-27 11:30:00,-14.673086,-27.48464
2018-07-27 12:00:00,-16.366024,-22.072344
2018-07-27 12:30:00,-18.058964,-21.205603
2018-07-27 13:00:00,-24.650272,-23.30319
2018-07-27 13:30:00,-23.832281,-23.245079
2018-07-27 14:00:00,-14.167013,-20.283037
2018-07-27 14:30:00,-21.019697,-21.598078
2018-07-27 15:00:00,-22.745687,-19.495104
2018-07-27 15:30:00,-14.631099,-18.986015
2018-07-27 16:00:00,-13.521618,-17.348017
2018-07-27 16:30:00,-14.239326,-14.062442
2018-07-27 17:00:00,-11.147906,-11.839045
2018-07-27 17:30:00,-4.386371,-6.3934073
2018-07-27 18:00:00,-3.8519351,-3.0528784
2018-07-27 18:30:00,-0.7601273,-2.0406287
2018-07-27 19:00:00,2.3316808,0.69806653
2018-07-27 19:30:00,11.0862665,3.9412243
2018-07-27 20:00:00,-27.292652,5.732593
2018-07-27 20:30:00,-24.57848,7.0898595
2018-07-27 21:00:00,-21.864311,9.259055
2018-07-27 21:30:00,-19.15014,9.04847
2018-07-27 22:00:00,-16.435966,9.289501
2018-07-27 22:30:00,-13.721797,8.636428
2018-07-27 23:00:00,-11.007625,9.375682
2018-07-27 23:30:00,-8.293455,9.520438
2018-07-28 00:00:00,-5.579285,10.194719
2018-07-28 00:30:00,-2.8651147,11.342708
2018-07-28 01:00:00,-0.1509448,11.925289
2018-07-28 01:30:00,2.5632255,11.698503
2018-07-28 02:00:00,5.2773995,10.935568
2018-07-28 02:30:00,7.9915695,10.636337
2018-07-28 03:00:00,7.1563435,11.088538
2018-07-28 03:30:00,6.3211217,9.264644
2018-07-28 04:00:00,5.4859004,10.049579
2018-07-28 04:30:00,4.6506743,8.716841
2018-07-28 05:00:00,3.8154528,9.173635
2018-07-28 05:30:00,5.0560136,5.7835703
2018-07-28 06:00:00,7.026395,5.4517407
2018-07-28 06:30:00,4.5030866,3.0348566
2018-07-28 07:00:00,-6.083057,0.9945002
2018-07-28 07:30:00,-4.4361296,-2.0302515
2018-07-28 08:00:00,-4.6948647,-3.8614035
2018-07-28 08:30:00,-2.858766,-6.4204884
2018-07-28 09:00:00,-8.621086,-9.120489
2018-07-28 09:30:00,-13.9625,-10.082953
2018-07-28 10:00:00,-25.69164,-11.747023
2018-07-28 10:30:00,-18.475042,-12.069253
2018-07-28 11:00:00,-17.14543,-13.1850605
2018-07-28 11:30:00,-24.660486,-14.264794
2018-07-28 12:00:00,-25.684952,-15.895967
2018-07-28 12:30:00,-28.317654,-16.029053
2018-07-28 13:00:00,-27.179781,-18.551395
2018-07-28 13:30:00,-24.388834,-20.359295
2018-07-28 14:00:00,-22.956675,-18.568926
2018-07-28 14:30:00,-19.48677,-18.302395
2018-07-28 15:00:00,-14.403572,-20.12093
2018-07-28 15:30:00,-14.702431,-17.108896
2018-07-28 16:00:00,-19.622494,-16.589827
2018-07-28 16:30:00,-19.665897,-14.733048
2018-07-28 17:00:00,-12.633283,-11.663555
2018-07-28 17:30:00,-11.377035,-8.18576
2018-07-28 18:00:00,-6.676593,-5.4112883
2018-07-28 18:30:00,-3.5327897,-2.9873734
2018-07-28 19:00:00,0.9774467,-0.6020008
2018-07-28 19:30:00,2.4138944,2.5931773
2018-07-28 20:00:00,17.955074,2.9638329
2018-07-28 20:30:00,15.900399,3.0314748
2018-07-28 21:00:00,-22.039137,6.444455
2018-07-28 21:30:00,17.837612,6.9864593
2018-07-28 22:00:00,20.475708,8.754204
