时间,真实值,预测值
2018-07-25 23:30:00,-20.078234,-17.41056
2018-07-26 00:00:00,-30.189219,-21.70962
2018-07-26 00:30:00,-24.131283,-19.411942
2018-07-26 01:00:00,-20.068756,3.1477656
2018-07-26 01:30:00,0.761467,0.9502044
2018-07-26 02:00:00,31.954441,22.489529
2018-07-26 02:30:00,-23.287918,-18.880081
2018-07-26 03:00:00,26.847883,-0.38927823
2018-07-26 03:30:00,-3.1546023,3.8546805
2018-07-26 04:00:00,0.34423107,-0.44206414
2018-07-26 04:30:00,0.4580323,0.29820156
2018-07-26 05:00:00,-18.220186,-19.924625
2018-07-26 05:30:00,2.792493,1.9527584
2018-07-26 06:00:00,0.7109653,5.4846363
2018-07-26 06:30:00,-7.5752935,-5.3418736
2018-07-26 07:00:00,0.40437925,0.03209871
2018-07-26 07:30:00,-23.822227,-6.4768386
2018-07-26 08:00:00,1.8472537,3.5386503
2018-07-26 08:30:00,-2.2197728,-0.42894322
2018-07-26 09:00:00,-2.1597772,-0.34366658
2018-07-26 09:30:00,-1.2092863,0.8558222
2018-07-26 10:00:00,0.2914133,-0.22777332
2018-07-26 10:30:00,1.867608,0.46133637
2018-07-26 11:00:00,0.72942615,0.11221838
2018-07-26 11:30:00,5.9608393,1.8963767
2018-07-26 12:00:00,1.7389158,-1.7080053
2018-07-26 12:30:00,2.9744005,4.099108
2018-07-26 13:00:00,5.9366174,9.970846
2018-07-26 13:30:00,-1.6082329,0.12641215
2018-07-26 14:00:00,-1.8132175,2.7550426
2018-07-26 14:30:00,0.5144075,-0.010315
2018-07-26 15:00:00,-4.9317694,0.9327284
2018-07-26 15:30:00,7.888782,2.5199437
2018-07-26 16:00:00,-5.7231493,1.4147515
2018-07-26 16:30:00,7.8420253,-0.9426648
2018-07-26 17:00:00,3.3687985,1.787805
2018-07-26 17:30:00,2.2904258,4.8571076
2018-07-26 18:00:00,0.91895366,1.2070993
2018-07-26 18:30:00,4.0522923,2.894309
2018-07-26 19:00:00,4.437815,2.8426847
2018-07-26 19:30:00,4.9375033,4.192937
2018-07-26 20:00:00,3.4868007,1.4328858
2018-07-26 20:30:00,-24.063635,-22.415604
2018-07-26 21:00:00,5.0204797,1.0678889
2018-07-26 21:30:00,-6.641715,1.1919607
2018-07-26 22:00:00,-4.0611296,1.649994
2018-07-26 22:30:00,-8.313553,-5.4178743
2018-07-26 23:00:00,14.51902,0.6843101
2018-07-26 23:30:00,1.3115091,2.1995957
2018-07-27 00:00:00,-12.6205225,-5.852322
2018-07-27 00:30:00,7.3466787,1.086361
2018-07-27 01:00:00,17.734934,0.8538575
2018-07-27 01:30:00,1.6677173,-0.43198785
2018-07-27 02:00:00,1.288934,0.79705894
2018-07-27 02:30:00,-6.964741,3.1322858
2018-07-27 03:00:00,12.644825,-0.75620645
2018-07-27 03:30:00,13.190369,1.1734774
2018-07-27 04:00:00,-5.7361946,-14.680441
2018-07-27 04:30:00,6.3562627,3.6094193
2018-07-27 05:00:00,1.1688147,4.8432283
2018-07-27 05:30:00,2.1490757,1.2794938
2018-07-27 06:00:00,1.8038245,1.2721896
2018-07-27 06:30:00,-7.0774636,-5.4864817
2018-07-27 07:00:00,-0.10714355,-1.4507418
2018-07-27 07:30:00,-4.96785,0.35977495
2018-07-27 08:00:00,-2.1777263,-1.220491
2018-07-27 08:30:00,-2.686843,-1.620561
2018-07-27 09:00:00,1.3666618,0.5548306
2018-07-27 09:30:00,-0.040651232,-0.5279928
2018-07-27 10:00:00,-33.178017,-23.403782
2018-07-27 10:30:00,1.1980627,1.9596146
2018-07-27 11:00:00,-2.732263,-11.520028
2018-07-27 11:30:00,0.86999464,1.8256932
2018-07-27 12:00:00,5.5937777,3.1237073
2018-07-27 12:30:00,-9.08064,-5.700555
2018-07-27 13:00:00,1.3802729,0.47771013
2018-07-27 13:30:00,4.4483128,0.19413298
2018-07-27 14:00:00,6.3807225,1.002476
2018-07-27 14:30:00,-19.064491,-14.942505
2018-07-27 15:00:00,3.5948524,0.37326574
2018-07-27 15:30:00,1.1581184,-0.056830317
2018-07-27 16:00:00,5.494615,1.1459376
2018-07-27 16:30:00,1.5983218,2.374562
2018-07-27 17:00:00,-2.2001681,4.892252
2018-07-27 17:30:00,-2.0829947,0.4848227
2018-07-27 18:00:00,-15.973124,-8.0600395
2018-07-27 18:30:00,5.1873674,-0.88369834
2018-07-27 19:00:00,-0.16237286,1.012824
2018-07-27 19:30:00,13.605083,-1.4478201
2018-07-27 20:00:00,-22.77726,-17.317635
2018-07-27 20:30:00,2.8148868,-0.6333419
2018-07-27 21:00:00,0.7195971,0.70036435
2018-07-27 21:30:00,3.8636374,17.21362
2018-07-27 22:00:00,3.6379123,2.2284906
2018-07-27 22:30:00,5.753961,-0.20157216
2018-07-27 23:00:00,-0.19690382,1.9351667
2018-07-27 23:30:00,-3.462854,1.948747
2018-07-28 00:00:00,1.5532746,0.01518795
2018-07-28 00:30:00,-10.502892,1.6843301
2018-07-28 01:00:00,2.3346744,4.1070046
2018-07-28 01:30:00,1.9185044,4.421896
2018-07-28 02:00:00,-9.556042,-10.164993
2018-07-28 02:30:00,-36.0659,-19.721134
2018-07-28 03:00:00,-0.62476647,-0.7095463
2018-07-28 03:30:00,-1.2997957,0.87071085
2018-07-28 04:00:00,-30.567366,-27.435978
2018-07-28 04:30:00,2.8812737,-0.29257092
2018-07-28 05:00:00,-10.681682,-12.609541
2018-07-28 05:30:00,3.5517755,12.451557
2018-07-28 06:00:00,-1.8057147,-0.79051197
2018-07-28 06:30:00,-11.275845,-5.250678
2018-07-28 07:00:00,3.942131,1.043294
2018-07-28 07:30:00,-0.5834917,-0.10527426
2018-07-28 08:00:00,4.653517,4.6551695
2018-07-28 08:30:00,-10.770653,0.28337258
2018-07-28 09:00:00,-36.108875,9.574146
2018-07-28 09:30:00,8.219781,-0.6866569
2018-07-28 10:00:00,-8.061618,-4.0634794
2018-07-28 10:30:00,-0.34299886,2.2343595
2018-07-28 11:00:00,2.0397499,4.3423123
2018-07-28 11:30:00,2.6543362,8.422804
2018-07-28 12:00:00,4.550264,1.252153
2018-07-28 12:30:00,4.165052,0.9214301
2018-07-28 13:00:00,-8.394988,-8.596136
2018-07-28 13:30:00,2.0232587,-0.35810274
2018-07-28 14:00:00,0.9682909,5.9354773
2018-07-28 14:30:00,-5.915901,-7.9786453
2018-07-28 15:00:00,16.357038,6.586619
2018-07-28 15:30:00,0.40423292,2.4949293
2018-07-28 16:00:00,0.46192265,6.3924394
2018-07-28 16:30:00,-16.823952,-7.8637886
2018-07-28 17:00:00,27.85637,0.6603253
2018-07-28 17:30:00,1.6858765,0.1540497
2018-07-28 18:00:00,-1.0873979,3.165455
2018-07-28 18:30:00,-0.09854883,1.0616626
2018-07-28 19:00:00,12.317451,5.902505
2018-07-28 19:30:00,-1.4680508,-1.6454929
2018-07-28 20:00:00,-30.13429,-28.996471
2018-07-28 20:30:00,-8.795508,3.5021226
2018-07-28 21:00:00,2.3354719,1.0686306
2018-07-28 21:30:00,-1.0425918,-2.0124788
2018-07-28 22:00:00,-1.9986687,-1.9493544
2018-07-28 22:30:00,-6.2388306,3.2481065
2018-07-28 23:00:00,-0.31092677,-4.0755816
2018-07-28 23:30:00,2.9137297,1.4279188
2018-07-29 00:00:00,0.78918135,0.52289355
2018-07-29 00:30:00,-3.823004,-6.9695196
2018-07-29 01:00:00,28.5838,0.2779497
2018-07-29 01:30:00,0.027747484,-0.6115864
2018-07-29 02:00:00,-8.906814,-6.2094097
2018-07-29 02:30:00,-14.408082,-20.534866
2018-07-29 03:00:00,-3.2129529,-1.8880422
2018-07-29 03:30:00,-20.46311,-22.635433
2018-07-29 04:00:00,3.1295383,3.8542495
2018-07-29 04:30:00,-20.321703,-14.557919
2018-07-29 05:00:00,1.6298875,7.2026577
2018-07-29 05:30:00,0.7473943,6.462939
2018-07-29 06:00:00,0.45617837,4.8907127
2018-07-29 06:30:00,4.4430184,5.477107
2018-07-29 07:00:00,6.4342175,1.988429
2018-07-29 07:30:00,-7.2445784,-5.4479218
2018-07-29 08:00:00,-2.0045931,2.0841591
2018-07-29 08:30:00,-15.998561,-2.0901964
2018-07-29 09:00:00,4.4721975,-0.9160164
2018-07-29 09:30:00,49.071457,-9.303675
2018-07-29 10:00:00,-14.287014,-12.26107
2018-07-29 10:30:00,4.485383,0.3735264
2018-07-29 11:00:00,3.1999798,4.2779584
2018-07-29 11:30:00,-5.357006,-4.338115
