时间,真实值,预测值
2017-04-28 19:00:00,6.6706605,1.3106545
2017-04-28 19:30:00,-19.98233,-26.916687
2017-04-28 20:00:00,-4.3953314,2.0339344
2017-04-28 20:30:00,3.6802611,3.715034
2017-04-28 21:00:00,-4.960756,-10.430506
2017-04-28 21:30:00,-32.682983,-14.503115
2017-04-28 22:00:00,24.046783,5.4466596
2017-04-28 22:30:00,-12.755947,-7.576789
2017-04-28 23:00:00,4.9010825,3.6482654
2017-04-28 23:30:00,0.18969986,0.507326
2017-04-29 00:00:00,2.1512184,0.9477869
2017-04-29 00:30:00,8.297669,13.884163
2017-04-29 01:00:00,-22.809458,-17.510084
2017-04-29 01:30:00,0.18969986,0.1525478
2017-04-29 02:00:00,-7.8638134,-1.7191286
2017-04-29 02:30:00,4.836145,5.0493746
2017-04-29 03:00:00,-6.5632186,-7.9802217
2017-04-29 03:30:00,1.8553501,21.68759
2017-04-29 04:00:00,-1.1826223,1.3745233
2017-04-29 04:30:00,0.18969986,0.15787312
2017-04-29 05:00:00,0.18969986,0.15587434
2017-04-29 05:30:00,9.967638,6.3678145
2017-04-29 06:00:00,4.0431104,3.619958
2017-04-29 06:30:00,-25.886698,-17.133364
2017-04-29 07:00:00,-6.5140076,2.3805723
2017-04-29 07:30:00,-16.833754,11.111683
2017-04-29 08:00:00,0.26337907,-9.740522
2017-04-29 08:30:00,0.18969986,0.15886196
2017-04-29 09:00:00,-8.172703,-3.7817519
2017-04-29 09:30:00,-16.964354,-4.544027
2017-04-29 10:00:00,3.096291,3.10174
2017-04-29 10:30:00,6.835195,6.234938
2017-04-29 11:00:00,0.18969986,0.15871665
2017-04-29 11:30:00,7.908173,7.080828
2017-04-29 12:00:00,-0.43089435,-1.2411293
2017-04-29 12:30:00,-14.7970495,-3.5741541
2017-04-29 13:00:00,-12.752605,-13.265746
2017-04-29 13:30:00,-9.783269,-7.1314173
2017-04-29 14:00:00,-22.947626,-9.587831
2017-04-29 14:30:00,-12.686719,6.1825705
2017-04-29 15:00:00,-16.28625,-11.058525
2017-04-29 15:30:00,-20.327827,-19.563053
2017-04-29 16:00:00,-0.3984113,-3.211029
2017-04-29 16:30:00,0.5642959,5.114912
2017-04-29 17:00:00,4.130542,2.9079666
2017-04-29 17:30:00,1.7741271,-10.573047
2017-04-29 18:00:00,-22.333437,-3.934142
2017-04-29 18:30:00,28.9087,-0.3826535
2017-04-29 19:00:00,-0.44267312,-0.9805242
2017-04-29 19:30:00,14.122411,-0.20274845
2017-04-29 20:00:00,-24.707617,-15.155724
2017-04-29 20:30:00,-0.65027696,-1.5449808
2017-04-29 21:00:00,-4.4338017,-10.095833
2017-04-29 21:30:00,3.2134166,11.401154
2017-04-29 22:00:00,-32.94631,-32.3943
2017-04-29 22:30:00,4.542852,3.5855794
2017-04-29 23:00:00,-30.429398,-29.896046
2017-04-29 23:30:00,4.890016,-5.488357
2017-04-30 00:00:00,-4.264693,9.081771
2017-04-30 00:30:00,0.18969986,0.16005144
2017-04-30 01:00:00,0.18969986,0.15660843
2017-04-30 01:30:00,-6.794062,-8.220063
2017-04-30 02:00:00,1.1703323,-2.469426
2017-04-30 02:30:00,1.4201587,-7.623991
2017-04-30 03:00:00,3.3151016,1.2056442
2017-04-30 03:30:00,0.18969986,0.16187117
