时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,19.88884
2017-04-28 19:30:00,3.883183,18.413551
2017-04-28 20:00:00,3.1135032,14.561282
2017-04-28 20:30:00,4.2741365,11.3013525
2017-04-28 21:00:00,4.9026327,7.3434997
2017-04-28 21:30:00,5.051767,4.293176
2017-04-28 22:00:00,5.8418956,0.8805287
2017-04-28 22:30:00,5.061944,0.46846303
2017-04-28 23:00:00,5.4606485,0.50220937
2017-04-28 23:30:00,3.9218051,2.126093
2017-04-29 00:00:00,3.5646358,3.8979688
2017-04-29 00:30:00,2.9955382,5.2527447
2017-04-29 01:00:00,2.980568,5.6280723
2017-04-29 01:30:00,4.8063188,5.316002
2017-04-29 02:00:00,4.851331,4.4284663
2017-04-29 02:30:00,4.3052826,3.6395211
2017-04-29 03:00:00,3.1283154,3.801666
2017-04-29 03:30:00,2.5324876,5.1200542
2017-04-29 04:00:00,8.713393,6.6680126
2017-04-29 04:30:00,2.7933695,9.29196
2017-04-29 05:00:00,8.1307125,10.949387
2017-04-29 05:30:00,5.280869,11.121023
2017-04-29 06:00:00,4.4633207,10.608445
2017-04-29 06:30:00,3.363409,7.300827
2017-04-29 07:00:00,-2.8686924,1.958458
2017-04-29 07:30:00,-8.9101095,-3.036418
2017-04-29 08:00:00,-11.509184,-10.036424
2017-04-29 08:30:00,-7.713828,-15.144671
2017-04-29 09:00:00,-20.0258,-19.42212
2017-04-29 09:30:00,-15.869132,-24.446585
2017-04-29 10:00:00,-14.503749,-26.442554
2017-04-29 10:30:00,-18.653013,-26.219091
2017-04-29 11:00:00,-26.628038,-27.947523
2017-04-29 11:30:00,-25.448153,-26.293205
2017-04-29 12:00:00,-24.268265,-27.355934
2017-04-29 12:30:00,-23.088379,-28.009686
2017-04-29 13:00:00,-21.908491,-26.150389
2017-04-29 13:30:00,-20.728605,-25.832602
2017-04-29 14:00:00,-19.54872,-24.29836
2017-04-29 14:30:00,-18.368832,-19.954765
2017-04-29 15:00:00,-17.188948,-15.944545
2017-04-29 15:30:00,-16.00906,-12.29645
2017-04-29 16:00:00,-14.829176,-9.088355
2017-04-29 16:30:00,-13.649288,-4.204041
2017-04-29 17:00:00,-12.4694,-0.12825009
2017-04-29 17:30:00,-11.289516,4.449831
2017-04-29 18:00:00,-10.109629,8.82643
2017-04-29 18:30:00,-8.929745,12.713285
2017-04-29 19:00:00,-7.7498574,14.886295
2017-04-29 19:30:00,-6.5699697,16.535816
2017-04-29 20:00:00,-5.3900857,17.46396
2017-04-29 20:30:00,-4.210198,18.590452
2017-04-29 21:00:00,-3.0303137,18.835455
2017-04-29 21:30:00,-1.8504258,18.367092
2017-04-29 22:00:00,-0.67053807,16.845358
2017-04-29 22:30:00,0.50934595,15.105217
2017-04-29 23:00:00,1.6892338,14.3737335
2017-04-29 23:30:00,2.8691177,14.612957
2017-04-30 00:00:00,4.0490055,14.3383665
2017-04-30 00:30:00,4.402034,13.228439
2017-04-30 01:00:00,3.1360586,12.730287
2017-04-30 01:30:00,3.6348224,11.085061
2017-04-30 02:00:00,2.5813513,9.528692
2017-04-30 02:30:00,3.3770566,6.497186
2017-04-30 03:00:00,3.319881,7.7922053
2017-04-30 03:30:00,3.546647,7.7083445
2017-04-30 04:00:00,3.0768971,9.370994
2017-04-30 04:30:00,1.681385,9.418765
2017-04-30 05:00:00,1.5997813,9.297382
2017-04-30 05:30:00,1.5181812,9.693546
2017-04-30 06:00:00,2.3045082,8.391692
2017-04-30 06:30:00,1.5486305,5.991489
2017-04-30 07:00:00,-4.5931444,2.2536023
2017-04-30 07:30:00,-5.6566725,-1.4264534
2017-04-30 08:00:00,-12.827279,-4.3667736
2017-04-30 08:30:00,-21.595823,-6.5671816
2017-04-30 09:00:00,-15.995048,-12.22272
2017-04-30 09:30:00,-17.463516,-15.3260975
2017-04-30 10:00:00,-18.164124,-17.503723
2017-04-30 10:30:00,-28.081053,-20.325815
2017-04-30 11:00:00,-22.780973,-22.123184
2017-04-30 11:30:00,-24.080145,-24.96634
2017-04-30 12:00:00,-24.742592,-23.43732
2017-04-30 12:30:00,-39.56868,-24.379816
2017-04-30 13:00:00,-19.774418,-22.999487
2017-04-30 13:30:00,-28.12152,-23.157473
2017-04-30 14:00:00,-22.585518,-22.193583
2017-04-30 14:30:00,-17.433907,-20.67739
2017-04-30 15:00:00,-15.301105,-18.893532
2017-04-30 15:30:00,-20.10085,-17.108889
2017-04-30 16:00:00,-11.108061,-15.523903
2017-04-30 16:30:00,-8.658282,-12.92137
2017-04-30 17:00:00,-2.5876744,-10.569439
2017-04-30 17:30:00,1.5230796,-7.5970836
2017-04-30 18:00:00,-2.3123763,-4.5427923
2017-04-30 18:30:00,0.94773114,-1.9139318
2017-04-30 19:00:00,0.6754812,0.48554343
2017-04-30 19:30:00,-0.471429,1.4701128
2017-04-30 20:00:00,-3.3934329,1.4436915
2017-04-30 20:30:00,1.6562335,1.5253932
2017-04-30 21:00:00,6.7059035,1.3969154
2017-04-30 21:30:00,4.49926,0.75473
2017-04-30 22:00:00,2.2926126,1.1176156
2017-04-30 22:30:00,4.898838,1.382808
2017-04-30 23:00:00,7.505068,1.3794093
2017-04-30 23:30:00,0.98324084,1.5701007
2017-05-01 00:00:00,0.12182511,2.3122213
2017-05-01 00:30:00,-0.93011993,2.8695927
2017-05-01 01:00:00,-0.30778438,2.9077587
2017-05-01 01:30:00,0.32411063,2.7946243
2017-05-01 02:00:00,0.809498,2.3428175
2017-05-01 02:30:00,1.2948891,2.1713958
2017-05-01 03:00:00,1.4042329,2.3205373
2017-05-01 03:30:00,1.5135729,2.6097016
2017-05-01 04:00:00,1.622913,2.3536956
2017-05-01 04:30:00,1.7322531,2.6619904
2017-05-01 05:00:00,7.2962904,1.7540323
2017-05-01 05:30:00,6.234714,0.8763048
2017-05-01 06:00:00,3.7348819,-0.30695167
2017-05-01 06:30:00,-3.798961,-2.1511695
2017-05-01 07:00:00,-11.3328,-5.873476
2017-05-01 07:30:00,-18.866642,-9.495198
2017-05-01 08:00:00,-7.6316175,-13.936268
2017-05-01 08:30:00,-19.074177,-19.77672
2017-05-01 09:00:00,-30.447622,-23.830343
2017-05-01 09:30:00,-22.100786,-26.144249
2017-05-01 10:00:00,-27.034943,-28.69438
2017-05-01 10:30:00,-18.934729,-30.274162
2017-05-01 11:00:00,-22.805279,-30.538563
2017-05-01 11:30:00,-26.34032,-30.215683
2017-05-01 12:00:00,-17.906973,-29.04576
2017-05-01 12:30:00,-23.706392,-29.453714
2017-05-01 13:00:00,-21.81065,-27.007822
2017-05-01 13:30:00,-23.861696,-25.190895
2017-05-01 14:00:00,-22.59068,-22.034584
2017-05-01 14:30:00,-20.538105,-18.330885
2017-05-01 15:00:00,-14.46871,-15.0904875
2017-05-01 15:30:00,-11.047185,-12.032108
2017-05-01 16:00:00,-2.750234,-8.518508
2017-05-01 16:30:00,-1.217359,-4.6277385
2017-05-01 17:00:00,-0.48492223,-1.3271437
2017-05-01 17:30:00,3.0138733,1.7404824
2017-05-01 18:00:00,5.0449014,3.5166576
2017-05-01 18:30:00,4.781329,4.6364455
2017-05-01 19:00:00,5.043733,4.6873813
2017-05-01 19:30:00,5.8523216,4.2012143
2017-05-01 20:00:00,5.792595,3.630425
2017-05-01 20:30:00,4.8980093,2.9911861
2017-05-01 21:00:00,6.630943,2.4419951
