时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,5.4124103
2017-04-28 19:30:00,3.883183,5.8494124
2017-04-28 20:00:00,3.1135032,6.077871
2017-04-28 20:30:00,4.2741365,6.210497
2017-04-28 21:00:00,4.9026327,6.2407804
2017-04-28 21:30:00,5.051767,6.304588
2017-04-28 22:00:00,5.8418956,6.272824
2017-04-28 22:30:00,5.061944,6.3719335
2017-04-28 23:00:00,5.4606485,6.499221
2017-04-28 23:30:00,3.9218051,6.774854
2017-04-29 00:00:00,3.5646358,7.034022
2017-04-29 00:30:00,2.9955382,7.082075
2017-04-29 01:00:00,2.980568,7.4362755
2017-04-29 01:30:00,4.8063188,7.5863476
2017-04-29 02:00:00,4.851331,7.686547
2017-04-29 02:30:00,4.3052826,7.7477503
2017-04-29 03:00:00,3.1283154,7.565782
2017-04-29 03:30:00,2.5324876,7.397122
2017-04-29 04:00:00,8.713393,6.642375
2017-04-29 04:30:00,2.7933695,5.631509
2017-04-29 05:00:00,8.1307125,4.5037665
2017-04-29 05:30:00,5.280869,2.631089
2017-04-29 06:00:00,4.4633207,0.49681357
2017-04-29 06:30:00,3.363409,-1.7644436
2017-04-29 07:00:00,-2.8686924,-4.224279
2017-04-29 07:30:00,-8.9101095,-6.801642
2017-04-29 08:00:00,-11.509184,-9.470804
2017-04-29 08:30:00,-7.713828,-11.198727
2017-04-29 09:00:00,-20.0258,-12.459774
2017-04-29 09:30:00,-15.869132,-13.390513
2017-04-29 10:00:00,-14.503749,-13.385359
2017-04-29 10:30:00,-18.653013,-12.971876
2017-04-29 11:00:00,-26.628038,-13.033106
2017-04-29 11:30:00,-25.448153,-12.200014
2017-04-29 12:00:00,-24.268265,-11.66902
2017-04-29 12:30:00,-23.088379,-10.550471
2017-04-29 13:00:00,-21.908491,-8.85894
2017-04-29 13:30:00,-20.728605,-7.5465093
2017-04-29 14:00:00,-19.54872,-5.926481
2017-04-29 14:30:00,-18.368832,-4.231333
2017-04-29 15:00:00,-17.188948,-2.5870337
2017-04-29 15:30:00,-16.00906,-1.0154314
2017-04-29 16:00:00,-14.829176,0.53295255
2017-04-29 16:30:00,-13.649288,1.9689255
2017-04-29 17:00:00,-12.4694,3.1637232
2017-04-29 17:30:00,-11.289516,4.33216
2017-04-29 18:00:00,-10.109629,5.349157
2017-04-29 18:30:00,-8.929745,6.157941
2017-04-29 19:00:00,-7.7498574,6.855942
2017-04-29 19:30:00,-6.5699697,7.1626577
2017-04-29 20:00:00,-5.3900857,7.331928
2017-04-29 20:30:00,-4.210198,7.430145
2017-04-29 21:00:00,-3.0303137,7.5613317
2017-04-29 21:30:00,-1.8504258,7.630893
2017-04-29 22:00:00,-0.67053807,7.6859927
2017-04-29 22:30:00,0.50934595,7.6594696
2017-04-29 23:00:00,1.6892338,7.659997
2017-04-29 23:30:00,2.8691177,7.6153464
2017-04-30 00:00:00,4.0490055,7.6497483
2017-04-30 00:30:00,4.402034,7.5367794
2017-04-30 01:00:00,3.1360586,7.527872
2017-04-30 01:30:00,3.6348224,7.6254935
2017-04-30 02:00:00,2.5813513,7.6004324
2017-04-30 02:30:00,3.3770566,7.2102137
