时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,-2.0335624
2017-04-28 19:30:00,3.883183,-0.8490889
2017-04-28 20:00:00,3.1135032,0.528819
2017-04-28 20:30:00,4.2741365,1.3326935
2017-04-28 21:00:00,4.9026327,2.1469
2017-04-28 21:30:00,5.051767,3.1161861
2017-04-28 22:00:00,5.8418956,3.865138
2017-04-28 22:30:00,5.061944,4.3180375
2017-04-28 23:00:00,5.4606485,4.793074
2017-04-28 23:30:00,3.9218051,5.254116
2017-04-29 00:00:00,3.5646358,5.280869
2017-04-29 00:30:00,2.9955382,5.860351
2017-04-29 01:00:00,2.980568,5.9966326
2017-04-29 01:30:00,4.8063188,6.232525
2017-04-29 02:00:00,4.851331,6.685745
2017-04-29 02:30:00,4.3052826,6.664297
2017-04-29 03:00:00,3.1283154,6.3361487
2017-04-29 03:30:00,2.5324876,6.649519
2017-04-29 04:00:00,8.713393,6.520103
2017-04-29 04:30:00,2.7933695,6.213636
2017-04-29 05:00:00,8.1307125,5.7829676
2017-04-29 05:30:00,5.280869,5.283597
2017-04-29 06:00:00,4.4633207,4.884927
2017-04-29 06:30:00,3.363409,4.148138
2017-04-29 07:00:00,-2.8686924,3.2627542
2017-04-29 07:30:00,-8.9101095,1.8191396
2017-04-29 08:00:00,-11.509184,-0.07312412
2017-04-29 08:30:00,-7.713828,-1.2759817
2017-04-29 09:00:00,-20.0258,-2.7071655
2017-04-29 09:30:00,-15.869132,-4.655471
2017-04-29 10:00:00,-14.503749,-6.755578
2017-04-29 10:30:00,-18.653013,-8.403641
2017-04-29 11:00:00,-26.628038,-11.769444
2017-04-29 11:30:00,-25.448153,-13.6417
2017-04-29 12:00:00,-24.268265,-15.801609
2017-04-29 12:30:00,-23.088379,-19.363365
2017-04-29 13:00:00,-21.908491,-19.248056
2017-04-29 13:30:00,-20.728605,-16.948229
2017-04-29 14:00:00,-19.54872,-15.354821
2017-04-29 14:30:00,-18.368832,-14.296395
2017-04-29 15:00:00,-17.188948,-12.89522
2017-04-29 15:30:00,-16.00906,-11.589364
