时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,0.6696936
2017-04-28 19:30:00,3.883183,1.2055835
2017-04-28 20:00:00,3.1135032,1.6473562
2017-04-28 20:30:00,4.2741365,2.0436413
2017-04-28 21:00:00,4.9026327,2.3452027
2017-04-28 21:30:00,5.051767,2.6110168
2017-04-28 22:00:00,5.8418956,2.7860935
2017-04-28 22:30:00,5.061944,2.951332
2017-04-28 23:00:00,5.4606485,3.059666
2017-04-28 23:30:00,3.9218051,3.1530259
2017-04-29 00:00:00,3.5646358,3.2114677
2017-04-29 00:30:00,2.9955382,3.247147
2017-04-29 01:00:00,2.980568,3.286598
2017-04-29 01:30:00,4.8063188,3.267626
2017-04-29 02:00:00,4.851331,3.2349124
2017-04-29 02:30:00,4.3052826,3.20799
2017-04-29 03:00:00,3.1283154,3.1657016
2017-04-29 03:30:00,2.5324876,3.1977634
2017-04-29 04:00:00,8.713393,3.2028089
2017-04-29 04:30:00,2.7933695,3.2413557
2017-04-29 05:00:00,8.1307125,3.3275826
2017-04-29 05:30:00,5.280869,3.3325603
2017-04-29 06:00:00,4.4633207,3.3234003
2017-04-29 06:30:00,3.363409,3.2232578
2017-04-29 07:00:00,-2.8686924,2.9552658
2017-04-29 07:30:00,-8.9101095,2.4912016
2017-04-29 08:00:00,-11.509184,1.6130145
2017-04-29 08:30:00,-7.713828,0.57845503
2017-04-29 09:00:00,-20.0258,-0.5412276
2017-04-29 09:30:00,-15.869132,-1.787941
2017-04-29 10:00:00,-14.503749,-2.9193006
2017-04-29 10:30:00,-18.653013,-4.019077
2017-04-29 11:00:00,-26.628038,-5.7835073
2017-04-29 11:30:00,-25.448153,-7.2966905
2017-04-29 12:00:00,-24.268265,-8.799127
2017-04-29 12:30:00,-23.088379,-9.77191
2017-04-29 13:00:00,-21.908491,-9.679869
2017-04-29 13:30:00,-20.728605,-9.057582
2017-04-29 14:00:00,-19.54872,-7.743569
2017-04-29 14:30:00,-18.368832,-6.0060987
2017-04-29 15:00:00,-17.188948,-4.271824
2017-04-29 15:30:00,-16.00906,-2.8421016
2017-04-29 16:00:00,-14.829176,-1.6642298
2017-04-29 16:30:00,-13.649288,-0.6926035
2017-04-29 17:00:00,-12.4694,0.032907646
2017-04-29 17:30:00,-11.289516,0.64201003
2017-04-29 18:00:00,-10.109629,1.205007
2017-04-29 18:30:00,-8.929745,1.6815546
2017-04-29 19:00:00,-7.7498574,2.1098
2017-04-29 19:30:00,-6.5699697,2.4892874
2017-04-29 20:00:00,-5.3900857,2.801143
2017-04-29 20:30:00,-4.210198,3.1009934
2017-04-29 21:00:00,-3.0303137,3.3590117
2017-04-29 21:30:00,-1.8504258,3.5767763
2017-04-29 22:00:00,-0.67053807,3.7745967
2017-04-29 22:30:00,0.50934595,3.915539
2017-04-29 23:00:00,1.6892338,4.046409
2017-04-29 23:30:00,2.8691177,4.132184
2017-04-30 00:00:00,4.0490055,4.2140326
2017-04-30 00:30:00,4.402034,4.3003845
2017-04-30 01:00:00,3.1360586,4.3969054
2017-04-30 01:30:00,3.6348224,4.559141
2017-04-30 02:00:00,2.5813513,4.7257285
2017-04-30 02:30:00,3.3770566,5.1990733
2017-04-30 03:00:00,3.319881,5.3591948
2017-04-30 03:30:00,3.546647,5.5981126
2017-04-30 04:00:00,3.0768971,5.8385797
2017-04-30 04:30:00,1.681385,5.7966757
2017-04-30 05:00:00,1.5997813,5.865216
2017-04-30 05:30:00,1.5181812,5.693225
2017-04-30 06:00:00,2.3045082,5.4728456
2017-04-30 06:30:00,1.5486305,5.134727
2017-04-30 07:00:00,-4.5931444,4.532113
2017-04-30 07:30:00,-5.6566725,3.5979412
2017-04-30 08:00:00,-12.827279,2.4115233
2017-04-30 08:30:00,-21.595823,1.4060038
2017-04-30 09:00:00,-15.995048,-0.31975913
2017-04-30 09:30:00,-17.463516,-1.9155371
2017-04-30 10:00:00,-18.164124,-3.5579817
2017-04-30 10:30:00,-28.081053,-5.7060595
2017-04-30 11:00:00,-22.780973,-8.695231
2017-04-30 11:30:00,-24.080145,-11.46742
2017-04-30 12:00:00,-24.742592,-14.0437765
2017-04-30 12:30:00,-39.56868,-16.040146
2017-04-30 13:00:00,-19.774418,-17.416517
2017-04-30 13:30:00,-28.12152,-18.235106
2017-04-30 14:00:00,-22.585518,-18.560848
2017-04-30 14:30:00,-17.433907,-18.431114
2017-04-30 15:00:00,-15.301105,-17.772142
2017-04-30 15:30:00,-20.10085,-16.540188
2017-04-30 16:00:00,-11.108061,-14.653866
2017-04-30 16:30:00,-8.658282,-12.203198
2017-04-30 17:00:00,-2.5876744,-9.448129
2017-04-30 17:30:00,1.5230796,-6.758785
2017-04-30 18:00:00,-2.3123763,-4.442439
2017-04-30 18:30:00,0.94773114,-2.5874784
2017-04-30 19:00:00,0.6754812,-1.1549494
2017-04-30 19:30:00,-0.471429,-0.09707358
2017-04-30 20:00:00,-3.3934329,0.5942015
2017-04-30 20:30:00,1.6562335,0.9043124
2017-04-30 21:00:00,6.7059035,0.8385983
2017-04-30 21:30:00,4.49926,0.46651497
2017-04-30 22:00:00,2.2926126,-0.027938157
2017-04-30 22:30:00,4.898838,-0.4038573
2017-04-30 23:00:00,7.505068,-0.50463265
2017-04-30 23:30:00,0.98324084,-0.35366365
2017-05-01 00:00:00,0.12182511,-0.22154221
2017-05-01 00:30:00,-0.93011993,-0.02424174
2017-05-01 01:00:00,-0.30778438,0.048631545
2017-05-01 01:30:00,0.32411063,0.24694559
2017-05-01 02:00:00,0.809498,0.6430726
2017-05-01 02:30:00,1.2948891,1.1436073
2017-05-01 03:00:00,1.4042329,1.506606
2017-05-01 03:30:00,1.5135729,1.732434
2017-05-01 04:00:00,1.622913,1.8704109
2017-05-01 04:30:00,1.7322531,1.9271458
2017-05-01 05:00:00,7.2962904,1.8450636
2017-05-01 05:30:00,6.234714,1.5586723
2017-05-01 06:00:00,3.7348819,0.9744652
2017-05-01 06:30:00,-3.798961,-0.12190852
2017-05-01 07:00:00,-11.3328,-2.2464623
2017-05-01 07:30:00,-18.866642,-5.6833463
2017-05-01 08:00:00,-7.6316175,-10.6828375
2017-05-01 08:30:00,-19.074177,-16.495714
2017-05-01 09:00:00,-30.447622,-21.188154
2017-05-01 09:30:00,-22.100786,-24.707537
2017-05-01 10:00:00,-27.034943,-27.17359
2017-05-01 10:30:00,-18.934729,-28.88024
2017-05-01 11:00:00,-22.805279,-29.581125
2017-05-01 11:30:00,-26.34032,-29.59967
2017-05-01 12:00:00,-17.906973,-29.085606
2017-05-01 12:30:00,-23.706392,-28.67834
2017-05-01 13:00:00,-21.81065,-27.48213
2017-05-01 13:30:00,-23.861696,-26.292847
2017-05-01 14:00:00,-22.59068,-24.678717
2017-05-01 14:30:00,-20.538105,-22.2923
2017-05-01 15:00:00,-14.46871,-18.954176
2017-05-01 15:30:00,-11.047185,-15.0582905
2017-05-01 16:00:00,-2.750234,-10.259339
2017-05-01 16:30:00,-1.217359,-5.8653336
2017-05-01 17:00:00,-0.48492223,-2.4070096
2017-05-01 17:30:00,3.0138733,0.3642211
2017-05-01 18:00:00,5.0449014,2.3976533
2017-05-01 18:30:00,4.781329,4.0063024
2017-05-01 19:00:00,5.043733,4.9697595
2017-05-01 19:30:00,5.8523216,5.273853
2017-05-01 20:00:00,5.792595,4.9539003
2017-05-01 20:30:00,4.8980093,4.2375755
2017-05-01 21:00:00,6.630943,3.218386
2017-05-01 21:30:00,6.6034174,2.1696925
2017-05-01 22:00:00,4.9410024,1.4588313
2017-05-01 22:30:00,4.4271665,1.4598826
2017-05-01 23:00:00,5.78787,1.9211396
2017-05-01 23:30:00,5.2582345,2.2577584
2017-05-02 00:00:00,7.266794,2.3801358
2017-05-02 00:30:00,7.4857607,2.1440701
2017-05-02 01:00:00,8.21914,1.8075116
2017-05-02 01:30:00,5.609281,1.7669866
2017-05-02 02:00:00,3.667751,2.1711545
2017-05-02 02:30:00,5.630804,2.6731174
2017-05-02 03:00:00,6.1747727,2.9256115
2017-05-02 03:30:00,5.8053985,3.101815
2017-05-02 04:00:00,8.337881,3.316275
2017-05-02 04:30:00,10.870359,3.4754658
2017-05-02 05:00:00,13.402839,3.4393003
2017-05-02 05:30:00,15.935317,3.0646625
2017-05-02 06:00:00,18.467802,2.3042707
2017-05-02 06:30:00,21.00028,0.67360854
2017-05-02 07:00:00,23.53276,-2.60896
2017-05-02 07:30:00,26.065239,-8.109092
2017-05-02 08:00:00,28.597717,-13.655438
2017-05-02 08:30:00,31.130203,-19.023228
2017-05-02 09:00:00,46.482998,-23.778578
2017-05-02 09:30:00,18.529741,-26.846725
2017-05-02 10:00:00,-9.42352,-28.85542
2017-05-02 10:30:00,-6.3966827,-29.448635
2017-05-02 11:00:00,-11.352163,-29.04569
2017-05-02 11:30:00,-22.21755,-27.942251
2017-05-02 12:00:00,-18.626904,-26.336906
2017-05-02 12:30:00,-9.897415,-24.920135
2017-05-02 13:00:00,-4.553373,-23.400179
2017-05-02 13:30:00,-5.327209,-21.968393
2017-05-02 14:00:00,29.976099,-20.324835
2017-05-02 14:30:00,-2.9158754,-17.939667
2017-05-02 15:00:00,-5.1304626,-14.328148
2017-05-02 15:30:00,-4.853299,-9.770961
2017-05-02 16:00:00,-5.1019497,-5.20577
2017-05-02 16:30:00,-4.5954695,-1.7261419
2017-05-02 17:00:00,-3.3684132,0.91715753
2017-05-02 17:30:00,-0.763005,3.1638627
2017-05-02 18:00:00,1.8424033,4.846625
2017-05-02 18:30:00,4.877383,5.8101425
2017-05-02 19:00:00,5.702637,6.1124873
2017-05-02 19:30:00,3.9759474,5.85095
2017-05-02 20:00:00,4.0180774,5.195437
2017-05-02 20:30:00,5.2836385,4.418078
2017-05-02 21:00:00,3.2390947,3.9067256
2017-05-02 21:30:00,2.3965342,3.7466078
2017-05-02 22:00:00,7.2779703,3.897411
2017-05-02 22:30:00,10.09002,4.1652675
2017-05-02 23:00:00,6.0722866,4.374791
2017-05-02 23:30:00,4.837269,4.457586
2017-05-03 00:00:00,5.3399477,4.6608434
2017-05-03 00:30:00,5.4655995,5.0793185
2017-05-03 01:00:00,4.876818,5.5350475
2017-05-03 01:30:00,4.470404,5.797768
2017-05-03 02:00:00,4.803937,6.1151323
2017-05-03 02:30:00,10.267117,6.5869703
2017-05-03 03:00:00,8.139303,7.0156603
2017-05-03 03:30:00,7.371394,7.2582483
2017-05-03 04:00:00,10.848287,7.119533
2017-05-03 04:30:00,8.172115,6.44697
2017-05-03 05:00:00,7.659579,5.2247896
2017-05-03 05:30:00,4.900997,3.4718335
2017-05-03 06:00:00,-0.48474514,1.2174565
