时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,1.9026198
2017-04-28 19:30:00,3.883183,2.2000816
2017-04-28 20:00:00,3.1135032,2.2000816
2017-04-28 20:30:00,4.2741365,2.200662
2017-04-28 21:00:00,4.9026327,2.0726511
2017-04-28 21:30:00,5.051767,2.0984356
2017-04-28 22:00:00,5.8418956,2.0725043
2017-04-28 22:30:00,5.061944,2.1416698
2017-04-28 23:00:00,5.4606485,2.223805
2017-04-28 23:30:00,3.9218051,2.2762291
2017-04-29 00:00:00,3.5646358,2.4107397
2017-04-29 00:30:00,2.9955382,2.3157895
2017-04-29 01:00:00,2.980568,2.354472
2017-04-29 01:30:00,4.8063188,2.354472
2017-04-29 02:00:00,4.851331,2.1967356
2017-04-29 02:30:00,4.3052826,2.1276755
2017-04-29 03:00:00,3.1283154,1.9478924
2017-04-29 03:30:00,2.5324876,2.3177829
2017-04-29 04:00:00,8.713393,1.8803623
2017-04-29 04:30:00,2.7933695,2.3204656
2017-04-29 05:00:00,8.1307125,2.3706594
2017-04-29 05:30:00,5.280869,2.129533
2017-04-29 06:00:00,4.4633207,2.1171854
2017-04-29 06:30:00,3.363409,1.4275419
2017-04-29 07:00:00,-2.8686924,-0.55898243
2017-04-29 07:30:00,-8.9101095,-6.9674044
2017-04-29 08:00:00,-11.509184,-12.055674
2017-04-29 08:30:00,-7.713828,-12.999752
2017-04-29 09:00:00,-20.0258,-15.663135
2017-04-29 09:30:00,-15.869132,-16.059925
2017-04-29 10:00:00,-14.503749,-16.330467
2017-04-29 10:30:00,-18.653013,-16.330467
2017-04-29 11:00:00,-26.628038,-17.59574
2017-04-29 11:30:00,-25.448153,-17.589928
2017-04-29 12:00:00,-24.268265,-18.088636
2017-04-29 12:30:00,-23.088379,-18.775782
2017-04-29 13:00:00,-21.908491,-18.692074
2017-04-29 13:30:00,-20.728605,-17.042618
2017-04-29 14:00:00,-19.54872,-16.153873
2017-04-29 14:30:00,-18.368832,-15.581836
2017-04-29 15:00:00,-17.188948,-13.346111
2017-04-29 15:30:00,-16.00906,-12.176389
2017-04-29 16:00:00,-14.829176,-8.640675
2017-04-29 16:30:00,-13.649288,-5.3794146
2017-04-29 17:00:00,-12.4694,-2.3971565
2017-04-29 17:30:00,-11.289516,-1.5245798
2017-04-29 18:00:00,-10.109629,0.870016
2017-04-29 18:30:00,-8.929745,2.0573833
2017-04-29 19:00:00,-7.7498574,2.1234968
2017-04-29 19:30:00,-6.5699697,2.1123848
2017-04-29 20:00:00,-5.3900857,2.0425863
2017-04-29 20:30:00,-4.210198,2.1614294
2017-04-29 21:00:00,-3.0303137,2.0776703
2017-04-29 21:30:00,-1.8504258,1.8699964
