时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,2.786474
2017-04-28 19:30:00,3.883183,3.7713864
2017-04-28 20:00:00,3.1135032,3.369611
2017-04-28 20:30:00,4.2741365,4.4237413
2017-04-28 21:00:00,4.9026327,3.6774235
2017-04-28 21:30:00,5.051767,4.062589
2017-04-28 22:00:00,5.8418956,7.054531
2017-04-28 22:30:00,5.061944,6.9618983
2017-04-28 23:00:00,5.4606485,5.9066825
2017-04-28 23:30:00,3.9218051,6.31417
2017-04-29 00:00:00,3.5646358,6.9492903
2017-04-29 00:30:00,2.9955382,6.7854424
2017-04-29 01:00:00,2.980568,7.8053517
2017-04-29 01:30:00,4.8063188,5.0028467
2017-04-29 02:00:00,4.851331,6.88043
2017-04-29 02:30:00,4.3052826,5.9686737
2017-04-29 03:00:00,3.1283154,5.269595
2017-04-29 03:30:00,2.5324876,7.012868
2017-04-29 04:00:00,8.713393,6.384157
2017-04-29 04:30:00,2.7933695,7.083326
2017-04-29 05:00:00,8.1307125,6.449419
2017-04-29 05:30:00,5.280869,7.162684
2017-04-29 06:00:00,4.4633207,6.184012
2017-04-29 06:30:00,3.363409,5.140217
2017-04-29 07:00:00,-2.8686924,2.8981013
2017-04-29 07:30:00,-8.9101095,-5.339466
2017-04-29 08:00:00,-11.509184,-10.150252
2017-04-29 08:30:00,-7.713828,-14.489276
2017-04-29 09:00:00,-20.0258,-15.962386
2017-04-29 09:30:00,-15.869132,-18.46105
2017-04-29 10:00:00,-14.503749,-23.434412
2017-04-29 10:30:00,-18.653013,-25.481825
2017-04-29 11:00:00,-26.628038,-27.228338
2017-04-29 11:30:00,-25.448153,-30.705744
2017-04-29 12:00:00,-24.268265,-29.827978
2017-04-29 12:30:00,-23.088379,-28.957739
2017-04-29 13:00:00,-21.908491,-28.301445
2017-04-29 13:30:00,-20.728605,-26.19951
2017-04-29 14:00:00,-19.54872,-24.591436
2017-04-29 14:30:00,-18.368832,-20.571102
2017-04-29 15:00:00,-17.188948,-17.68992
2017-04-29 15:30:00,-16.00906,-14.780399
2017-04-29 16:00:00,-14.829176,-8.785992
2017-04-29 16:30:00,-13.649288,-6.0490503
2017-04-29 17:00:00,-12.4694,-2.2042644
2017-04-29 17:30:00,-11.289516,1.5308342
2017-04-29 18:00:00,-10.109629,4.3617425
2017-04-29 18:30:00,-8.929745,6.630517
2017-04-29 19:00:00,-7.7498574,6.0152917
2017-04-29 19:30:00,-6.5699697,5.9325914
2017-04-29 20:00:00,-5.3900857,6.905672
2017-04-29 20:30:00,-4.210198,6.4440155
2017-04-29 21:00:00,-3.0303137,6.447961
2017-04-29 21:30:00,-1.8504258,4.880089
2017-04-29 22:00:00,-0.67053807,4.6807985
2017-04-29 22:30:00,0.50934595,4.3339458
2017-04-29 23:00:00,1.6892338,4.5118184
2017-04-29 23:30:00,2.8691177,4.2597313
2017-04-30 00:00:00,4.0490055,3.3634052
2017-04-30 00:30:00,4.402034,4.3730917
2017-04-30 01:00:00,3.1360586,3.6597214
2017-04-30 01:30:00,3.6348224,2.7040112
2017-04-30 02:00:00,2.5813513,3.7492266
2017-04-30 02:30:00,3.3770566,3.3696072
2017-04-30 03:00:00,3.319881,2.9962204
2017-04-30 03:30:00,3.546647,2.728556
2017-04-30 04:00:00,3.0768971,2.6583655
2017-04-30 04:30:00,1.681385,3.6393478
2017-04-30 05:00:00,1.5997813,4.6457186
2017-04-30 05:30:00,1.5181812,4.646559
2017-04-30 06:00:00,2.3045082,3.0539086
2017-04-30 06:30:00,1.5486305,1.0807042
2017-04-30 07:00:00,-4.5931444,-2.9107888
2017-04-30 07:30:00,-5.6566725,-8.378252
2017-04-30 08:00:00,-12.827279,-12.675763
2017-04-30 08:30:00,-21.595823,-14.488838
2017-04-30 09:00:00,-15.995048,-18.768341
2017-04-30 09:30:00,-17.463516,-20.99428
2017-04-30 10:00:00,-18.164124,-21.51825
2017-04-30 10:30:00,-28.081053,-21.631727
2017-04-30 11:00:00,-22.780973,-21.943146
2017-04-30 11:30:00,-24.080145,-21.886747
2017-04-30 12:00:00,-24.742592,-22.039303
2017-04-30 12:30:00,-39.56868,-20.868755
2017-04-30 13:00:00,-19.774418,-18.979351
2017-04-30 13:30:00,-28.12152,-18.46573
2017-04-30 14:00:00,-22.585518,-15.996539
2017-04-30 14:30:00,-17.433907,-15.053128
2017-04-30 15:00:00,-15.301105,-12.66819
2017-04-30 15:30:00,-20.10085,-11.152418
2017-04-30 16:00:00,-11.108061,-9.392751
2017-04-30 16:30:00,-8.658282,-7.204551
2017-04-30 17:00:00,-2.5876744,-4.993646
2017-04-30 17:30:00,1.5230796,-3.436426
2017-04-30 18:00:00,-2.3123763,-1.5640044
2017-04-30 18:30:00,0.94773114,-0.10458699
2017-04-30 19:00:00,0.6754812,0.7273592
2017-04-30 19:30:00,-0.471429,1.3738137
2017-04-30 20:00:00,-3.3934329,2.2297282
2017-04-30 20:30:00,1.6562335,2.6104064
2017-04-30 21:00:00,6.7059035,2.8812358
2017-04-30 21:30:00,4.49926,3.3365543
2017-04-30 22:00:00,2.2926126,3.4943886
2017-04-30 22:30:00,4.898838,3.1594014
2017-04-30 23:00:00,7.505068,3.95557
2017-04-30 23:30:00,0.98324084,4.8306108
2017-05-01 00:00:00,0.12182511,4.607722
2017-05-01 00:30:00,-0.93011993,4.6419654
2017-05-01 01:00:00,-0.30778438,4.24909
2017-05-01 01:30:00,0.32411063,4.3487544
2017-05-01 02:00:00,0.809498,4.3636904
2017-05-01 02:30:00,1.2948891,4.516962
2017-05-01 03:00:00,1.4042329,4.7368517
2017-05-01 03:30:00,1.5135729,5.760009
2017-05-01 04:00:00,1.622913,5.7785554
2017-05-01 04:30:00,1.7322531,6.697041
2017-05-01 05:00:00,7.2962904,5.846191
2017-05-01 05:30:00,6.234714,5.13296
2017-05-01 06:00:00,3.7348819,4.256928
2017-05-01 06:30:00,-3.798961,2.9763026
2017-05-01 07:00:00,-11.3328,1.0866388
2017-05-01 07:30:00,-18.866642,-1.6100948
2017-05-01 08:00:00,-7.6316175,-3.5498805
2017-05-01 08:30:00,-19.074177,-7.593534
2017-05-01 09:00:00,-30.447622,-9.271202
2017-05-01 09:30:00,-22.100786,-10.967906
2017-05-01 10:00:00,-27.034943,-12.523686
2017-05-01 10:30:00,-18.934729,-14.640057
2017-05-01 11:00:00,-22.805279,-14.913862
2017-05-01 11:30:00,-26.34032,-16.038418
2017-05-01 12:00:00,-17.906973,-16.603653
2017-05-01 12:30:00,-23.706392,-17.872963
2017-05-01 13:00:00,-21.81065,-16.962013
2017-05-01 13:30:00,-23.861696,-16.986185
2017-05-01 14:00:00,-22.59068,-15.466158
2017-05-01 14:30:00,-20.538105,-13.221627
2017-05-01 15:00:00,-14.46871,-13.8158045
2017-05-01 15:30:00,-11.047185,-13.609864
2017-05-01 16:00:00,-2.750234,-10.923956
2017-05-01 16:30:00,-1.217359,-8.061897
2017-05-01 17:00:00,-0.48492223,-5.457322
2017-05-01 17:30:00,3.0138733,-2.238983
2017-05-01 18:00:00,5.0449014,-1.0694007
2017-05-01 18:30:00,4.781329,0.5842728
2017-05-01 19:00:00,5.043733,1.6849797
2017-05-01 19:30:00,5.8523216,1.7115403
2017-05-01 20:00:00,5.792595,1.47292
2017-05-01 20:30:00,4.8980093,3.043132
2017-05-01 21:00:00,6.630943,3.642592
2017-05-01 21:30:00,6.6034174,3.428878
2017-05-01 22:00:00,4.9410024,3.018964
2017-05-01 22:30:00,4.4271665,3.8229704
2017-05-01 23:00:00,5.78787,5.2066693
2017-05-01 23:30:00,5.2582345,3.7074244
2017-05-02 00:00:00,7.266794,3.6194074
2017-05-02 00:30:00,7.4857607,4.797833
2017-05-02 01:00:00,8.21914,4.489414
2017-05-02 01:30:00,5.609281,3.8907418
2017-05-02 02:00:00,3.667751,2.652073
2017-05-02 02:30:00,5.630804,2.8770833
2017-05-02 03:00:00,6.1747727,2.4945176
2017-05-02 03:30:00,5.8053985,2.5520663
2017-05-02 04:00:00,8.337881,3.1732864
2017-05-02 04:30:00,10.870359,4.2818117
2017-05-02 05:00:00,13.402839,3.8242326
2017-05-02 05:30:00,15.935317,4.647704
2017-05-02 06:00:00,18.467802,4.1199193
2017-05-02 06:30:00,21.00028,1.8964516
2017-05-02 07:00:00,23.53276,-1.7704762
2017-05-02 07:30:00,26.065239,-4.255614
2017-05-02 08:00:00,28.597717,-7.162964
2017-05-02 08:30:00,31.130203,-10.730492
2017-05-02 09:00:00,46.482998,-12.981108
2017-05-02 09:30:00,18.529741,-13.026045
2017-05-02 10:00:00,-9.42352,-16.42269
2017-05-02 10:30:00,-6.3966827,-14.995093
2017-05-02 11:00:00,-11.352163,-14.927698
2017-05-02 11:30:00,-22.21755,-15.669616
2017-05-02 12:00:00,-18.626904,-16.34628
2017-05-02 12:30:00,-9.897415,-16.679356
2017-05-02 13:00:00,-4.553373,-17.285059
2017-05-02 13:30:00,-5.327209,-18.442196
2017-05-02 14:00:00,29.976099,-18.152695
2017-05-02 14:30:00,-2.9158754,-16.787365
2017-05-02 15:00:00,-5.1304626,-13.956087
2017-05-02 15:30:00,-4.853299,-13.620584
2017-05-02 16:00:00,-5.1019497,-9.842613
2017-05-02 16:30:00,-4.5954695,-4.628255
2017-05-02 17:00:00,-3.3684132,-1.796581
2017-05-02 17:30:00,-0.763005,0.92649466
2017-05-02 18:00:00,1.8424033,2.7702377
2017-05-02 18:30:00,4.877383,3.5822887
2017-05-02 19:00:00,5.702637,5.365423
2017-05-02 19:30:00,3.9759474,4.0932
2017-05-02 20:00:00,4.0180774,3.7172136
2017-05-02 20:30:00,5.2836385,4.1166224
2017-05-02 21:00:00,3.2390947,4.598611
2017-05-02 21:30:00,2.3965342,5.199314
2017-05-02 22:00:00,7.2779703,4.0964293
2017-05-02 22:30:00,10.09002,3.8745694
2017-05-02 23:00:00,6.0722866,4.971229
2017-05-02 23:30:00,4.837269,4.447476
2017-05-03 00:00:00,5.3399477,4.8844066
2017-05-03 00:30:00,5.4655995,5.9158916
2017-05-03 01:00:00,4.876818,4.9984646
2017-05-03 01:30:00,4.470404,4.8794556
2017-05-03 02:00:00,4.803937,4.5114946
2017-05-03 02:30:00,10.267117,4.335981
2017-05-03 03:00:00,8.139303,5.6096506
2017-05-03 03:30:00,7.371394,5.7291865
2017-05-03 04:00:00,10.848287,6.213436
2017-05-03 04:30:00,8.172115,6.7938414
2017-05-03 05:00:00,7.659579,6.8642087
2017-05-03 05:30:00,4.900997,6.5484877
2017-05-03 06:00:00,-0.48474514,4.0621896
2017-05-03 06:30:00,-2.2800956,-0.039675504
2017-05-03 07:00:00,-1.8114647,-4.277807
2017-05-03 07:30:00,-8.623432,-6.517037
2017-05-03 08:00:00,-11.974326,-9.410415
2017-05-03 08:30:00,-14.692578,-12.374518
2017-05-03 09:00:00,-20.539312,-14.1279955
2017-05-03 09:30:00,-22.89017,-15.494844
2017-05-03 10:00:00,-29.064623,-15.892599
2017-05-03 10:30:00,-25.934633,-14.541135
2017-05-03 11:00:00,-23.358332,-16.898363
2017-05-03 11:30:00,-33.878098,-18.197784
2017-05-03 12:00:00,-25.553476,-18.586672
2017-05-03 12:30:00,-24.536655,-15.462243
2017-05-03 13:00:00,-14.461592,-13.982885
2017-05-03 13:30:00,-18.764746,-12.489699
2017-05-03 14:00:00,-20.516357,-11.514471
2017-05-03 14:30:00,-19.971416,-11.032561
2017-05-03 15:00:00,-15.865477,-10.017528
2017-05-03 15:30:00,-22.955513,-8.210737
2017-05-03 16:00:00,-10.372149,-4.002562
2017-05-03 16:30:00,-12.679297,-3.4687743
2017-05-03 17:00:00,-3.9400465,-3.7178771
2017-05-03 17:30:00,-1.3059373,-1.0793369
2017-05-03 18:00:00,0.6841175,-1.1784129
2017-05-03 18:30:00,3.1719754,-1.2220427
2017-05-03 19:00:00,6.235773,-2.0099332
2017-05-03 19:30:00,7.694162,-0.70238906
2017-05-03 20:00:00,6.5787635,2.9700327
2017-05-03 20:30:00,6.2633395,3.8457518
2017-05-03 21:00:00,6.4338684,4.1892505
2017-05-03 21:30:00,8.379661,3.4781523
2017-05-03 22:00:00,7.043321,3.8021069
2017-05-03 22:30:00,5.97731,3.9279206
2017-05-03 23:00:00,7.4758472,4.8802695
2017-05-03 23:30:00,9.680012,5.327148
2017-05-04 00:00:00,7.190997,6.0488043
2017-05-04 00:30:00,7.405182,5.268382
2017-05-04 01:00:00,8.152567,3.9696398
2017-05-04 01:30:00,8.798053,3.9626842
2017-05-04 02:00:00,7.7841644,2.2220678
2017-05-04 02:30:00,8.083058,1.825078
2017-05-04 03:00:00,8.348157,3.4202042
2017-05-04 03:30:00,9.6973295,7.224871
2017-05-04 04:00:00,8.478876,10.146386
2017-05-04 04:30:00,8.468597,7.9808474
2017-05-04 05:00:00,7.8022056,7.2810144
2017-05-04 05:30:00,7.1358147,9.00659
2017-05-04 06:00:00,6.469427,5.859801
2017-05-04 06:30:00,5.8030357,4.185671
2017-05-04 07:00:00,5.136645,3.79439
2017-05-04 07:30:00,4.4702573,2.4642527
2017-05-04 08:00:00,3.8038666,-4.59175
2017-05-04 08:30:00,3.1374755,-6.975905
2017-05-04 09:00:00,2.471084,-7.908155
2017-05-04 09:30:00,1.8046968,-8.275988
2017-05-04 10:00:00,1.1383057,-12.395853
2017-05-04 10:30:00,0.47191453,-13.59532
2017-05-04 11:00:00,-0.19447283,-14.467655
2017-05-04 11:30:00,-0.8608639,-19.128265
2017-05-04 12:00:00,-1.527255,-20.763477
2017-05-04 12:30:00,-2.1936424,-20.708433
2017-05-04 13:00:00,-2.8600335,-16.067408
2017-05-04 13:30:00,-3.5264246,-12.499873
2017-05-04 14:00:00,-4.1928124,-15.104132
2017-05-04 14:30:00,-4.8592033,-15.668685
2017-05-04 15:00:00,-7.4222293,-12.929562
2017-05-04 15:30:00,-6.1755495,-14.883454
2017-05-04 16:00:00,-4.928874,-10.884347
2017-05-04 16:30:00,-0.17422733,-8.686135
2017-05-04 17:00:00,3.8704433,-6.69136
2017-05-04 17:30:00,3.6606333,-3.226269
2017-05-04 18:00:00,4.6875734,-1.6544292
2017-05-04 18:30:00,13.899334,1.9681983
2017-05-04 19:00:00,23.111105,2.5403328
2017-05-04 19:30:00,32.322865,3.7371314
2017-05-04 20:00:00,41.53463,4.909061
2017-05-04 20:30:00,50.74639,5.5392714
2017-05-04 21:00:00,9.324301,5.027169
2017-05-04 21:30:00,11.498577,4.7092924
2017-05-04 22:00:00,5.8813086,3.980567
2017-05-04 22:30:00,4.5435038,5.0241094
2017-05-04 23:00:00,7.818242,5.637722
2017-05-04 23:30:00,4.6815333,5.0723286
2017-05-05 00:00:00,10.661277,6.5730963
2017-05-05 00:30:00,8.274195,8.032729
