时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,-0.691183
2017-04-28 19:30:00,3.883183,-0.32909247
2017-04-28 20:00:00,3.1135032,-0.40420395
2017-04-28 20:30:00,4.2741365,-0.18900545
2017-04-28 21:00:00,4.9026327,-0.2492936
2017-04-28 21:30:00,5.051767,-0.033940595
2017-04-28 22:00:00,5.8418956,-0.27906087
2017-04-28 22:30:00,5.061944,-0.14582784
2017-04-28 23:00:00,5.4606485,-0.34208456
2017-04-28 23:30:00,3.9218051,-0.4211223
2017-04-29 00:00:00,3.5646358,-0.5437484
2017-04-29 00:30:00,2.9955382,-0.662565
2017-04-29 01:00:00,2.980568,-0.56797665
2017-04-29 01:30:00,4.8063188,-1.1756358
2017-04-29 02:00:00,4.851331,-1.619398
2017-04-29 02:30:00,4.3052826,-1.4946128
2017-04-29 03:00:00,3.1283154,-1.6949805
2017-04-29 03:30:00,2.5324876,-0.9581087
2017-04-29 04:00:00,8.713393,-1.2063376
2017-04-29 04:30:00,2.7933695,-1.123449
2017-04-29 05:00:00,8.1307125,-0.5872349
2017-04-29 05:30:00,5.280869,-1.2012621
2017-04-29 06:00:00,4.4633207,-1.3296494
2017-04-29 06:30:00,3.363409,-2.2384706
2017-04-29 07:00:00,-2.8686924,-4.956663
2017-04-29 07:30:00,-8.9101095,-7.6354723
2017-04-29 08:00:00,-11.509184,-11.941688
2017-04-29 08:30:00,-7.713828,-11.597642
2017-04-29 09:00:00,-20.0258,-11.405922
2017-04-29 09:30:00,-15.869132,-12.672357
2017-04-29 10:00:00,-14.503749,-11.150835
2017-04-29 10:30:00,-18.653013,-10.938147
2017-04-29 11:00:00,-26.628038,-15.454078
2017-04-29 11:30:00,-25.448153,-13.07212
2017-04-29 12:00:00,-24.268265,-15.074929
2017-04-29 12:30:00,-23.088379,-14.652796
2017-04-29 13:00:00,-21.908491,-12.118336
2017-04-29 13:30:00,-20.728605,-13.803819
2017-04-29 14:00:00,-19.54872,-12.0567665
2017-04-29 14:30:00,-18.368832,-10.334541
2017-04-29 15:00:00,-17.188948,-9.262566
2017-04-29 15:30:00,-16.00906,-8.906542
2017-04-29 16:00:00,-14.829176,-7.5373983
2017-04-29 16:30:00,-13.649288,-5.752998
2017-04-29 17:00:00,-12.4694,-4.80797
2017-04-29 17:30:00,-11.289516,-2.067075
2017-04-29 18:00:00,-10.109629,-0.357345
2017-04-29 18:30:00,-8.929745,0.08271318
2017-04-29 19:00:00,-7.7498574,0.26307267
2017-04-29 19:30:00,-6.5699697,0.132319
2017-04-29 20:00:00,-5.3900857,-0.21446212
2017-04-29 20:30:00,-4.210198,-0.036759064
2017-04-29 21:00:00,-3.0303137,-0.14925297
2017-04-29 21:30:00,-1.8504258,-0.19235522
2017-04-29 22:00:00,-0.67053807,-0.036683705
2017-04-29 22:30:00,0.50934595,-0.26461807
2017-04-29 23:00:00,1.6892338,-0.21051325
2017-04-29 23:30:00,2.8691177,-0.5213739
2017-04-30 00:00:00,4.0490055,-0.63418055
2017-04-30 00:30:00,4.402034,-0.7263536
2017-04-30 01:00:00,3.1360586,-1.0377343
2017-04-30 01:30:00,3.6348224,-0.5362349
2017-04-30 02:00:00,2.5813513,-0.7819995
2017-04-30 02:30:00,3.3770566,-2.1252155
2017-04-30 03:00:00,3.319881,1.3043618
2017-04-30 03:30:00,3.546647,1.9001669
2017-04-30 04:00:00,3.0768971,3.6132052
2017-04-30 04:30:00,1.681385,2.7092185
2017-04-30 05:00:00,1.5997813,3.531172
2017-04-30 05:30:00,1.5181812,3.318841
2017-04-30 06:00:00,2.3045082,3.1028247
2017-04-30 06:30:00,1.5486305,2.7905397
2017-04-30 07:00:00,-4.5931444,0.94508225
2017-04-30 07:30:00,-5.6566725,-3.133361
2017-04-30 08:00:00,-12.827279,-7.205252
2017-04-30 08:30:00,-21.595823,-5.998103
2017-04-30 09:00:00,-15.995048,-14.236024
2017-04-30 09:30:00,-17.463516,-13.432187
2017-04-30 10:00:00,-18.164124,-13.6014385
2017-04-30 10:30:00,-28.081053,-16.018028
2017-04-30 11:00:00,-22.780973,-19.002542
2017-04-30 11:30:00,-24.080145,-17.7187
2017-04-30 12:00:00,-24.742592,-19.179108
2017-04-30 12:30:00,-39.56868,-19.047293
2017-04-30 13:00:00,-19.774418,-18.710268
2017-04-30 13:30:00,-28.12152,-18.290861
2017-04-30 14:00:00,-22.585518,-17.772398
2017-04-30 14:30:00,-17.433907,-17.09219
2017-04-30 15:00:00,-15.301105,-15.919272
2017-04-30 15:30:00,-20.10085,-14.472572
2017-04-30 16:00:00,-11.108061,-12.6627445
2017-04-30 16:30:00,-8.658282,-10.594022
2017-04-30 17:00:00,-2.5876744,-8.341585
2017-04-30 17:30:00,1.5230796,-5.628043
2017-04-30 18:00:00,-2.3123763,-2.8457453
2017-04-30 18:30:00,0.94773114,-0.43473235
2017-04-30 19:00:00,0.6754812,0.77206284
2017-04-30 19:30:00,-0.471429,1.5640492
2017-04-30 20:00:00,-3.3934329,1.7591077
2017-04-30 20:30:00,1.6562335,1.9814918
2017-04-30 21:00:00,6.7059035,2.1824737
2017-04-30 21:30:00,4.49926,2.3306656
2017-04-30 22:00:00,2.2926126,2.4611065
2017-04-30 22:30:00,4.898838,2.630486
2017-04-30 23:00:00,7.505068,2.7790248
2017-04-30 23:30:00,0.98324084,2.897913
2017-05-01 00:00:00,0.12182511,1.9675577
2017-05-01 00:30:00,-0.93011993,3.2630444
2017-05-01 01:00:00,-0.30778438,3.0656345
2017-05-01 01:30:00,0.32411063,3.035174
2017-05-01 02:00:00,0.809498,3.0233424
2017-05-01 02:30:00,1.2948891,3.004201
2017-05-01 03:00:00,1.4042329,2.9630995
2017-05-01 03:30:00,1.5135729,3.0526423
2017-05-01 04:00:00,1.622913,2.878975
2017-05-01 04:30:00,1.7322531,2.8844385
2017-05-01 05:00:00,7.2962904,2.8340867
2017-05-01 05:30:00,6.234714,2.7489522
2017-05-01 06:00:00,3.7348819,2.891153
2017-05-01 06:30:00,-3.798961,2.5486224
2017-05-01 07:00:00,-11.3328,0.3805441
2017-05-01 07:30:00,-18.866642,-2.2985024
2017-05-01 08:00:00,-7.6316175,-8.507544
2017-05-01 08:30:00,-19.074177,-14.139047
2017-05-01 09:00:00,-30.447622,-12.841345
2017-05-01 09:30:00,-22.100786,-14.392102
2017-05-01 10:00:00,-27.034943,-15.477394
2017-05-01 10:30:00,-18.934729,-19.14949
2017-05-01 11:00:00,-22.805279,-18.118742
2017-05-01 11:30:00,-26.34032,-18.987524
2017-05-01 12:00:00,-17.906973,-19.581818
2017-05-01 12:30:00,-23.706392,-23.69152
2017-05-01 13:00:00,-21.81065,-18.161667
2017-05-01 13:30:00,-23.861696,-20.81707
2017-05-01 14:00:00,-22.59068,-18.882828
2017-05-01 14:30:00,-20.538105,-16.627798
2017-05-01 15:00:00,-14.46871,-15.071105
2017-05-01 15:30:00,-11.047185,-16.244787
2017-05-01 16:00:00,-2.750234,-9.99088
2017-05-01 16:30:00,-1.217359,-7.177452
2017-05-01 17:00:00,-0.48492223,-2.2161562
2017-05-01 17:30:00,3.0138733,0.14971213
2017-05-01 18:00:00,5.0449014,0.70027095
2017-05-01 18:30:00,4.781329,1.9797472
2017-05-01 19:00:00,5.043733,2.9426956
2017-05-01 19:30:00,5.8523216,3.0624619
2017-05-01 20:00:00,5.792595,2.5883257
2017-05-01 20:30:00,4.8980093,3.383353
2017-05-01 21:00:00,6.630943,3.942548
2017-05-01 21:30:00,6.6034174,4.0551324
2017-05-01 22:00:00,4.9410024,3.4580162
2017-05-01 22:30:00,4.4271665,3.788331
2017-05-01 23:00:00,5.78787,3.8129323
2017-05-01 23:30:00,5.2582345,3.1159072
2017-05-02 00:00:00,7.266794,3.0680008
2017-05-02 00:30:00,7.4857607,2.7404177
