时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,8.08556
2017-04-28 19:30:00,3.883183,4.852914
2017-04-28 20:00:00,3.1135032,2.1443903
2017-04-28 20:30:00,4.2741365,-1.6104904
2017-04-28 21:00:00,4.9026327,-7.764255
2017-04-28 21:30:00,5.051767,-13.423913
2017-04-28 22:00:00,5.8418956,-15.654762
2017-04-28 22:30:00,5.061944,-18.959732
2017-04-28 23:00:00,5.4606485,-20.67794
2017-04-28 23:30:00,3.9218051,-20.525633
2017-04-29 00:00:00,3.5646358,-22.504845
2017-04-29 00:30:00,2.9955382,-22.102646
2017-04-29 01:00:00,2.980568,-24.55651
2017-04-29 01:30:00,4.8063188,-24.786875
2017-04-29 02:00:00,4.851331,-27.067595
2017-04-29 02:30:00,4.3052826,44.483864
2017-04-29 03:00:00,3.1283154,33.859783
2017-04-29 03:30:00,2.5324876,30.238806
2017-04-29 04:00:00,8.713393,36.52033
2017-04-29 04:30:00,2.7933695,32.818214
2017-04-29 05:00:00,8.1307125,35.606888
2017-04-29 05:30:00,5.280869,35.21268
2017-04-29 06:00:00,4.4633207,34.691715
2017-04-29 06:30:00,3.363409,34.30842
2017-04-29 07:00:00,-2.8686924,32.6828
2017-04-29 07:30:00,-8.9101095,33.105354
2017-04-29 08:00:00,-11.509184,33.01403
2017-04-29 08:30:00,-7.713828,31.51133
2017-04-29 09:00:00,-20.0258,29.351395
2017-04-29 09:30:00,-15.869132,19.83996
2017-04-29 10:00:00,-14.503749,11.041239
2017-04-29 10:30:00,-18.653013,4.0768623
2017-04-29 11:00:00,-26.628038,-1.3963544
2017-04-29 11:30:00,-25.448153,-2.3909128
2017-04-29 12:00:00,-24.268265,-15.388266
2017-04-29 12:30:00,-23.088379,-14.111371
2017-04-29 13:00:00,-21.908491,-21.396746
2017-04-29 13:30:00,-20.728605,-21.155693
2017-04-29 14:00:00,-19.54872,-19.992495
2017-04-29 14:30:00,-18.368832,-18.071857
2017-04-29 15:00:00,-17.188948,-17.8359
2017-04-29 15:30:00,-16.00906,-16.4404
2017-04-29 16:00:00,-14.829176,-13.115953
2017-04-29 16:30:00,-13.649288,-5.6814885
2017-04-29 17:00:00,-12.4694,-4.9270954
2017-04-29 17:30:00,-11.289516,6.489895
2017-04-29 18:00:00,-10.109629,12.030436
2017-04-29 18:30:00,-8.929745,16.425768
2017-04-29 19:00:00,-7.7498574,16.567083
2017-04-29 19:30:00,-6.5699697,16.29935
2017-04-29 20:00:00,-5.3900857,16.494776
2017-04-29 20:30:00,-4.210198,16.440268
2017-04-29 21:00:00,-3.0303137,15.614267
2017-04-29 21:30:00,-1.8504258,14.709048
2017-04-29 22:00:00,-0.67053807,14.32949
2017-04-29 22:30:00,0.50934595,14.350131
2017-04-29 23:00:00,1.6892338,14.496593
2017-04-29 23:30:00,2.8691177,14.55609
2017-04-30 00:00:00,4.0490055,14.459328
2017-04-30 00:30:00,4.402034,13.867389
2017-04-30 01:00:00,3.1360586,13.566935
2017-04-30 01:30:00,3.6348224,12.756369
2017-04-30 02:00:00,2.5813513,12.085663
2017-04-30 02:30:00,3.3770566,15.264694
2017-04-30 03:00:00,3.319881,22.523445
2017-04-30 03:30:00,3.546647,18.552448
2017-04-30 04:00:00,3.0768971,0.97616076
2017-04-30 04:30:00,1.681385,-2.1723418
2017-04-30 05:00:00,1.5997813,-3.1560183
2017-04-30 05:30:00,1.5181812,-3.9423902
2017-04-30 06:00:00,2.3045082,-4.876043
2017-04-30 06:30:00,1.5486305,-5.908217
2017-04-30 07:00:00,-4.5931444,-7.313345
2017-04-30 07:30:00,-5.6566725,-8.612041
2017-04-30 08:00:00,-12.827279,-9.728699
2017-04-30 08:30:00,-21.595823,-12.90415
2017-04-30 09:00:00,-15.995048,-16.193724
2017-04-30 09:30:00,-17.463516,-18.04509
2017-04-30 10:00:00,-18.164124,-19.924892
2017-04-30 10:30:00,-28.081053,-21.950592
2017-04-30 11:00:00,-22.780973,-21.412104
2017-04-30 11:30:00,-24.080145,-21.50527
2017-04-30 12:00:00,-24.742592,-21.347467
2017-04-30 12:30:00,-39.56868,-20.924051
2017-04-30 13:00:00,-19.774418,-19.760162
2017-04-30 13:30:00,-28.12152,-19.0322
2017-04-30 14:00:00,-22.585518,-18.945436
2017-04-30 14:30:00,-17.433907,-17.46125
2017-04-30 15:00:00,-15.301105,-15.012396
2017-04-30 15:30:00,-20.10085,-11.968022
2017-04-30 16:00:00,-11.108061,-6.7363763
2017-04-30 16:30:00,-8.658282,-3.4021332
2017-04-30 17:00:00,-2.5876744,0.47985372
2017-04-30 17:30:00,1.5230796,4.6437855
2017-04-30 18:00:00,-2.3123763,4.574017
2017-04-30 18:30:00,0.94773114,3.2654445
2017-04-30 19:00:00,0.6754812,4.147064
2017-04-30 19:30:00,-0.471429,4.44335
2017-04-30 20:00:00,-3.3934329,4.256404
