时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,-2.1931
2017-04-28 19:30:00,3.883183,0.29888004
2017-04-28 20:00:00,3.1135032,1.339182
2017-04-28 20:30:00,4.2741365,2.046166
2017-04-28 21:00:00,4.9026327,2.0756316
2017-04-28 21:30:00,5.051767,1.8404251
2017-04-28 22:00:00,5.8418956,2.1913097
2017-04-28 22:30:00,5.061944,2.72706
2017-04-28 23:00:00,5.4606485,3.0773644
2017-04-28 23:30:00,3.9218051,3.5262923
2017-04-29 00:00:00,3.5646358,2.944949
2017-04-29 00:30:00,2.9955382,2.4353786
2017-04-29 01:00:00,2.980568,3.3987603
2017-04-29 01:30:00,4.8063188,4.5342345
2017-04-29 02:00:00,4.851331,5.4375315
2017-04-29 02:30:00,4.3052826,6.169648
2017-04-29 03:00:00,3.1283154,6.022967
2017-04-29 03:30:00,2.5324876,6.685006
2017-04-29 04:00:00,8.713393,6.410838
2017-04-29 04:30:00,2.7933695,6.46867
2017-04-29 05:00:00,8.1307125,6.348131
2017-04-29 05:30:00,5.280869,4.9840217
2017-04-29 06:00:00,4.4633207,3.9272237
2017-04-29 06:30:00,3.363409,3.3082001
2017-04-29 07:00:00,-2.8686924,1.1282715
2017-04-29 07:30:00,-8.9101095,-1.5635184
2017-04-29 08:00:00,-11.509184,-4.9749002
2017-04-29 08:30:00,-7.713828,-7.3073916
2017-04-29 09:00:00,-20.0258,-8.807481
2017-04-29 09:30:00,-15.869132,-13.06764
2017-04-29 10:00:00,-14.503749,-15.542445
2017-04-29 10:30:00,-18.653013,-17.391663
2017-04-29 11:00:00,-26.628038,-19.339043
2017-04-29 11:30:00,-25.448153,-21.072329
2017-04-29 12:00:00,-24.268265,-22.124983
2017-04-29 12:30:00,-23.088379,-22.811295
2017-04-29 13:00:00,-21.908491,-21.579988
2017-04-29 13:30:00,-20.728605,-21.971882
2017-04-29 14:00:00,-19.54872,-19.348606
2017-04-29 14:30:00,-18.368832,-17.59561
2017-04-29 15:00:00,-17.188948,-15.429556
2017-04-29 15:30:00,-16.00906,-14.394838
2017-04-29 16:00:00,-14.829176,-11.708557
2017-04-29 16:30:00,-13.649288,-8.625964
2017-04-29 17:00:00,-12.4694,-5.5881586
2017-04-29 17:30:00,-11.289516,-3.0275254
2017-04-29 18:00:00,-10.109629,0.15436938
2017-04-29 18:30:00,-8.929745,1.967814
2017-04-29 19:00:00,-7.7498574,3.8280723
2017-04-29 19:30:00,-6.5699697,4.3319073
2017-04-29 20:00:00,-5.3900857,4.650236
2017-04-29 20:30:00,-4.210198,5.0410166
2017-04-29 21:00:00,-3.0303137,5.454435
2017-04-29 21:30:00,-1.8504258,4.97638
2017-04-29 22:00:00,-0.67053807,5.1426697
2017-04-29 22:30:00,0.50934595,5.3036466
2017-04-29 23:00:00,1.6892338,5.159769
2017-04-29 23:30:00,2.8691177,5.8888035
2017-04-30 00:00:00,4.0490055,6.1500697
2017-04-30 00:30:00,4.402034,5.982604
2017-04-30 01:00:00,3.1360586,6.7055416
2017-04-30 01:30:00,3.6348224,6.883241
2017-04-30 02:00:00,2.5813513,7.426369
2017-04-30 02:30:00,3.3770566,7.1730537
2017-04-30 03:00:00,3.319881,6.907168
2017-04-30 03:30:00,3.546647,6.730953
2017-04-30 04:00:00,3.0768971,6.256335
2017-04-30 04:30:00,1.681385,5.2092733
2017-04-30 05:00:00,1.5997813,4.962318
2017-04-30 05:30:00,1.5181812,3.4907148
2017-04-30 06:00:00,2.3045082,3.492742
2017-04-30 06:30:00,1.5486305,2.4112105
2017-04-30 07:00:00,-4.5931444,0.40447474
2017-04-30 07:30:00,-5.6566725,-1.6289235
2017-04-30 08:00:00,-12.827279,-3.748805
2017-04-30 08:30:00,-21.595823,-4.0561013
2017-04-30 09:00:00,-15.995048,-6.2029696
2017-04-30 09:30:00,-17.463516,-8.33871
2017-04-30 10:00:00,-18.164124,-8.857347
2017-04-30 10:30:00,-28.081053,-10.946154
2017-04-30 11:00:00,-22.780973,-12.200885
2017-04-30 11:30:00,-24.080145,-14.206724
2017-04-30 12:00:00,-24.742592,-14.976739
2017-04-30 12:30:00,-39.56868,-15.480115
2017-04-30 13:00:00,-19.774418,-15.90258
2017-04-30 13:30:00,-28.12152,-15.780674
2017-04-30 14:00:00,-22.585518,-15.781186
2017-04-30 14:30:00,-17.433907,-14.853996
2017-04-30 15:00:00,-15.301105,-13.756462
2017-04-30 15:30:00,-20.10085,-13.276711
2017-04-30 16:00:00,-11.108061,-11.284124
2017-04-30 16:30:00,-8.658282,-9.765388
2017-04-30 17:00:00,-2.5876744,-8.004895
2017-04-30 17:30:00,1.5230796,-6.205547
