时间,真实值,预测值
2018-07-25 23:30:00,42.391376,8.031824
2018-07-26 00:00:00,7.7510285,7.940885
2018-07-26 00:30:00,7.4822836,7.520323
2018-07-26 01:00:00,3.355278,6.1716814
2018-07-26 01:30:00,4.7732563,5.0376277
2018-07-26 02:00:00,4.843734,4.7258444
2018-07-26 02:30:00,4.9142065,5.16547
2018-07-26 03:00:00,5.619554,5.429431
2018-07-26 03:30:00,4.443017,5.1178136
2018-07-26 04:00:00,-2.9978292,4.940204
2018-07-26 04:30:00,10.351522,5.8287845
2018-07-26 05:00:00,8.137016,5.283744
2018-07-26 05:30:00,17.288946,4.6745
2018-07-26 06:00:00,7.157698,2.037672
2018-07-26 06:30:00,13.257681,3.671732
2018-07-26 07:00:00,1.7393246,0.77148455
2018-07-26 07:30:00,-9.779031,-3.1509178
2018-07-26 08:00:00,-7.134819,-5.5499406
2018-07-26 08:30:00,-8.1670065,-9.680341
2018-07-26 09:00:00,-9.319551,-13.0137205
2018-07-26 09:30:00,-12.254601,-16.72461
2018-07-26 10:00:00,-17.388987,-19.1368
2018-07-26 10:30:00,-24.315876,-21.3791
2018-07-26 11:00:00,-19.384172,-23.11969
2018-07-26 11:30:00,-31.685522,-24.863539
2018-07-26 12:00:00,-16.390364,-23.702066
2018-07-26 12:30:00,-15.588437,-23.40798
2018-07-26 13:00:00,-23.952736,-22.92013
2018-07-26 13:30:00,-18.220188,-21.339731
2018-07-26 14:00:00,-17.177326,-20.508347
2018-07-26 14:30:00,-24.131285,-17.853746
2018-07-26 15:00:00,-17.948454,-17.713507
2018-07-26 15:30:00,-22.859354,-17.846357
2018-07-26 16:00:00,-19.44365,-15.000882
2018-07-26 16:30:00,-12.525674,-12.836889
2018-07-26 17:00:00,-17.620943,-9.842443
2018-07-26 17:30:00,-4.0231433,-7.279401
2018-07-26 18:00:00,-1.9767619,-4.4186344
2018-07-26 18:30:00,2.1956367,-0.67629707
2018-07-26 19:00:00,6.368031,0.7293204
2018-07-26 19:30:00,16.040987,1.431417
2018-07-26 20:00:00,25.713942,2.7351766
2018-07-26 20:30:00,15.029607,4.494663
2018-07-26 21:00:00,17.568579,5.612773
2018-07-26 21:30:00,17.224018,7.3150773
2018-07-26 22:00:00,16.879456,8.953647
2018-07-26 22:30:00,16.534893,9.201681
2018-07-26 23:00:00,16.190336,9.324005
2018-07-26 23:30:00,15.845774,9.999296
2018-07-27 00:00:00,15.501212,11.93038
2018-07-27 00:30:00,15.15665,13.013251
2018-07-27 01:00:00,14.812088,12.678109
2018-07-27 01:30:00,14.4675255,11.250991
2018-07-27 02:00:00,14.122968,11.005861
2018-07-27 02:30:00,13.778406,9.836442
2018-07-27 03:00:00,13.433845,10.593124
2018-07-27 03:30:00,13.089282,13.228284
2018-07-27 04:00:00,12.74472,10.203082
2018-07-27 04:30:00,12.400158,10.412649
2018-07-27 05:00:00,12.0556,10.7669325
2018-07-27 05:30:00,11.711039,8.768041
2018-07-27 06:00:00,11.366477,6.1071115
2018-07-27 06:30:00,2.2563095,2.5293193
2018-07-27 07:00:00,0.56336844,-0.8882626
2018-07-27 07:30:00,-1.1295683,-3.685118
2018-07-27 08:00:00,-2.8225093,-7.4325113
2018-07-27 08:30:00,-4.5154505,-9.005081
2018-07-27 09:00:00,-6.2083874,-11.6109
2018-07-27 09:30:00,-7.9013286,-11.924089
2018-07-27 10:00:00,-9.594269,-14.979401
2018-07-27 10:30:00,-11.287206,-14.9655285
2018-07-27 11:00:00,-12.980146,-17.803215
2018-07-27 11:30:00,-14.673086,-15.579211
2018-07-27 12:00:00,-16.366024,-19.233105
2018-07-27 12:30:00,-18.058964,-20.51815
2018-07-27 13:00:00,-24.650272,-22.620785
2018-07-27 13:30:00,-23.832281,-22.88355
2018-07-27 14:00:00,-14.167013,-20.79328
2018-07-27 14:30:00,-21.019697,-17.008406
2018-07-27 15:00:00,-22.745687,-14.856102
2018-07-27 15:30:00,-14.631099,-16.415892
2018-07-27 16:00:00,-13.521618,-16.52718
2018-07-27 16:30:00,-14.239326,-14.094515
2018-07-27 17:00:00,-11.147906,-13.462985
2018-07-27 17:30:00,-4.386371,-6.083363
2018-07-27 18:00:00,-3.8519351,-5.205304
2018-07-27 18:30:00,-0.7601273,-0.48252112
2018-07-27 19:00:00,2.3316808,1.9150463
2018-07-27 19:30:00,11.0862665,6.8453646
2018-07-27 20:00:00,-27.292652,9.530129
2018-07-27 20:30:00,-24.57848,11.53097
2018-07-27 21:00:00,-21.864311,13.10208
2018-07-27 21:30:00,-19.15014,12.107211
2018-07-27 22:00:00,-16.435966,11.472726
2018-07-27 22:30:00,-13.721797,10.862809
2018-07-27 23:00:00,-11.007625,9.4793005
2018-07-27 23:30:00,-8.293455,8.942754
2018-07-28 00:00:00,-5.579285,9.631275
2018-07-28 00:30:00,-2.8651147,8.5740595
2018-07-28 01:00:00,-0.1509448,8.542426
2018-07-28 01:30:00,2.5632255,6.9594393
2018-07-28 02:00:00,5.2773995,5.802625
2018-07-28 02:30:00,7.9915695,4.9862046
2018-07-28 03:00:00,7.1563435,4.544727
2018-07-28 03:30:00,6.3211217,4.6272807
2018-07-28 04:00:00,5.4859004,7.074768
2018-07-28 04:30:00,4.6506743,2.1084204
2018-07-28 05:00:00,3.8154528,1.0232636
2018-07-28 05:30:00,5.0560136,1.0558457
2018-07-28 06:00:00,7.026395,1.7364583
2018-07-28 06:30:00,4.5030866,0.59705603
2018-07-28 07:00:00,-6.083057,-0.40759563
2018-07-28 07:30:00,-4.4361296,-3.126266
2018-07-28 08:00:00,-4.6948647,-4.4623933
2018-07-28 08:30:00,-2.858766,-6.347472
2018-07-28 09:00:00,-8.621086,-9.7537155
2018-07-28 09:30:00,-13.9625,-12.82379
2018-07-28 10:00:00,-25.69164,-12.904837
2018-07-28 10:30:00,-18.475042,-15.0194235
2018-07-28 11:00:00,-17.14543,-13.841279
2018-07-28 11:30:00,-24.660486,-16.518484
2018-07-28 12:00:00,-25.684952,-22.380947
2018-07-28 12:30:00,-28.317654,-21.969748
2018-07-28 13:00:00,-27.179781,-26.954113
2018-07-28 13:30:00,-24.388834,-26.152649
2018-07-28 14:00:00,-22.956675,-21.261272
2018-07-28 14:30:00,-19.48677,-22.907923
2018-07-28 15:00:00,-14.403572,-22.335579
2018-07-28 15:30:00,-14.702431,-16.672384
2018-07-28 16:00:00,-19.622494,-14.619275
2018-07-28 16:30:00,-19.665897,-12.636939
2018-07-28 17:00:00,-12.633283,-10.207685
2018-07-28 17:30:00,-11.377035,-2.2983193
2018-07-28 18:00:00,-6.676593,-0.26555702
2018-07-28 18:30:00,-3.5327897,4.0201697
2018-07-28 19:00:00,0.9774467,4.1765265
2018-07-28 19:30:00,2.4138944,7.1961746
2018-07-28 20:00:00,17.955074,8.695488
2018-07-28 20:30:00,15.900399,5.830248
2018-07-28 21:00:00,-22.039137,3.448996
2018-07-28 21:30:00,17.837612,4.8806543
2018-07-28 22:00:00,20.475708,5.4657836
2018-07-28 22:30:00,6.0276814,8.200835
2018-07-28 23:00:00,12.873031,8.560017
2018-07-28 23:30:00,19.718378,8.2913065
