时间,真实值,预测值
2018-07-25 23:30:00,42.391376,6.365899
2018-07-26 00:00:00,7.7510285,5.772848
2018-07-26 00:30:00,7.4822836,6.3787317
2018-07-26 01:00:00,3.355278,8.929593
2018-07-26 01:30:00,4.7732563,12.121975
2018-07-26 02:00:00,4.843734,12.989228
2018-07-26 02:30:00,4.9142065,12.434637
2018-07-26 03:00:00,5.619554,12.779823
2018-07-26 03:30:00,4.443017,11.826835
2018-07-26 04:00:00,-2.9978292,10.211467
2018-07-26 04:30:00,10.351522,10.191927
2018-07-26 05:00:00,8.137016,11.042634
2018-07-26 05:30:00,17.288946,11.368587
2018-07-26 06:00:00,7.157698,8.517219
2018-07-26 06:30:00,13.257681,3.1325333
2018-07-26 07:00:00,1.7393246,-0.8097237
2018-07-26 07:30:00,-9.779031,-5.6521087
2018-07-26 08:00:00,-7.134819,-10.152824
2018-07-26 08:30:00,-8.1670065,-13.735515
2018-07-26 09:00:00,-9.319551,-15.417995
2018-07-26 09:30:00,-12.254601,-16.681202
2018-07-26 10:00:00,-17.388987,-16.733269
2018-07-26 10:30:00,-24.315876,-18.164944
2018-07-26 11:00:00,-19.384172,-21.399046
2018-07-26 11:30:00,-31.685522,-25.237915
2018-07-26 12:00:00,-16.390364,-26.86971
2018-07-26 12:30:00,-15.588437,-28.082392
2018-07-26 13:00:00,-23.952736,-27.813887
2018-07-26 13:30:00,-18.220188,-26.47446
2018-07-26 14:00:00,-17.177326,-25.419552
2018-07-26 14:30:00,-24.131285,-22.243736
2018-07-26 15:00:00,-17.948454,-19.882961
2018-07-26 15:30:00,-22.859354,-18.912474
2018-07-26 16:00:00,-19.44365,-17.266766
2018-07-26 16:30:00,-12.525674,-13.978621
2018-07-26 17:00:00,-17.620943,-9.137835
2018-07-26 17:30:00,-4.0231433,-3.9050138
2018-07-26 18:00:00,-1.9767619,0.7379237
2018-07-26 18:30:00,2.1956367,4.5108423
2018-07-26 19:00:00,6.368031,7.7613883
2018-07-26 19:30:00,16.040987,10.019779
2018-07-26 20:00:00,25.713942,11.305161
2018-07-26 20:30:00,15.029607,12.601523
2018-07-26 21:00:00,17.568579,14.043057
2018-07-26 21:30:00,17.224018,14.376761
2018-07-26 22:00:00,16.879456,13.664335
2018-07-26 22:30:00,16.534893,13.232662
2018-07-26 23:00:00,16.190336,13.369078
2018-07-26 23:30:00,15.845774,14.198086
2018-07-27 00:00:00,15.501212,14.707018
2018-07-27 00:30:00,15.15665,12.896188
2018-07-27 01:00:00,14.812088,12.888279
2018-07-27 01:30:00,14.4675255,15.959647
2018-07-27 02:00:00,14.122968,22.187952
2018-07-27 02:30:00,13.778406,26.536924
2018-07-27 03:00:00,13.433845,26.367928
2018-07-27 03:30:00,13.089282,22.099167
2018-07-27 04:00:00,12.74472,15.779827
2018-07-27 04:30:00,12.400158,11.934652
2018-07-27 05:00:00,12.0556,11.98573
2018-07-27 05:30:00,11.711039,13.69188
2018-07-27 06:00:00,11.366477,14.696868
2018-07-27 06:30:00,2.2563095,12.034422
2018-07-27 07:00:00,0.56336844,7.4052386
2018-07-27 07:30:00,-1.1295683,0.18036498
2018-07-27 08:00:00,-2.8225093,-7.462786
2018-07-27 08:30:00,-4.5154505,-14.403994
2018-07-27 09:00:00,-6.2083874,-20.421911
2018-07-27 09:30:00,-7.9013286,-24.147873
2018-07-27 10:00:00,-9.594269,-24.760258
2018-07-27 10:30:00,-11.287206,-22.56337
2018-07-27 11:00:00,-12.980146,-18.865395
2018-07-27 11:30:00,-14.673086,-18.703693
2018-07-27 12:00:00,-16.366024,-19.94319
2018-07-27 12:30:00,-18.058964,-22.692217
2018-07-27 13:00:00,-24.650272,-27.87584
2018-07-27 13:30:00,-23.832281,-30.420172
2018-07-27 14:00:00,-14.167013,-29.73098
2018-07-27 14:30:00,-21.019697,-26.753876
2018-07-27 15:00:00,-22.745687,-21.849083
2018-07-27 15:30:00,-14.631099,-17.45081
2018-07-27 16:00:00,-13.521618,-13.882258
2018-07-27 16:30:00,-14.239326,-11.407267
2018-07-27 17:00:00,-11.147906,-10.760744
2018-07-27 17:30:00,-4.386371,-9.638404
2018-07-27 18:00:00,-3.8519351,-8.161934
2018-07-27 18:30:00,-0.7601273,-5.4947643
2018-07-27 19:00:00,2.3316808,-1.8076684
2018-07-27 19:30:00,11.0862665,1.8380105
2018-07-27 20:00:00,-27.292652,3.3673418
2018-07-27 20:30:00,-24.57848,3.25141
2018-07-27 21:00:00,-21.864311,2.877521
2018-07-27 21:30:00,-19.15014,2.0227814
