时间,真实值,预测值
2018-07-25 23:30:00,42.391376,8.904234
2018-07-26 00:00:00,7.7510285,9.130329
2018-07-26 00:30:00,7.4822836,8.822361
2018-07-26 01:00:00,3.355278,9.028034
2018-07-26 01:30:00,4.7732563,10.010717
2018-07-26 02:00:00,4.843734,9.898836
2018-07-26 02:30:00,4.9142065,10.419286
2018-07-26 03:00:00,5.619554,10.898996
2018-07-26 03:30:00,4.443017,10.147723
2018-07-26 04:00:00,-2.9978292,9.889092
2018-07-26 04:30:00,10.351522,9.6560755
2018-07-26 05:00:00,8.137016,9.00485
2018-07-26 05:30:00,17.288946,7.7437363
2018-07-26 06:00:00,7.157698,6.256849
2018-07-26 06:30:00,13.257681,5.3966565
2018-07-26 07:00:00,1.7393246,4.6873984
2018-07-26 07:30:00,-9.779031,2.72677
2018-07-26 08:00:00,-7.134819,0.6773646
2018-07-26 08:30:00,-8.1670065,-1.9864227
2018-07-26 09:00:00,-9.319551,-4.722776
2018-07-26 09:30:00,-12.254601,-8.065035
2018-07-26 10:00:00,-17.388987,-11.107451
2018-07-26 10:30:00,-24.315876,-14.262276
2018-07-26 11:00:00,-19.384172,-16.48347
2018-07-26 11:30:00,-31.685522,-17.21382
2018-07-26 12:00:00,-16.390364,-18.841995
2018-07-26 12:30:00,-15.588437,-20.835938
2018-07-26 13:00:00,-23.952736,-22.471489
2018-07-26 13:30:00,-18.220188,-22.812344
2018-07-26 14:00:00,-17.177326,-25.224619
2018-07-26 14:30:00,-24.131285,-23.85739
2018-07-26 15:00:00,-17.948454,-24.176317
2018-07-26 15:30:00,-22.859354,-23.86978
2018-07-26 16:00:00,-19.44365,-22.0679
2018-07-26 16:30:00,-12.525674,-20.452078
2018-07-26 17:00:00,-17.620943,-17.600164
2018-07-26 17:30:00,-4.0231433,-14.781122
2018-07-26 18:00:00,-1.9767619,-11.320937
2018-07-26 18:30:00,2.1956367,-8.556272
2018-07-26 19:00:00,6.368031,-4.844707
2018-07-26 19:30:00,16.040987,-1.8867491
2018-07-26 20:00:00,25.713942,0.69349617
2018-07-26 20:30:00,15.029607,2.5990453
2018-07-26 21:00:00,17.568579,5.526487
2018-07-26 21:30:00,17.224018,6.4267726
2018-07-26 22:00:00,16.879456,7.6695795
2018-07-26 22:30:00,16.534893,8.093764
2018-07-26 23:00:00,16.190336,8.931734
2018-07-26 23:30:00,15.845774,10.224142
2018-07-27 00:00:00,15.501212,10.546993
2018-07-27 00:30:00,15.15665,10.47136
2018-07-27 01:00:00,14.812088,10.7763405
2018-07-27 01:30:00,14.4675255,10.5187845
2018-07-27 02:00:00,14.122968,10.253837
2018-07-27 02:30:00,13.778406,10.28492
2018-07-27 03:00:00,13.433845,10.3642235
2018-07-27 03:30:00,13.089282,10.449234
2018-07-27 04:00:00,12.74472,9.403309
2018-07-27 04:30:00,12.400158,9.176689
2018-07-27 05:00:00,12.0556,8.738994
2018-07-27 05:30:00,11.711039,7.7096815
2018-07-27 06:00:00,11.366477,7.1165257
2018-07-27 06:30:00,2.2563095,6.02329
2018-07-27 07:00:00,0.56336844,4.214068
2018-07-27 07:30:00,-1.1295683,1.945007
2018-07-27 08:00:00,-2.8225093,-0.66864634
2018-07-27 08:30:00,-4.5154505,-2.4266076
2018-07-27 09:00:00,-6.2083874,-4.0742955
2018-07-27 09:30:00,-7.9013286,-6.4506235
2018-07-27 10:00:00,-9.594269,-9.827172
