时间,真实值,预测值
2018-07-25 23:30:00,42.391376,6.878414
2018-07-26 00:00:00,7.7510285,6.8779335
2018-07-26 00:30:00,7.4822836,6.6048408
2018-07-26 01:00:00,3.355278,6.506784
2018-07-26 01:30:00,4.7732563,6.5184765
2018-07-26 02:00:00,4.843734,5.3113933
2018-07-26 02:30:00,4.9142065,5.2550983
2018-07-26 03:00:00,5.619554,5.5385637
2018-07-26 03:30:00,4.443017,4.7494345
2018-07-26 04:00:00,-2.9978292,4.6861663
2018-07-26 04:30:00,10.351522,4.422774
2018-07-26 05:00:00,8.137016,3.7888086
2018-07-26 05:30:00,17.288946,2.3933017
2018-07-26 06:00:00,7.157698,-0.78500193
2018-07-26 06:30:00,13.257681,-1.8543462
2018-07-26 07:00:00,1.7393246,-4.3693004
2018-07-26 07:30:00,-9.779031,-8.222803
2018-07-26 08:00:00,-7.134819,-12.589266
2018-07-26 08:30:00,-8.1670065,-18.191069
2018-07-26 09:00:00,-9.319551,-22.850563
2018-07-26 09:30:00,-12.254601,-26.7932
2018-07-26 10:00:00,-17.388987,-28.184635
2018-07-26 10:30:00,-24.315876,-28.58397
2018-07-26 11:00:00,-19.384172,-27.404663
2018-07-26 11:30:00,-31.685522,-26.465992
2018-07-26 12:00:00,-16.390364,-24.91076
2018-07-26 12:30:00,-15.588437,-24.702517
2018-07-26 13:00:00,-23.952736,-24.05624
2018-07-26 13:30:00,-18.220188,-22.415085
2018-07-26 14:00:00,-17.177326,-22.063679
2018-07-26 14:30:00,-24.131285,-19.259089
2018-07-26 15:00:00,-17.948454,-17.829603
2018-07-26 15:30:00,-22.859354,-16.734472
2018-07-26 16:00:00,-19.44365,-14.215261
2018-07-26 16:30:00,-12.525674,-10.912316
2018-07-26 17:00:00,-17.620943,-7.355034
2018-07-26 17:30:00,-4.0231433,-3.6892688
2018-07-26 18:00:00,-1.9767619,-0.24970505
2018-07-26 18:30:00,2.1956367,2.2978141
2018-07-26 19:00:00,6.368031,3.9872642
2018-07-26 19:30:00,16.040987,5.0183587
2018-07-26 20:00:00,25.713942,5.560271
2018-07-26 20:30:00,15.029607,5.7915664
2018-07-26 21:00:00,17.568579,5.8114643
2018-07-26 21:30:00,17.224018,5.733742
2018-07-26 22:00:00,16.879456,5.7263494
2018-07-26 22:30:00,16.534893,5.7774796
2018-07-26 23:00:00,16.190336,5.971959
2018-07-26 23:30:00,15.845774,7.277475
2018-07-27 00:00:00,15.501212,6.576912
2018-07-27 00:30:00,15.15665,6.866451
2018-07-27 01:00:00,14.812088,6.288308
2018-07-27 01:30:00,14.4675255,5.7667046
2018-07-27 02:00:00,14.122968,5.140106
2018-07-27 02:30:00,13.778406,4.681159
2018-07-27 03:00:00,13.433845,4.472864
2018-07-27 03:30:00,13.089282,4.3558183
2018-07-27 04:00:00,12.74472,3.9534454
2018-07-27 04:30:00,12.400158,4.3281164
2018-07-27 05:00:00,12.0556,3.6753454
2018-07-27 05:30:00,11.711039,2.997809
2018-07-27 06:00:00,11.366477,1.015744
2018-07-27 06:30:00,2.2563095,-0.6476648
2018-07-27 07:00:00,0.56336844,-3.517226
2018-07-27 07:30:00,-1.1295683,-7.5755286
2018-07-27 08:00:00,-2.8225093,-11.951206
2018-07-27 08:30:00,-4.5154505,-16.62054
2018-07-27 09:00:00,-6.2083874,-20.638693
2018-07-27 09:30:00,-7.9013286,-23.740358
2018-07-27 10:00:00,-9.594269,-25.943113
2018-07-27 10:30:00,-11.287206,-28.13708
2018-07-27 11:00:00,-12.980146,-28.273657
2018-07-27 11:30:00,-14.673086,-29.503952
2018-07-27 12:00:00,-16.366024,-28.143635
2018-07-27 12:30:00,-18.058964,-26.203976
2018-07-27 13:00:00,-24.650272,-25.905148
2018-07-27 13:30:00,-23.832281,-24.621897
2018-07-27 14:00:00,-14.167013,-22.76276
2018-07-27 14:30:00,-21.019697,-21.851982
2018-07-27 15:00:00,-22.745687,-19.590645
2018-07-27 15:30:00,-14.631099,-18.676268
2018-07-27 16:00:00,-13.521618,-17.096424
2018-07-27 16:30:00,-14.239326,-14.32287
2018-07-27 17:00:00,-11.147906,-12.392003
2018-07-27 17:30:00,-4.386371,-8.413853
2018-07-27 18:00:00,-3.8519351,-4.891162
2018-07-27 18:30:00,-0.7601273,-1.5041345
2018-07-27 19:00:00,2.3316808,1.300529
2018-07-27 19:30:00,11.0862665,3.520085
2018-07-27 20:00:00,-27.292652,5.0446186
2018-07-27 20:30:00,-24.57848,5.545205
2018-07-27 21:00:00,-21.864311,5.88909
2018-07-27 21:30:00,-19.15014,6.0061183
2018-07-27 22:00:00,-16.435966,6.094187
2018-07-27 22:30:00,-13.721797,6.1252966
2018-07-27 23:00:00,-11.007625,6.371186
2018-07-27 23:30:00,-8.293455,6.7491865
2018-07-28 00:00:00,-5.579285,7.139893
2018-07-28 00:30:00,-2.8651147,7.3626246
2018-07-28 01:00:00,-0.1509448,7.4050336
2018-07-28 01:30:00,2.5632255,7.2361145
2018-07-28 02:00:00,5.2773995,6.932393
2018-07-28 02:30:00,7.9915695,6.579289
2018-07-28 03:00:00,7.1563435,6.23467
2018-07-28 03:30:00,6.3211217,5.9416094
2018-07-28 04:00:00,5.4859004,5.7092743
2018-07-28 04:30:00,4.6506743,5.0932145
2018-07-28 05:00:00,3.8154528,4.15932
2018-07-28 05:30:00,5.0560136,3.3095965
2018-07-28 06:00:00,7.026395,2.482506
2018-07-28 06:30:00,4.5030866,1.3839834
2018-07-28 07:00:00,-6.083057,0.26953015
2018-07-28 07:30:00,-4.4361296,-1.3497307
2018-07-28 08:00:00,-4.6948647,-3.508876
2018-07-28 08:30:00,-2.858766,-6.5140533
2018-07-28 09:00:00,-8.621086,-10.5043335
2018-07-28 09:30:00,-13.9625,-15.27441
2018-07-28 10:00:00,-25.69164,-20.280548
2018-07-28 10:30:00,-18.475042,-24.513716
2018-07-28 11:00:00,-17.14543,-27.186262
2018-07-28 11:30:00,-24.660486,-27.801332
2018-07-28 12:00:00,-25.684952,-26.72158
2018-07-28 12:30:00,-28.317654,-26.276556
2018-07-28 13:00:00,-27.179781,-28.95841
2018-07-28 13:30:00,-24.388834,-30.421011
2018-07-28 14:00:00,-22.956675,-29.231712
2018-07-28 14:30:00,-19.48677,-29.79305
2018-07-28 15:00:00,-14.403572,-29.976954
2018-07-28 15:30:00,-14.702431,-28.562279
2018-07-28 16:00:00,-19.622494,-27.30956
2018-07-28 16:30:00,-19.665897,-24.551758
2018-07-28 17:00:00,-12.633283,-21.422722
2018-07-28 17:30:00,-11.377035,-17.867765
2018-07-28 18:00:00,-6.676593,-15.295538
2018-07-28 18:30:00,-3.5327897,-12.936982
2018-07-28 19:00:00,0.9774467,-10.445277
2018-07-28 19:30:00,2.4138944,-7.086372
2018-07-28 20:00:00,17.955074,-5.968519
2018-07-28 20:30:00,15.900399,-3.9867032
2018-07-28 21:00:00,-22.039137,-1.5306302
2018-07-28 21:30:00,17.837612,0.97600037
2018-07-28 22:00:00,20.475708,3.047296
2018-07-28 22:30:00,6.0276814,4.4373674
2018-07-28 23:00:00,12.873031,5.140884
2018-07-28 23:30:00,19.718378,5.306718
2018-07-29 00:00:00,26.563726,5.0536366
2018-07-29 00:30:00,15.260902,4.5703354
2018-07-29 01:00:00,3.9580812,3.9853065
2018-07-29 01:30:00,2.3923185,3.3813498
2018-07-29 02:00:00,3.9359984,2.812942
2018-07-29 02:30:00,5.479678,2.4019356
2018-07-29 03:00:00,7.0233583,2.0792506
2018-07-29 03:30:00,14.019747,2.0309346
2018-07-29 04:00:00,9.38931,2.2348692
2018-07-29 04:30:00,-5.8243265,2.7427793
2018-07-29 05:00:00,4.330454,3.463808
2018-07-29 05:30:00,14.485239,4.5298576
2018-07-29 06:00:00,5.1508503,5.014173
2018-07-29 06:30:00,-4.183542,4.0612893
2018-07-29 07:00:00,-13.51793,1.4876766
2018-07-29 07:30:00,-6.413004,-0.5896312
2018-07-29 08:00:00,-5.727926,-2.943802
2018-07-29 08:30:00,-13.963234,-5.2954307
2018-07-29 09:00:00,-14.274739,-8.416146
2018-07-29 09:30:00,-17.51702,-11.684065
2018-07-29 10:00:00,-18.040487,-15.061538
2018-07-29 10:30:00,-19.667141,-15.404491
2018-07-29 11:00:00,-22.21754,-15.586516
2018-07-29 11:30:00,-21.040516,-17.826418
2018-07-29 12:00:00,-26.42999,-21.586494
2018-07-29 12:30:00,-20.427803,-25.886547
2018-07-29 13:00:00,-18.281633,-29.91206
2018-07-29 13:30:00,-15.957052,-31.335205
2018-07-29 14:00:00,-14.039068,-31.185593
2018-07-29 14:30:00,-19.526794,-29.676691
2018-07-29 15:00:00,-21.105865,-26.264597
2018-07-29 15:30:00,-16.608442,-23.738365
2018-07-29 16:00:00,-18.312607,-21.18702
2018-07-29 16:30:00,-11.887125,-18.66328
2018-07-29 17:00:00,-7.2395434,-14.555295
2018-07-29 17:30:00,-5.302059,-10.526258
2018-07-29 18:00:00,-9.119257,-6.3765635
2018-07-29 18:30:00,-3.3777566,-2.5878625
2018-07-29 19:00:00,1.9233962,0.4443388
2018-07-29 19:30:00,7.2245445,2.338213
2018-07-29 20:00:00,8.540316,3.687597
2018-07-29 20:30:00,13.223622,4.121534
2018-07-29 21:00:00,17.906923,3.4498262
2018-07-29 21:30:00,22.590223,4.0024433
2018-07-29 22:00:00,27.273525,4.05505
2018-07-29 22:30:00,15.010198,4.013183
2018-07-29 23:00:00,4.310023,4.5187335
2018-07-29 23:30:00,18.545725,5.0099173
2018-07-30 00:00:00,13.302598,5.591599
2018-07-30 00:30:00,8.059469,5.277819
2018-07-30 01:00:00,17.261284,4.475713
2018-07-30 01:30:00,5.078612,3.6961522
2018-07-30 02:00:00,6.6328263,3.2024777
2018-07-30 02:30:00,6.3705044,3.1912484
2018-07-30 03:00:00,6.1081862,3.5952728
2018-07-30 03:30:00,5.8458643,4.5353284
2018-07-30 04:00:00,11.182226,4.7245555
2018-07-30 04:30:00,15.435213,3.7776928
2018-07-30 05:00:00,5.798505,3.5414774
2018-07-30 05:30:00,14.166801,2.8632855
2018-07-30 06:00:00,22.535091,0.88391215
2018-07-30 06:30:00,30.903393,-1.6447619
2018-07-30 07:00:00,-10.068308,-5.0694046
2018-07-30 07:30:00,-8.541656,-8.56106
2018-07-30 08:00:00,-6.605093,-12.6519
2018-07-30 08:30:00,-14.874156,-18.44083
2018-07-30 09:00:00,-25.045712,-23.541788
2018-07-30 09:30:00,-23.805569,-27.503183
2018-07-30 10:00:00,-21.427992,-29.492987
2018-07-30 10:30:00,-22.410004,-30.050127
2018-07-30 11:00:00,-22.030146,-29.960804
2018-07-30 11:30:00,-23.283754,-29.30851
2018-07-30 12:00:00,-26.903828,-29.142088
2018-07-30 12:30:00,-21.077774,-28.625181
2018-07-30 13:00:00,-23.652575,-27.154177
2018-07-30 13:30:00,-20.546167,-24.634771
2018-07-30 14:00:00,-8.8564625,-22.32864
2018-07-30 14:30:00,-30.533598,-20.401258
2018-07-30 15:00:00,-23.422832,-18.549395
2018-07-30 15:30:00,-19.925797,-17.04521
2018-07-30 16:00:00,-21.415047,-15.478535
2018-07-30 16:30:00,-15.1754465,-12.926338
2018-07-30 17:00:00,36.191772,-9.415034
2018-07-30 17:30:00,-0.27224648,-5.724601
2018-07-30 18:00:00,-0.71048284,-2.8715682
2018-07-30 18:30:00,-3.0232806,-0.09662077
2018-07-30 19:00:00,1.5713015,2.1340597
2018-07-30 19:30:00,6.1658835,3.6411335
2018-07-30 20:00:00,9.739595,4.354009
2018-07-30 20:30:00,6.2009344,4.7030406
2018-07-30 21:00:00,6.7271867,4.8589826
2018-07-30 21:30:00,11.883471,4.976378
2018-07-30 22:00:00,17.25459,5.1981573
2018-07-30 22:30:00,22.625708,5.222285
2018-07-30 23:00:00,5.6632648,5.494818
2018-07-30 23:30:00,27.127573,6.380388
2018-07-31 00:00:00,8.04228,6.6157203
2018-07-31 00:30:00,5.302274,6.5798044
2018-07-31 01:00:00,2.5622685,6.672303
2018-07-31 01:30:00,17.940868,5.718738
2018-07-31 02:00:00,6.450542,5.2051306
2018-07-31 02:30:00,11.606559,4.7644825
2018-07-31 03:00:00,16.762571,4.691558
2018-07-31 03:30:00,30.142332,4.8153415
2018-07-31 04:00:00,25.945297,5.217225
2018-07-31 04:30:00,21.748264,5.3163567
2018-07-31 05:00:00,17.551233,4.181429
2018-07-31 05:30:00,13.354199,3.3710907
2018-07-31 06:00:00,6.421062,2.0880854
2018-07-31 06:30:00,6.8559074,0.5019879
2018-07-31 07:00:00,-6.534231,-3.6562803
