时间,真实值,预测值
2018-07-25 23:30:00,42.391376,6.05346
2018-07-26 00:00:00,7.7510285,4.934996
2018-07-26 00:30:00,7.4822836,5.0101576
2018-07-26 01:00:00,3.355278,5.0764227
2018-07-26 01:30:00,4.7732563,5.002214
2018-07-26 02:00:00,4.843734,4.0983195
2018-07-26 02:30:00,4.9142065,3.783928
2018-07-26 03:00:00,5.619554,3.1213827
2018-07-26 03:30:00,4.443017,4.7645173
2018-07-26 04:00:00,-2.9978292,5.9086385
2018-07-26 04:30:00,10.351522,5.726813
2018-07-26 05:00:00,8.137016,5.8609514
2018-07-26 05:30:00,17.288946,4.430783
2018-07-26 06:00:00,7.157698,1.4213238
2018-07-26 06:30:00,13.257681,0.47432995
2018-07-26 07:00:00,1.7393246,-2.3649256
2018-07-26 07:30:00,-9.779031,-4.700781
2018-07-26 08:00:00,-7.134819,-6.5234213
2018-07-26 08:30:00,-8.1670065,-9.974398
2018-07-26 09:00:00,-9.319551,-12.279501
2018-07-26 09:30:00,-12.254601,-12.199503
2018-07-26 10:00:00,-17.388987,-18.933857
2018-07-26 10:30:00,-24.315876,-20.411972
2018-07-26 11:00:00,-19.384172,-19.149422
2018-07-26 11:30:00,-31.685522,-19.7161
2018-07-26 12:00:00,-16.390364,-18.12948
2018-07-26 12:30:00,-15.588437,-20.060818
2018-07-26 13:00:00,-23.952736,-18.899754
2018-07-26 13:30:00,-18.220188,-17.5677
2018-07-26 14:00:00,-17.177326,-14.631688
2018-07-26 14:30:00,-24.131285,-13.199132
2018-07-26 15:00:00,-17.948454,-14.391417
2018-07-26 15:30:00,-22.859354,-17.697584
2018-07-26 16:00:00,-19.44365,-14.380126
2018-07-26 16:30:00,-12.525674,-12.352211
2018-07-26 17:00:00,-17.620943,-8.838378
2018-07-26 17:30:00,-4.0231433,-6.5061536
2018-07-26 18:00:00,-1.9767619,-3.33114
2018-07-26 18:30:00,2.1956367,0.7262881
2018-07-26 19:00:00,6.368031,3.2891304
2018-07-26 19:30:00,16.040987,5.7750545
2018-07-26 20:00:00,25.713942,5.619235
2018-07-26 20:30:00,15.029607,5.7932615
2018-07-26 21:00:00,17.568579,5.2445116
2018-07-26 21:30:00,17.224018,5.84021
2018-07-26 22:00:00,16.879456,6.224114
2018-07-26 22:30:00,16.534893,5.2639112
2018-07-26 23:00:00,16.190336,5.4664783
2018-07-26 23:30:00,15.845774,5.500874
2018-07-27 00:00:00,15.501212,5.5826507
2018-07-27 00:30:00,15.15665,6.128648
2018-07-27 01:00:00,14.812088,5.3676047
2018-07-27 01:30:00,14.4675255,6.4822197
2018-07-27 02:00:00,14.122968,6.6298246
2018-07-27 02:30:00,13.778406,4.682933
2018-07-27 03:00:00,13.433845,6.363937
2018-07-27 03:30:00,13.089282,4.5227795
2018-07-27 04:00:00,12.74472,3.8248556
2018-07-27 04:30:00,12.400158,5.518417
2018-07-27 05:00:00,12.0556,5.0349274
2018-07-27 05:30:00,11.711039,5.0291553
2018-07-27 06:00:00,11.366477,3.414216
2018-07-27 06:30:00,2.2563095,2.1010668
2018-07-27 07:00:00,0.56336844,0.08856508
2018-07-27 07:30:00,-1.1295683,-6.2182665
2018-07-27 08:00:00,-2.8225093,-7.9290824
2018-07-27 08:30:00,-4.5154505,-11.361048
2018-07-27 09:00:00,-6.2083874,-12.7630825
2018-07-27 09:30:00,-7.9013286,-15.131467
2018-07-27 10:00:00,-9.594269,-16.399002
2018-07-27 10:30:00,-11.287206,-23.554712
2018-07-27 11:00:00,-12.980146,-22.159739
2018-07-27 11:30:00,-14.673086,-22.917536
2018-07-27 12:00:00,-16.366024,-19.607204
2018-07-27 12:30:00,-18.058964,-18.039564
2018-07-27 13:00:00,-24.650272,-20.789429
2018-07-27 13:30:00,-23.832281,-20.867245
2018-07-27 14:00:00,-14.167013,-17.645775
2018-07-27 14:30:00,-21.019697,-20.037317
2018-07-27 15:00:00,-22.745687,-16.785513
2018-07-27 15:30:00,-14.631099,-18.138
2018-07-27 16:00:00,-13.521618,-14.753886
2018-07-27 16:30:00,-14.239326,-11.58419
2018-07-27 17:00:00,-11.147906,-10.824462
2018-07-27 17:30:00,-4.386371,-7.0352373
2018-07-27 18:00:00,-3.8519351,-2.5005062
2018-07-27 18:30:00,-0.7601273,0.70119494
2018-07-27 19:00:00,2.3316808,4.0059385
2018-07-27 19:30:00,11.0862665,4.8845825
2018-07-27 20:00:00,-27.292652,4.743728
2018-07-27 20:30:00,-24.57848,5.528379
2018-07-27 21:00:00,-21.864311,5.016493
2018-07-27 21:30:00,-19.15014,6.8517084
2018-07-27 22:00:00,-16.435966,6.608891
2018-07-27 22:30:00,-13.721797,7.14303
2018-07-27 23:00:00,-11.007625,6.7770147
2018-07-27 23:30:00,-8.293455,6.6422815
2018-07-28 00:00:00,-5.579285,7.1706314
2018-07-28 00:30:00,-2.8651147,7.1488194
2018-07-28 01:00:00,-0.1509448,6.15548
2018-07-28 01:30:00,2.5632255,6.828516
2018-07-28 02:00:00,5.2773995,7.124334
2018-07-28 02:30:00,7.9915695,7.110771
2018-07-28 03:00:00,7.1563435,7.6065345
2018-07-28 03:30:00,6.3211217,7.214897
2018-07-28 04:00:00,5.4859004,5.743346
2018-07-28 04:30:00,4.6506743,5.7203155
2018-07-28 05:00:00,3.8154528,5.4588714
2018-07-28 05:30:00,5.0560136,4.287525
2018-07-28 06:00:00,7.026395,4.313444
2018-07-28 06:30:00,4.5030866,1.7628578
2018-07-28 07:00:00,-6.083057,-0.016972017
2018-07-28 07:30:00,-4.4361296,-4.7821336
2018-07-28 08:00:00,-4.6948647,-4.7335553
2018-07-28 08:30:00,-2.858766,-4.6215997
2018-07-28 09:00:00,-8.621086,-8.951727
2018-07-28 09:30:00,-13.9625,-9.968333
2018-07-28 10:00:00,-25.69164,-13.762466
2018-07-28 10:30:00,-18.475042,-13.449983
2018-07-28 11:00:00,-17.14543,-16.3549
2018-07-28 11:30:00,-24.660486,-14.446775
2018-07-28 12:00:00,-25.684952,-19.643978
2018-07-28 12:30:00,-28.317654,-19.806374
2018-07-28 13:00:00,-27.179781,-18.47183
2018-07-28 13:30:00,-24.388834,-21.232712
2018-07-28 14:00:00,-22.956675,-14.480226
2018-07-28 14:30:00,-19.48677,-18.697878
2018-07-28 15:00:00,-14.403572,-20.400116
2018-07-28 15:30:00,-14.702431,-15.855675
2018-07-28 16:00:00,-19.622494,-11.325683
2018-07-28 16:30:00,-19.665897,-9.567669
2018-07-28 17:00:00,-12.633283,-7.7121754
2018-07-28 17:30:00,-11.377035,-4.3155093
2018-07-28 18:00:00,-6.676593,-1.1954318
2018-07-28 18:30:00,-3.5327897,1.39381
2018-07-28 19:00:00,0.9774467,1.0692247
2018-07-28 19:30:00,2.4138944,1.5035766
2018-07-28 20:00:00,17.955074,2.4776168
2018-07-28 20:30:00,15.900399,-4.667932
2018-07-28 21:00:00,-22.039137,-1.6232079
2018-07-28 21:30:00,17.837612,0.5088434
2018-07-28 22:00:00,20.475708,0.7415852
2018-07-28 22:30:00,6.0276814,-0.1260876
2018-07-28 23:00:00,12.873031,2.6295607
2018-07-28 23:30:00,19.718378,3.0381162
2018-07-29 00:00:00,26.563726,2.7999477
2018-07-29 00:30:00,15.260902,3.6667945
2018-07-29 01:00:00,3.9580812,4.3673882
2018-07-29 01:30:00,2.3923185,4.86063
2018-07-29 02:00:00,3.9359984,6.024046
2018-07-29 02:30:00,5.479678,5.856626
2018-07-29 03:00:00,7.0233583,5.4634857
2018-07-29 03:30:00,14.019747,4.8963184
2018-07-29 04:00:00,9.38931,6.024046
2018-07-29 04:30:00,-5.8243265,5.7742376
2018-07-29 05:00:00,4.330454,5.922441
2018-07-29 05:30:00,14.485239,5.5791116
2018-07-29 06:00:00,5.1508503,4.632633
2018-07-29 06:30:00,-4.183542,3.30687
2018-07-29 07:00:00,-13.51793,-1.85865
2018-07-29 07:30:00,-6.413004,-3.1287477
2018-07-29 08:00:00,-5.727926,-4.844257
2018-07-29 08:30:00,-13.963234,-5.4656777
2018-07-29 09:00:00,-14.274739,-7.3990507
2018-07-29 09:30:00,-17.51702,-10.072861
2018-07-29 10:00:00,-18.040487,-16.558298
2018-07-29 10:30:00,-19.667141,-16.200094
2018-07-29 11:00:00,-22.21754,-16.43278
2018-07-29 11:30:00,-21.040516,-15.540031
2018-07-29 12:00:00,-26.42999,-17.85233
2018-07-29 12:30:00,-20.427803,-20.065691
2018-07-29 13:00:00,-18.281633,-19.299337
2018-07-29 13:30:00,-15.957052,-20.691795
2018-07-29 14:00:00,-14.039068,-19.346272
2018-07-29 14:30:00,-19.526794,-16.848927
2018-07-29 15:00:00,-21.105865,-15.93148
2018-07-29 15:30:00,-16.608442,-11.497096
2018-07-29 16:00:00,-18.312607,-12.006229
2018-07-29 16:30:00,-11.887125,-13.98375
2018-07-29 17:00:00,-7.2395434,-10.371706
2018-07-29 17:30:00,-5.302059,-6.909304
2018-07-29 18:00:00,-9.119257,-3.1736777
2018-07-29 18:30:00,-3.3777566,0.32530916
2018-07-29 19:00:00,1.9233962,1.5976835
2018-07-29 19:30:00,7.2245445,3.879101
2018-07-29 20:00:00,8.540316,2.708598
2018-07-29 20:30:00,13.223622,3.2718496
2018-07-29 21:00:00,17.906923,-0.92497385
2018-07-29 21:30:00,22.590223,1.0019543
2018-07-29 22:00:00,27.273525,3.9699135
2018-07-29 22:30:00,15.010198,5.433966
2018-07-29 23:00:00,4.310023,4.8251815
2018-07-29 23:30:00,18.545725,3.9812999
2018-07-30 00:00:00,13.302598,4.2437487
2018-07-30 00:30:00,8.059469,3.8534267
2018-07-30 01:00:00,17.261284,4.4772463
2018-07-30 01:30:00,5.078612,5.1522617
2018-07-30 02:00:00,6.6328263,5.728862
