时间,真实值,预测值
2018-07-25 23:30:00,42.391376,5.84042
2018-07-26 00:00:00,7.7510285,5.743866
2018-07-26 00:30:00,7.4822836,5.037291
2018-07-26 01:00:00,3.355278,6.315363
2018-07-26 01:30:00,4.7732563,6.994359
2018-07-26 02:00:00,4.843734,6.1704845
2018-07-26 02:30:00,4.9142065,6.395239
2018-07-26 03:00:00,5.619554,7.85037
2018-07-26 03:30:00,4.443017,6.649884
2018-07-26 04:00:00,-2.9978292,6.2232094
2018-07-26 04:30:00,10.351522,6.308464
2018-07-26 05:00:00,8.137016,6.5158505
2018-07-26 05:30:00,17.288946,6.3932424
2018-07-26 06:00:00,7.157698,0.5687296
2018-07-26 06:30:00,13.257681,2.3533003
2018-07-26 07:00:00,1.7393246,1.3641073
2018-07-26 07:30:00,-9.779031,-2.1804783
2018-07-26 08:00:00,-7.134819,-3.771867
2018-07-26 08:30:00,-8.1670065,-6.0354967
2018-07-26 09:00:00,-9.319551,-6.963685
2018-07-26 09:30:00,-12.254601,-10.678639
2018-07-26 10:00:00,-17.388987,-13.457792
2018-07-26 10:30:00,-24.315876,-13.666018
2018-07-26 11:00:00,-19.384172,-14.989461
2018-07-26 11:30:00,-31.685522,-15.538652
2018-07-26 12:00:00,-16.390364,-15.722106
2018-07-26 12:30:00,-15.588437,-15.382313
2018-07-26 13:00:00,-23.952736,-15.618417
2018-07-26 13:30:00,-18.220188,-15.468813
2018-07-26 14:00:00,-17.177326,-15.145596
2018-07-26 14:30:00,-24.131285,-14.960052
2018-07-26 15:00:00,-17.948454,-14.453753
2018-07-26 15:30:00,-22.859354,-14.380077
2018-07-26 16:00:00,-19.44365,-11.90632
2018-07-26 16:30:00,-12.525674,-10.6535635
2018-07-26 17:00:00,-17.620943,-7.5277324
2018-07-26 17:30:00,-4.0231433,-5.4880967
2018-07-26 18:00:00,-1.9767619,-2.7264493
2018-07-26 18:30:00,2.1956367,-0.89470303
2018-07-26 19:00:00,6.368031,-0.1056085
2018-07-26 19:30:00,16.040987,2.290788
2018-07-26 20:00:00,25.713942,4.329869
2018-07-26 20:30:00,15.029607,4.413712
2018-07-26 21:00:00,17.568579,6.2884874
