时间,真实值,预测值
2018-07-25 23:30:00,42.391376,7.199063
2018-07-26 00:00:00,7.7510285,7.0596323
2018-07-26 00:30:00,7.4822836,6.9531517
2018-07-26 01:00:00,3.355278,7.026233
2018-07-26 01:30:00,4.7732563,6.9287796
2018-07-26 02:00:00,4.843734,6.6787395
2018-07-26 02:30:00,4.9142065,6.907951
2018-07-26 03:00:00,5.619554,6.9204645
2018-07-26 03:30:00,4.443017,6.0974727
2018-07-26 04:00:00,-2.9978292,6.3416796
2018-07-26 04:30:00,10.351522,6.514771
2018-07-26 05:00:00,8.137016,6.3137507
2018-07-26 05:30:00,17.288946,6.280041
2018-07-26 06:00:00,7.157698,-0.67283654
2018-07-26 06:30:00,13.257681,4.8622246
2018-07-26 07:00:00,1.7393246,0.34859776
2018-07-26 07:30:00,-9.779031,-7.0490446
2018-07-26 08:00:00,-7.134819,-9.899166
2018-07-26 08:30:00,-8.1670065,-13.999132
2018-07-26 09:00:00,-9.319551,-13.355108
2018-07-26 09:30:00,-12.254601,-20.177176
2018-07-26 10:00:00,-17.388987,-19.743908
2018-07-26 10:30:00,-24.315876,-20.948076
2018-07-26 11:00:00,-19.384172,-19.054722
2018-07-26 11:30:00,-31.685522,-21.557257
2018-07-26 12:00:00,-16.390364,-18.014053
2018-07-26 12:30:00,-15.588437,-21.176327
2018-07-26 13:00:00,-23.952736,-20.291609
2018-07-26 13:30:00,-18.220188,-17.715134
2018-07-26 14:00:00,-17.177326,-20.417171
2018-07-26 14:30:00,-24.131285,-13.978594
2018-07-26 15:00:00,-17.948454,-18.049229
2018-07-26 15:30:00,-22.859354,-21.488329
2018-07-26 16:00:00,-19.44365,-11.202292
2018-07-26 16:30:00,-12.525674,-6.982045
2018-07-26 17:00:00,-17.620943,-8.673134
2018-07-26 17:30:00,-4.0231433,-6.1099157
2018-07-26 18:00:00,-1.9767619,-2.7966778
2018-07-26 18:30:00,2.1956367,-0.20834921
2018-07-26 19:00:00,6.368031,2.906577
2018-07-26 19:30:00,16.040987,4.3682227
2018-07-26 20:00:00,25.713942,4.816303
2018-07-26 20:30:00,15.029607,5.131586
2018-07-26 21:00:00,17.568579,5.7865067
2018-07-26 21:30:00,17.224018,5.963391
2018-07-26 22:00:00,16.879456,6.2717485
2018-07-26 22:30:00,16.534893,6.727724
2018-07-26 23:00:00,16.190336,6.7504187
2018-07-26 23:30:00,15.845774,7.0203214
2018-07-27 00:00:00,15.501212,6.592895
2018-07-27 00:30:00,15.15665,6.635081
2018-07-27 01:00:00,14.812088,6.4084125
2018-07-27 01:30:00,14.4675255,6.321952
2018-07-27 02:00:00,14.122968,6.3211217
2018-07-27 02:30:00,13.778406,6.2995286
2018-07-27 03:00:00,13.433845,6.252864
2018-07-27 03:30:00,13.089282,6.1680813
2018-07-27 04:00:00,12.74472,5.350442
2018-07-27 04:30:00,12.400158,6.294281
2018-07-27 05:00:00,12.0556,6.2388997
2018-07-27 05:30:00,11.711039,6.2986197
