时间,真实值,预测值
2018-07-25 23:30:00,42.391376,6.8994436
2018-07-26 00:00:00,7.7510285,7.1912675
2018-07-26 00:30:00,7.4822836,6.8693957
2018-07-26 01:00:00,3.355278,6.796419
2018-07-26 01:30:00,4.7732563,7.444331
2018-07-26 02:00:00,4.843734,7.015891
2018-07-26 02:30:00,4.9142065,7.232632
2018-07-26 03:00:00,5.619554,7.6292944
2018-07-26 03:30:00,4.443017,7.6027985
2018-07-26 04:00:00,-2.9978292,7.2783227
2018-07-26 04:30:00,10.351522,6.836783
2018-07-26 05:00:00,8.137016,6.6181674
2018-07-26 05:30:00,17.288946,7.0790977
2018-07-26 06:00:00,7.157698,6.625285
2018-07-26 06:30:00,13.257681,5.931599
2018-07-26 07:00:00,1.7393246,3.7891843
2018-07-26 07:30:00,-9.779031,-2.411092
2018-07-26 08:00:00,-7.134819,-3.521888
2018-07-26 08:30:00,-8.1670065,-6.6842175
2018-07-26 09:00:00,-9.319551,-7.281371
2018-07-26 09:30:00,-12.254601,-11.461354
2018-07-26 10:00:00,-17.388987,-13.988229
2018-07-26 10:30:00,-24.315876,-18.99549
2018-07-26 11:00:00,-19.384172,-18.094591
2018-07-26 11:30:00,-31.685522,-21.796461
2018-07-26 12:00:00,-16.390364,-19.325014
2018-07-26 12:30:00,-15.588437,-18.463835
2018-07-26 13:00:00,-23.952736,-23.649796
2018-07-26 13:30:00,-18.220188,-21.06978
2018-07-26 14:00:00,-17.177326,-20.97676
2018-07-26 14:30:00,-24.131285,-21.650387
2018-07-26 15:00:00,-17.948454,-20.689121
2018-07-26 15:30:00,-22.859354,-22.986712
2018-07-26 16:00:00,-19.44365,-21.127728
2018-07-26 16:30:00,-12.525674,-17.009245
2018-07-26 17:00:00,-17.620943,-17.966633
2018-07-26 17:30:00,-4.0231433,-12.640055
2018-07-26 18:00:00,-1.9767619,-9.849579
2018-07-26 18:30:00,2.1956367,-3.4518912
2018-07-26 19:00:00,6.368031,-0.3473293
2018-07-26 19:30:00,16.040987,1.6570542
2018-07-26 20:00:00,25.713942,3.5387204
2018-07-26 20:30:00,15.029607,5.0226846
2018-07-26 21:00:00,17.568579,6.713467
2018-07-26 21:30:00,17.224018,8.446632
2018-07-26 22:00:00,16.879456,10.711927
2018-07-26 22:30:00,16.534893,8.733576
2018-07-26 23:00:00,16.190336,10.579449
2018-07-26 23:30:00,15.845774,11.257186
2018-07-27 00:00:00,15.501212,10.2595215
2018-07-27 00:30:00,15.15665,7.561303
2018-07-27 01:00:00,14.812088,6.1733375
2018-07-27 01:30:00,14.4675255,6.3523407
2018-07-27 02:00:00,14.122968,4.971292
2018-07-27 02:30:00,13.778406,3.2030544
2018-07-27 03:00:00,13.433845,4.962138
2018-07-27 03:30:00,13.089282,6.4291143
2018-07-27 04:00:00,12.74472,7.5096354
2018-07-27 04:30:00,12.400158,-5.3628583
