时间,真实值,预测值
2018-07-25 23:30:00,42.391376,7.752833
2018-07-26 00:00:00,7.7510285,7.075843
2018-07-26 00:30:00,7.4822836,6.6047797
2018-07-26 01:00:00,3.355278,6.9378195
2018-07-26 01:30:00,4.7732563,7.5502005
2018-07-26 02:00:00,4.843734,6.75512
2018-07-26 02:30:00,4.9142065,7.015559
2018-07-26 03:00:00,5.619554,7.634092
2018-07-26 03:30:00,4.443017,7.727661
2018-07-26 04:00:00,-2.9978292,7.137468
2018-07-26 04:30:00,10.351522,6.8972154
2018-07-26 05:00:00,8.137016,6.3554826
2018-07-26 05:30:00,17.288946,5.427539
2018-07-26 06:00:00,7.157698,0.65749717
2018-07-26 06:30:00,13.257681,1.3483164
2018-07-26 07:00:00,1.7393246,-0.9114114
2018-07-26 07:30:00,-9.779031,-4.008716
2018-07-26 08:00:00,-7.134819,-6.5129657
2018-07-26 08:30:00,-8.1670065,-10.140725
2018-07-26 09:00:00,-9.319551,-12.410214
2018-07-26 09:30:00,-12.254601,-16.792236
2018-07-26 10:00:00,-17.388987,-17.285017
2018-07-26 10:30:00,-24.315876,-19.87074
2018-07-26 11:00:00,-19.384172,-21.060566
2018-07-26 11:30:00,-31.685522,-22.942417
2018-07-26 12:00:00,-16.390364,-20.813105
2018-07-26 12:30:00,-15.588437,-23.578896
2018-07-26 13:00:00,-23.952736,-23.484438
2018-07-26 13:30:00,-18.220188,-21.868824
2018-07-26 14:00:00,-17.177326,-21.993416
2018-07-26 14:30:00,-24.131285,-19.395758
2018-07-26 15:00:00,-17.948454,-19.805868
2018-07-26 15:30:00,-22.859354,-17.862026
2018-07-26 16:00:00,-19.44365,-14.890106
2018-07-26 16:30:00,-12.525674,-11.747656
2018-07-26 17:00:00,-17.620943,-8.909157
2018-07-26 17:30:00,-4.0231433,-4.793328
2018-07-26 18:00:00,-1.9767619,-2.637389
2018-07-26 18:30:00,2.1956367,-0.31794983
2018-07-26 19:00:00,6.368031,1.7102466
2018-07-26 19:30:00,16.040987,3.6088178
2018-07-26 20:00:00,25.713942,4.092137
2018-07-26 20:30:00,15.029607,4.375965
2018-07-26 21:00:00,17.568579,5.5315247
2018-07-26 21:30:00,17.224018,5.392204
2018-07-26 22:00:00,16.879456,6.5789
2018-07-26 22:30:00,16.534893,7.4334474
2018-07-26 23:00:00,16.190336,8.081018
2018-07-26 23:30:00,15.845774,9.56643
2018-07-27 00:00:00,15.501212,8.257523
2018-07-27 00:30:00,15.15665,8.106091
2018-07-27 01:00:00,14.812088,8.287947
2018-07-27 01:30:00,14.4675255,7.237146
2018-07-27 02:00:00,14.122968,8.43819
2018-07-27 02:30:00,13.778406,7.2889795
2018-07-27 03:00:00,13.433845,8.51659
2018-07-27 03:30:00,13.089282,6.915479
2018-07-27 04:00:00,12.74472,6.9106817
2018-07-27 04:30:00,12.400158,8.1381
2018-07-27 05:00:00,12.0556,5.933487
2018-07-27 05:30:00,11.711039,4.8006783
2018-07-27 06:00:00,11.366477,3.3264403
2018-07-27 06:30:00,2.2563095,1.8403394
2018-07-27 07:00:00,0.56336844,-0.8513592
2018-07-27 07:30:00,-1.1295683,-4.0495605
2018-07-27 08:00:00,-2.8225093,-5.2276664
2018-07-27 08:30:00,-4.5154505,-7.1264124
2018-07-27 09:00:00,-6.2083874,-9.723051
2018-07-27 09:30:00,-7.9013286,-11.908081
2018-07-27 10:00:00,-9.594269,-14.249474
2018-07-27 10:30:00,-11.287206,-19.874483
2018-07-27 11:00:00,-12.980146,-21.28341
2018-07-27 11:30:00,-14.673086,-26.28787
2018-07-27 12:00:00,-16.366024,-23.99929
2018-07-27 12:30:00,-18.058964,-25.12739
2018-07-27 13:00:00,-24.650272,-27.096434
2018-07-27 13:30:00,-23.832281,-25.577063
2018-07-27 14:00:00,-14.167013,-24.134539
2018-07-27 14:30:00,-21.019697,-24.315529
2018-07-27 15:00:00,-22.745687,-21.853962
2018-07-27 15:30:00,-14.631099,-19.889277
2018-07-27 16:00:00,-13.521618,-16.56905
2018-07-27 16:30:00,-14.239326,-13.334658
2018-07-27 17:00:00,-11.147906,-10.978774
2018-07-27 17:30:00,-4.386371,-6.6681294
2018-07-27 18:00:00,-3.8519351,-5.1906104
