时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,4.517896
2017-04-28 19:30:00,3.883183,5.255955
2017-04-28 20:00:00,3.1135032,5.6218476
2017-04-28 20:30:00,4.2741365,3.93277
2017-04-28 21:00:00,4.9026327,1.8761572
2017-04-28 21:30:00,5.051767,0.9979813
2017-04-28 22:00:00,5.8418956,-1.1168662
2017-04-28 22:30:00,5.061944,-2.7924995
2017-04-28 23:00:00,5.4606485,-4.0700884
2017-04-28 23:30:00,3.9218051,-2.3290534
2017-04-29 00:00:00,3.5646358,-3.71793
2017-04-29 00:30:00,2.9955382,-5.584824
2017-04-29 01:00:00,2.980568,-5.9686294
2017-04-29 01:30:00,4.8063188,-6.169046
2017-04-29 02:00:00,4.851331,-5.368435
2017-04-29 02:30:00,4.3052826,-4.0656385
2017-04-29 03:00:00,3.1283154,-2.2708302
2017-04-29 03:30:00,2.5324876,0.89498657
2017-04-29 04:00:00,8.713393,6.7303653
2017-04-29 04:30:00,2.7933695,16.533518
2017-04-29 05:00:00,8.1307125,22.16033
2017-04-29 05:30:00,5.280869,28.303156
2017-04-29 06:00:00,4.4633207,33.624313
2017-04-29 06:30:00,3.363409,34.28376
2017-04-29 07:00:00,-2.8686924,31.41456
2017-04-29 07:30:00,-8.9101095,22.664595
2017-04-29 08:00:00,-11.509184,9.4787245
2017-04-29 08:30:00,-7.713828,-4.289413
2017-04-29 09:00:00,-20.0258,-17.816593
2017-04-29 09:30:00,-15.869132,-28.247705
2017-04-29 10:00:00,-14.503749,-31.751398
2017-04-29 10:30:00,-18.653013,-30.498579
2017-04-29 11:00:00,-26.628038,-29.775759
2017-04-29 11:30:00,-25.448153,-28.753744
2017-04-29 12:00:00,-24.268265,-26.362787
2017-04-29 12:30:00,-23.088379,-20.355474
2017-04-29 13:00:00,-21.908491,-20.596098
2017-04-29 13:30:00,-20.728605,-20.385489
2017-04-29 14:00:00,-19.54872,-20.682558
2017-04-29 14:30:00,-18.368832,-19.94057
2017-04-29 15:00:00,-17.188948,-18.728045
2017-04-29 15:30:00,-16.00906,-17.423729
2017-04-29 16:00:00,-14.829176,-13.195681
2017-04-29 16:30:00,-13.649288,-8.240678
2017-04-29 17:00:00,-12.4694,-5.0892406
2017-04-29 17:30:00,-11.289516,-3.1418958
2017-04-29 18:00:00,-10.109629,-0.7385054
2017-04-29 18:30:00,-8.929745,1.3338879
2017-04-29 19:00:00,-7.7498574,3.852308
2017-04-29 19:30:00,-6.5699697,8.587211
2017-04-29 20:00:00,-5.3900857,12.81255
2017-04-29 20:30:00,-4.210198,17.517406
2017-04-29 21:00:00,-3.0303137,18.544971
2017-04-29 21:30:00,-1.8504258,16.907997
2017-04-29 22:00:00,-0.67053807,14.045509
2017-04-29 22:30:00,0.50934595,11.315354
2017-04-29 23:00:00,1.6892338,9.573946
2017-04-29 23:30:00,2.8691177,8.547363
2017-04-30 00:00:00,4.0490055,8.527567
2017-04-30 00:30:00,4.402034,7.5852137
2017-04-30 01:00:00,3.1360586,6.393852
2017-04-30 01:30:00,3.6348224,5.266302
2017-04-30 02:00:00,2.5813513,3.8675082
2017-04-30 02:30:00,3.3770566,4.464662
2017-04-30 03:00:00,3.319881,4.390937
2017-04-30 03:30:00,3.546647,4.8210287
2017-04-30 04:00:00,3.0768971,5.2407284
2017-04-30 04:30:00,1.681385,5.232028
2017-04-30 05:00:00,1.5997813,5.001155
2017-04-30 05:30:00,1.5181812,4.2554245
2017-04-30 06:00:00,2.3045082,1.7806118
2017-04-30 06:30:00,1.5486305,-1.5604438
2017-04-30 07:00:00,-4.5931444,-7.3939238
2017-04-30 07:30:00,-5.6566725,-14.224276
2017-04-30 08:00:00,-12.827279,-17.706638
2017-04-30 08:30:00,-21.595823,-16.607338
2017-04-30 09:00:00,-15.995048,-19.053461
2017-04-30 09:30:00,-17.463516,-19.914526
2017-04-30 10:00:00,-18.164124,-22.147215
2017-04-30 10:30:00,-28.081053,-24.524387
2017-04-30 11:00:00,-22.780973,-26.88586
2017-04-30 11:30:00,-24.080145,-30.69048
