时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,-7.1413546
2017-04-28 19:30:00,3.883183,-5.5652604
2017-04-28 20:00:00,3.1135032,-4.1744285
2017-04-28 20:30:00,4.2741365,-2.9144852
2017-04-28 21:00:00,4.9026327,-1.8162689
2017-04-28 21:30:00,5.051767,-0.828233
2017-04-28 22:00:00,5.8418956,-0.07688835
2017-04-28 22:30:00,5.061944,0.40237218
2017-04-28 23:00:00,5.4606485,0.5644569
2017-04-28 23:30:00,3.9218051,0.36147043
2017-04-29 00:00:00,3.5646358,0.42854476
2017-04-29 00:30:00,2.9955382,0.5854786
2017-04-29 01:00:00,2.980568,0.69404995
2017-04-29 01:30:00,4.8063188,0.7092916
2017-04-29 02:00:00,4.851331,0.6499492
2017-04-29 02:30:00,4.3052826,0.6083353
2017-04-29 03:00:00,3.1283154,0.69135207
2017-04-29 03:30:00,2.5324876,0.9330434
2017-04-29 04:00:00,8.713393,1.2976736
2017-04-29 04:30:00,2.7933695,1.5784166
2017-04-29 05:00:00,8.1307125,1.7567037
2017-04-29 05:30:00,5.280869,1.9237434
2017-04-29 06:00:00,4.4633207,1.8872275
2017-04-29 06:30:00,3.363409,1.284998
2017-04-29 07:00:00,-2.8686924,-0.052750494
2017-04-29 07:30:00,-8.9101095,-1.6867172
2017-04-29 08:00:00,-11.509184,-2.9856553
2017-04-29 08:30:00,-7.713828,-3.9020953
2017-04-29 09:00:00,-20.0258,-5.193328
2017-04-29 09:30:00,-15.869132,-6.780707
2017-04-29 10:00:00,-14.503749,-8.312681
2017-04-29 10:30:00,-18.653013,-9.959832
2017-04-29 11:00:00,-26.628038,-11.261788
2017-04-29 11:30:00,-25.448153,-11.710218
2017-04-29 12:00:00,-24.268265,-12.074612
2017-04-29 12:30:00,-23.088379,-12.0255785
2017-04-29 13:00:00,-21.908491,-11.682954
2017-04-29 13:30:00,-20.728605,-11.332205
2017-04-29 14:00:00,-19.54872,-10.160429
2017-04-29 14:30:00,-18.368832,-8.276217
2017-04-29 15:00:00,-17.188948,-6.039253
2017-04-29 15:30:00,-16.00906,-3.7632704
2017-04-29 16:00:00,-14.829176,-1.863727
2017-04-29 16:30:00,-13.649288,-0.5407415
2017-04-29 17:00:00,-12.4694,0.2939289
2017-04-29 17:30:00,-11.289516,0.9190114
2017-04-29 18:00:00,-10.109629,1.5950222
2017-04-29 18:30:00,-8.929745,2.379872
2017-04-29 19:00:00,-7.7498574,3.107757
2017-04-29 19:30:00,-6.5699697,3.6818056
2017-04-29 20:00:00,-5.3900857,4.100567
2017-04-29 20:30:00,-4.210198,4.5091734
2017-04-29 21:00:00,-3.0303137,5.0312047
2017-04-29 21:30:00,-1.8504258,5.6135125
2017-04-29 22:00:00,-0.67053807,6.175673
2017-04-29 22:30:00,0.50934595,6.6841846
2017-04-29 23:00:00,1.6892338,7.045145
2017-04-29 23:30:00,2.8691177,7.2404933
2017-04-30 00:00:00,4.0490055,7.4717927
2017-04-30 00:30:00,4.402034,7.943145
2017-04-30 01:00:00,3.1360586,8.210685
2017-04-30 01:30:00,3.6348224,8.116552
2017-04-30 02:00:00,2.5813513,7.850564
2017-04-30 02:30:00,3.3770566,7.3885236
2017-04-30 03:00:00,3.319881,7.204019
2017-04-30 03:30:00,3.546647,6.9326625
2017-04-30 04:00:00,3.0768971,6.516644
2017-04-30 04:30:00,1.681385,5.929656
2017-04-30 05:00:00,1.5997813,5.340464
2017-04-30 05:30:00,1.5181812,4.287117
2017-04-30 06:00:00,2.3045082,2.9505408
2017-04-30 06:30:00,1.5486305,1.1836349
2017-04-30 07:00:00,-4.5931444,-0.81900513
2017-04-30 07:30:00,-5.6566725,-3.850304
2017-04-30 08:00:00,-12.827279,-8.715579
2017-04-30 08:30:00,-21.595823,-15.526431
2017-04-30 09:00:00,-15.995048,-21.49979
2017-04-30 09:30:00,-17.463516,-23.586914
2017-04-30 10:00:00,-18.164124,-23.687487
2017-04-30 10:30:00,-28.081053,-22.582222
2017-04-30 11:00:00,-22.780973,-21.089125
2017-04-30 11:30:00,-24.080145,-19.539421
2017-04-30 12:00:00,-24.742592,-18.238422
