时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,-4.2331076
2017-04-28 19:30:00,3.883183,-3.3757873
2017-04-28 20:00:00,3.1135032,-1.6254117
2017-04-28 20:30:00,4.2741365,-0.57803345
2017-04-28 21:00:00,4.9026327,0.57071555
2017-04-28 21:30:00,5.051767,1.4099791
2017-04-28 22:00:00,5.8418956,2.0067601
2017-04-28 22:30:00,5.061944,2.2176895
2017-04-28 23:00:00,5.4606485,2.0294774
2017-04-28 23:30:00,3.9218051,1.8864739
2017-04-29 00:00:00,3.5646358,1.4012977
2017-04-29 00:30:00,2.9955382,1.4044665
2017-04-29 01:00:00,2.980568,1.1656125
2017-04-29 01:30:00,4.8063188,0.83087766
2017-04-29 02:00:00,4.851331,1.061201
2017-04-29 02:30:00,4.3052826,2.180096
2017-04-29 03:00:00,3.1283154,2.630893
2017-04-29 03:30:00,2.5324876,3.262905
2017-04-29 04:00:00,8.713393,3.3771207
2017-04-29 04:30:00,2.7933695,2.4998643
2017-04-29 05:00:00,8.1307125,2.4188483
2017-04-29 05:30:00,5.280869,1.9397423
2017-04-29 06:00:00,4.4633207,1.363625
2017-04-29 06:30:00,3.363409,0.8012988
2017-04-29 07:00:00,-2.8686924,-0.18253955
2017-04-29 07:30:00,-8.9101095,-1.8516655
2017-04-29 08:00:00,-11.509184,-4.6543555
2017-04-29 08:30:00,-7.713828,-6.398529
2017-04-29 09:00:00,-20.0258,-6.8306217
2017-04-29 09:30:00,-15.869132,-9.440261
2017-04-29 10:00:00,-14.503749,-16.709105
2017-04-29 10:30:00,-18.653013,-19.473028
2017-04-29 11:00:00,-26.628038,-22.52758
2017-04-29 11:30:00,-25.448153,-24.795017
2017-04-29 12:00:00,-24.268265,-27.27576
2017-04-29 12:30:00,-23.088379,-27.774738
2017-04-29 13:00:00,-21.908491,-22.396336
2017-04-29 13:30:00,-20.728605,-17.356937
2017-04-29 14:00:00,-19.54872,-17.898623
2017-04-29 14:30:00,-18.368832,-12.605068
2017-04-29 15:00:00,-17.188948,-15.4675865
2017-04-29 15:30:00,-16.00906,-14.660931
2017-04-29 16:00:00,-14.829176,-14.171237
2017-04-29 16:30:00,-13.649288,-10.5480175
2017-04-29 17:00:00,-12.4694,-6.617989
2017-04-29 17:30:00,-11.289516,-4.1128964
2017-04-29 18:00:00,-10.109629,-1.8150706
2017-04-29 18:30:00,-8.929745,-0.007304542
2017-04-29 19:00:00,-7.7498574,0.83256197
2017-04-29 19:30:00,-6.5699697,1.667368
2017-04-29 20:00:00,-5.3900857,2.6821454
2017-04-29 20:30:00,-4.210198,2.9463732
2017-04-29 21:00:00,-3.0303137,5.9348636
2017-04-29 21:30:00,-1.8504258,6.66351
2017-04-29 22:00:00,-0.67053807,6.421758
2017-04-29 22:30:00,0.50934595,6.4319015
2017-04-29 23:00:00,1.6892338,5.716918
2017-04-29 23:30:00,2.8691177,5.2079997
2017-04-30 00:00:00,4.0490055,4.6307483
2017-04-30 00:30:00,4.402034,4.2551646
2017-04-30 01:00:00,3.1360586,3.6423697
2017-04-30 01:30:00,3.6348224,2.8528023
2017-04-30 02:00:00,2.5813513,2.8236418
2017-04-30 02:30:00,3.3770566,3.4363236
2017-04-30 03:00:00,3.319881,3.6404593
2017-04-30 03:30:00,3.546647,3.4650924
2017-04-30 04:00:00,3.0768971,3.7019343
2017-04-30 04:30:00,1.681385,3.5900772
2017-04-30 05:00:00,1.5997813,4.211124
2017-04-30 05:30:00,1.5181812,3.851449
2017-04-30 06:00:00,2.3045082,3.4153209
2017-04-30 06:30:00,1.5486305,1.6433357
2017-04-30 07:00:00,-4.5931444,0.80363494
2017-04-30 07:30:00,-5.6566725,-0.7902025
2017-04-30 08:00:00,-12.827279,-2.9017832
2017-04-30 08:30:00,-21.595823,-4.464384
2017-04-30 09:00:00,-15.995048,-7.5416675
2017-04-30 09:30:00,-17.463516,-13.098827
2017-04-30 10:00:00,-18.164124,-16.602243
2017-04-30 10:30:00,-28.081053,-19.472546
2017-04-30 11:00:00,-22.780973,-22.455904
2017-04-30 11:30:00,-24.080145,-24.64269
2017-04-30 12:00:00,-24.742592,-26.570803
2017-04-30 12:30:00,-39.56868,-22.088531
2017-04-30 13:00:00,-19.774418,-22.40004
2017-04-30 13:30:00,-28.12152,-21.794016
2017-04-30 14:00:00,-22.585518,-17.594051
2017-04-30 14:30:00,-17.433907,-14.974844
2017-04-30 15:00:00,-15.301105,-15.504777
2017-04-30 15:30:00,-20.10085,-16.293154
2017-04-30 16:00:00,-11.108061,-13.531787
2017-04-30 16:30:00,-8.658282,-10.032984
2017-04-30 17:00:00,-2.5876744,-6.925813
2017-04-30 17:30:00,1.5230796,-3.9897583
2017-04-30 18:00:00,-2.3123763,-1.2424539
2017-04-30 18:30:00,0.94773114,0.06903908
2017-04-30 19:00:00,0.6754812,0.9762776
2017-04-30 19:30:00,-0.471429,1.6948895
2017-04-30 20:00:00,-3.3934329,2.1156518
2017-04-30 20:30:00,1.6562335,2.7337296
2017-04-30 21:00:00,6.7059035,3.3125973
2017-04-30 21:30:00,4.49926,3.4025886
2017-04-30 22:00:00,2.2926126,3.7471619
2017-04-30 22:30:00,4.898838,3.5116575
2017-04-30 23:00:00,7.505068,3.0036094
2017-04-30 23:30:00,0.98324084,2.4859114
2017-05-01 00:00:00,0.12182511,1.6595833
2017-05-01 00:30:00,-0.93011993,1.7958157
2017-05-01 01:00:00,-0.30778438,1.6362593
2017-05-01 01:30:00,0.32411063,1.6952739
2017-05-01 02:00:00,0.809498,1.7533464
2017-05-01 02:30:00,1.2948891,2.1043327
2017-05-01 03:00:00,1.4042329,1.8825439
2017-05-01 03:30:00,1.5135729,1.9906557
2017-05-01 04:00:00,1.622913,2.2213707
2017-05-01 04:30:00,1.7322531,2.2489827
2017-05-01 05:00:00,7.2962904,2.3731725
2017-05-01 05:30:00,6.234714,1.9127105
2017-05-01 06:00:00,3.7348819,1.4519774
2017-05-01 06:30:00,-3.798961,1.0696827
2017-05-01 07:00:00,-11.3328,0.32480395
2017-05-01 07:30:00,-18.866642,0.4511302
2017-05-01 08:00:00,-7.6316175,-3.4958549
2017-05-01 08:30:00,-19.074177,-6.457103
2017-05-01 09:00:00,-30.447622,-9.817955
2017-05-01 09:30:00,-22.100786,-15.004939
2017-05-01 10:00:00,-27.034943,-19.072899
2017-05-01 10:30:00,-18.934729,-22.766222
2017-05-01 11:00:00,-22.805279,-25.836758
2017-05-01 11:30:00,-26.34032,-27.73317
2017-05-01 12:00:00,-17.906973,-29.878677
2017-05-01 12:30:00,-23.706392,-30.576803
2017-05-01 13:00:00,-21.81065,-31.30342
2017-05-01 13:30:00,-23.861696,-30.75751
2017-05-01 14:00:00,-22.59068,-29.958872
2017-05-01 14:30:00,-20.538105,-28.780563
2017-05-01 15:00:00,-14.46871,-24.818905
2017-05-01 15:30:00,-11.047185,-22.814133
2017-05-01 16:00:00,-2.750234,-17.122122
2017-05-01 16:30:00,-1.217359,-12.067995
2017-05-01 17:00:00,-0.48492223,-7.6573453
2017-05-01 17:30:00,3.0138733,-3.7720764
2017-05-01 18:00:00,5.0449014,-2.1896822
2017-05-01 18:30:00,4.781329,0.043574877
2017-05-01 19:00:00,5.043733,0.5539818
2017-05-01 19:30:00,5.8523216,1.9111394
2017-05-01 20:00:00,5.792595,2.3214943
2017-05-01 20:30:00,4.8980093,2.8399987
2017-05-01 21:00:00,6.630943,3.6525621
2017-05-01 21:30:00,6.6034174,4.2504582
2017-05-01 22:00:00,4.9410024,3.9128184
2017-05-01 22:30:00,4.4271665,3.9086962
2017-05-01 23:00:00,5.78787,3.4160292
2017-05-01 23:30:00,5.2582345,2.5968077
2017-05-02 00:00:00,7.266794,2.4603078
2017-05-02 00:30:00,7.4857607,2.3336234
2017-05-02 01:00:00,8.21914,1.8963989
2017-05-02 01:30:00,5.609281,1.5929009
2017-05-02 02:00:00,3.667751,1.498923
2017-05-02 02:30:00,5.630804,2.0147142
2017-05-02 03:00:00,6.1747727,2.077542
2017-05-02 03:30:00,5.8053985,1.8995866
2017-05-02 04:00:00,8.337881,1.9844007
2017-05-02 04:30:00,10.870359,2.0041037
2017-05-02 05:00:00,13.402839,1.9702028
2017-05-02 05:30:00,15.935317,1.8467441
2017-05-02 06:00:00,18.467802,1.6801943
2017-05-02 06:30:00,21.00028,0.67958456
2017-05-02 07:00:00,23.53276,0.33619842
2017-05-02 07:30:00,26.065239,-1.3541226
2017-05-02 08:00:00,28.597717,-6.368683
2017-05-02 08:30:00,31.130203,-11.48855
2017-05-02 09:00:00,46.482998,-15.644754
2017-05-02 09:30:00,18.529741,-18.620117
2017-05-02 10:00:00,-9.42352,-22.11854
2017-05-02 10:30:00,-6.3966827,-24.11264
2017-05-02 11:00:00,-11.352163,-25.980457
2017-05-02 11:30:00,-22.21755,-25.914906
2017-05-02 12:00:00,-18.626904,-26.161463
2017-05-02 12:30:00,-9.897415,-25.0487
2017-05-02 13:00:00,-4.553373,-21.551533
2017-05-02 13:30:00,-5.327209,-21.845678
2017-05-02 14:00:00,29.976099,-20.15913
2017-05-02 14:30:00,-2.9158754,-18.797794
2017-05-02 15:00:00,-5.1304626,-15.510907
2017-05-02 15:30:00,-4.853299,-10.323177
2017-05-02 16:00:00,-5.1019497,-5.291899
2017-05-02 16:30:00,-4.5954695,-1.965369
2017-05-02 17:00:00,-3.3684132,0.23513666
2017-05-02 17:30:00,-0.763005,1.8409036
