时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,2.3149493
2017-04-28 19:30:00,3.883183,3.3357403
2017-04-28 20:00:00,3.1135032,3.9776168
2017-04-28 20:30:00,4.2741365,4.391853
2017-04-28 21:00:00,4.9026327,4.6054273
2017-04-28 21:30:00,5.051767,4.729278
2017-04-28 22:00:00,5.8418956,4.752749
2017-04-28 22:30:00,5.061944,4.811993
2017-04-28 23:00:00,5.4606485,4.9013667
2017-04-28 23:30:00,3.9218051,5.0611978
2017-04-29 00:00:00,3.5646358,5.2306304
2017-04-29 00:30:00,2.9955382,5.4048066
2017-04-29 01:00:00,2.980568,5.5597396
2017-04-29 01:30:00,4.8063188,5.648985
2017-04-29 02:00:00,4.851331,5.7405663
2017-04-29 02:30:00,4.3052826,5.8410172
2017-04-29 03:00:00,3.1283154,5.897824
2017-04-29 03:30:00,2.5324876,5.9978986
2017-04-29 04:00:00,8.713393,5.968862
2017-04-29 04:30:00,2.7933695,5.8531656
2017-04-29 05:00:00,8.1307125,5.666992
2017-04-29 05:30:00,5.280869,5.1815257
2017-04-29 06:00:00,4.4633207,4.4654155
2017-04-29 06:30:00,3.363409,3.4653523
2017-04-29 07:00:00,-2.8686924,2.1855633
2017-04-29 07:30:00,-8.9101095,0.7191713
2017-04-29 08:00:00,-11.509184,-1.0907803
2017-04-29 08:30:00,-7.713828,-2.7764592
2017-04-29 09:00:00,-20.0258,-4.229731
2017-04-29 09:30:00,-15.869132,-5.4830465
2017-04-29 10:00:00,-14.503749,-6.3146534
2017-04-29 10:30:00,-18.653013,-6.834205
2017-04-29 11:00:00,-26.628038,-7.664486
2017-04-29 11:30:00,-25.448153,-8.25035
2017-04-29 12:00:00,-24.268265,-8.968175
2017-04-29 12:30:00,-23.088379,-9.540562
2017-04-29 13:00:00,-21.908491,-9.667072
2017-04-29 13:30:00,-20.728605,-9.753439
2017-04-29 14:00:00,-19.54872,-9.565996
2017-04-29 14:30:00,-18.368832,-9.085239
2017-04-29 15:00:00,-17.188948,-8.33903
2017-04-29 15:30:00,-16.00906,-7.4117203
2017-04-29 16:00:00,-14.829176,-6.2966347
2017-04-29 16:30:00,-13.649288,-4.945227
2017-04-29 17:00:00,-12.4694,-3.5128825
2017-04-29 17:30:00,-11.289516,-1.9838624
2017-04-29 18:00:00,-10.109629,-0.4189708
2017-04-29 18:30:00,-8.929745,0.94313794
2017-04-29 19:00:00,-7.7498574,2.0416179
2017-04-29 19:30:00,-6.5699697,2.7988408
2017-04-29 20:00:00,-5.3900857,3.2814698
2017-04-29 20:30:00,-4.210198,3.6608217
2017-04-29 21:00:00,-3.0303137,3.943083
2017-04-29 21:30:00,-1.8504258,4.1674075
2017-04-29 22:00:00,-0.67053807,4.3821425
2017-04-29 22:30:00,0.50934595,4.5386543
2017-04-29 23:00:00,1.6892338,4.7212143
2017-04-29 23:30:00,2.8691177,4.8874326
2017-04-30 00:00:00,4.0490055,5.084586
2017-04-30 00:30:00,4.402034,5.2935557
2017-04-30 01:00:00,3.1360586,5.485276
2017-04-30 01:30:00,3.6348224,5.70734
2017-04-30 02:00:00,2.5813513,5.8713045
2017-04-30 02:30:00,3.3770566,6.326642
2017-04-30 03:00:00,3.319881,6.067829
2017-04-30 03:30:00,3.546647,6.057448
2017-04-30 04:00:00,3.0768971,6.0812016
2017-04-30 04:30:00,1.681385,5.8725367
2017-04-30 05:00:00,1.5997813,5.8684525
2017-04-30 05:30:00,1.5181812,5.6628737
2017-04-30 06:00:00,2.3045082,5.3917766
2017-04-30 06:30:00,1.5486305,4.9571633
2017-04-30 07:00:00,-4.5931444,4.1625695
2017-04-30 07:30:00,-5.6566725,2.959516
2017-04-30 08:00:00,-12.827279,1.4823927
2017-04-30 08:30:00,-21.595823,0.03944514
2017-04-30 09:00:00,-15.995048,-1.9799738
2017-04-30 09:30:00,-17.463516,-3.792951
2017-04-30 10:00:00,-18.164124,-5.3905907
2017-04-30 10:30:00,-28.081053,-6.9841833
2017-04-30 11:00:00,-22.780973,-8.9418745
2017-04-30 11:30:00,-24.080145,-10.804935
2017-04-30 12:00:00,-24.742592,-12.610679
2017-04-30 12:30:00,-39.56868,-14.173728
2017-04-30 13:00:00,-19.774418,-15.352463
2017-04-30 13:30:00,-28.12152,-16.091703
2017-04-30 14:00:00,-22.585518,-16.292572
2017-04-30 14:30:00,-17.433907,-15.869418
2017-04-30 15:00:00,-15.301105,-14.728179
2017-04-30 15:30:00,-20.10085,-12.930974
2017-04-30 16:00:00,-11.108061,-10.577212
2017-04-30 16:30:00,-8.658282,-7.928103
2017-04-30 17:00:00,-2.5876744,-5.251683
2017-04-30 17:30:00,1.5230796,-2.7372606
2017-04-30 18:00:00,-2.3123763,-0.5648982
2017-04-30 18:30:00,0.94773114,1.1625077
