时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,1.4974045
2017-04-28 19:30:00,3.883183,2.1086998
2017-04-28 20:00:00,3.1135032,2.159353
2017-04-28 20:30:00,4.2741365,1.571442
2017-04-28 21:00:00,4.9026327,1.0940542
2017-04-28 21:30:00,5.051767,1.7567339
2017-04-28 22:00:00,5.8418956,2.8602593
2017-04-28 22:30:00,5.061944,2.0117376
2017-04-28 23:00:00,5.4606485,2.6634185
2017-04-28 23:30:00,3.9218051,1.3946283
2017-04-29 00:00:00,3.5646358,2.213492
2017-04-29 00:30:00,2.9955382,1.2700466
2017-04-29 01:00:00,2.980568,1.1279663
2017-04-29 01:30:00,4.8063188,1.3735839
2017-04-29 02:00:00,4.851331,1.7036049
2017-04-29 02:30:00,4.3052826,1.711092
2017-04-29 03:00:00,3.1283154,1.2473896
2017-04-29 03:30:00,2.5324876,1.0250996
2017-04-29 04:00:00,8.713393,1.1261538
2017-04-29 04:30:00,2.7933695,0.80500275
2017-04-29 05:00:00,8.1307125,0.40434283
2017-04-29 05:30:00,5.280869,0.78856295
2017-04-29 06:00:00,4.4633207,0.106545836
2017-04-29 06:30:00,3.363409,1.6975498
2017-04-29 07:00:00,-2.8686924,-0.92062455
2017-04-29 07:30:00,-8.9101095,-5.3774137
2017-04-29 08:00:00,-11.509184,-10.127561
2017-04-29 08:30:00,-7.713828,-15.390181
2017-04-29 09:00:00,-20.0258,-14.438943
2017-04-29 09:30:00,-15.869132,-18.957241
2017-04-29 10:00:00,-14.503749,-19.8254
2017-04-29 10:30:00,-18.653013,-19.91476
2017-04-29 11:00:00,-26.628038,-20.610113
2017-04-29 11:30:00,-25.448153,-22.24163
2017-04-29 12:00:00,-24.268265,-21.374052
2017-04-29 12:30:00,-23.088379,-22.98414
2017-04-29 13:00:00,-21.908491,-22.731058
2017-04-29 13:30:00,-20.728605,-21.807545
2017-04-29 14:00:00,-19.54872,-19.662367
2017-04-29 14:30:00,-18.368832,-17.68814
2017-04-29 15:00:00,-17.188948,-12.852942
2017-04-29 15:30:00,-16.00906,-8.773572
2017-04-29 16:00:00,-14.829176,-8.466634
2017-04-29 16:30:00,-13.649288,-4.2217584
2017-04-29 17:00:00,-12.4694,-2.7915275
2017-04-29 17:30:00,-11.289516,1.2347404
2017-04-29 18:00:00,-10.109629,3.5274642
2017-04-29 18:30:00,-8.929745,4.370812
2017-04-29 19:00:00,-7.7498574,3.8159807
2017-04-29 19:30:00,-6.5699697,2.1049168
2017-04-29 20:00:00,-5.3900857,2.3930223
2017-04-29 20:30:00,-4.210198,3.0586486
2017-04-29 21:00:00,-3.0303137,2.2897713
2017-04-29 21:30:00,-1.8504258,2.7423394
2017-04-29 22:00:00,-0.67053807,2.0752625
2017-04-29 22:30:00,0.50934595,2.2483647
2017-04-29 23:00:00,1.6892338,2.7574942
2017-04-29 23:30:00,2.8691177,4.1695743
2017-04-30 00:00:00,4.0490055,2.6121962
2017-04-30 00:30:00,4.402034,2.80707
2017-04-30 01:00:00,3.1360586,2.1232593
2017-04-30 01:30:00,3.6348224,1.3731506
2017-04-30 02:00:00,2.5813513,2.3051035
2017-04-30 02:30:00,3.3770566,2.079592
2017-04-30 03:00:00,3.319881,2.0788233
2017-04-30 03:30:00,3.546647,1.6749341
2017-04-30 04:00:00,3.0768971,2.4373567
2017-04-30 04:30:00,1.681385,2.1075768
2017-04-30 05:00:00,1.5997813,2.4779797
2017-04-30 05:30:00,1.5181812,2.9470553
2017-04-30 06:00:00,2.3045082,2.2183979
2017-04-30 06:30:00,1.5486305,1.109748
2017-04-30 07:00:00,-4.5931444,-2.8961952
2017-04-30 07:30:00,-5.6566725,-6.725336
2017-04-30 08:00:00,-12.827279,-10.182028
2017-04-30 08:30:00,-21.595823,-9.847138
2017-04-30 09:00:00,-15.995048,-10.651273
2017-04-30 09:30:00,-17.463516,-14.296399
