时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,0.46179366
2017-04-28 19:30:00,3.883183,-0.6113276
2017-04-28 20:00:00,3.1135032,0.3032886
2017-04-28 20:30:00,4.2741365,1.5071297
2017-04-28 21:00:00,4.9026327,2.2618318
2017-04-28 21:30:00,5.051767,0.5266449
2017-04-28 22:00:00,5.8418956,3.300502
2017-04-28 22:30:00,5.061944,5.2136593
2017-04-28 23:00:00,5.4606485,4.47268
2017-04-28 23:30:00,3.9218051,6.6394057
2017-04-29 00:00:00,3.5646358,5.5642233
2017-04-29 00:30:00,2.9955382,6.0384007
2017-04-29 01:00:00,2.980568,5.0449276
2017-04-29 01:30:00,4.8063188,3.7718234
2017-04-29 02:00:00,4.851331,5.7624807
2017-04-29 02:30:00,4.3052826,6.0303826
2017-04-29 03:00:00,3.1283154,3.90055
2017-04-29 03:30:00,2.5324876,5.172422
2017-04-29 04:00:00,8.713393,4.758314
2017-04-29 04:30:00,2.7933695,3.9339607
2017-04-29 05:00:00,8.1307125,3.5621488
2017-04-29 05:30:00,5.280869,4.190441
2017-04-29 06:00:00,4.4633207,4.1877885
2017-04-29 06:30:00,3.363409,2.337286
2017-04-29 07:00:00,-2.8686924,-1.6445494
2017-04-29 07:30:00,-8.9101095,-7.0353904
2017-04-29 08:00:00,-11.509184,-10.058105
2017-04-29 08:30:00,-7.713828,-16.474466
2017-04-29 09:00:00,-20.0258,-22.370842
2017-04-29 09:30:00,-15.869132,-25.095695
2017-04-29 10:00:00,-14.503749,-28.085573
2017-04-29 10:30:00,-18.653013,-28.739635
2017-04-29 11:00:00,-26.628038,-29.84157
2017-04-29 11:30:00,-25.448153,-32.953407
2017-04-29 12:00:00,-24.268265,-30.05099
2017-04-29 12:30:00,-23.088379,-30.547035
2017-04-29 13:00:00,-21.908491,-28.994703
2017-04-29 13:30:00,-20.728605,-27.00632
2017-04-29 14:00:00,-19.54872,-25.227072
2017-04-29 14:30:00,-18.368832,-20.834274
2017-04-29 15:00:00,-17.188948,-18.057617
2017-04-29 15:30:00,-16.00906,-15.681142
2017-04-29 16:00:00,-14.829176,-11.351184
2017-04-29 16:30:00,-13.649288,-6.358027
2017-04-29 17:00:00,-12.4694,-5.77287
2017-04-29 17:30:00,-11.289516,-3.075285
2017-04-29 18:00:00,-10.109629,-1.8836861
2017-04-29 18:30:00,-8.929745,0.7348161
2017-04-29 19:00:00,-7.7498574,2.0477674
2017-04-29 19:30:00,-6.5699697,1.9164598
2017-04-29 20:00:00,-5.3900857,2.5927646
2017-04-29 20:30:00,-4.210198,3.2009776
2017-04-29 21:00:00,-3.0303137,3.402521
2017-04-29 21:30:00,-1.8504258,2.4846942
2017-04-29 22:00:00,-0.67053807,3.4897428
2017-04-29 22:30:00,0.50934595,4.3219976
2017-04-29 23:00:00,1.6892338,3.945619
2017-04-29 23:30:00,2.8691177,4.136732
2017-04-30 00:00:00,4.0490055,2.4910886
2017-04-30 00:30:00,4.402034,2.6488326
2017-04-30 01:00:00,3.1360586,1.4597658
2017-04-30 01:30:00,3.6348224,0.18308915
2017-04-30 02:00:00,2.5813513,1.742585
2017-04-30 02:30:00,3.3770566,2.001436
2017-04-30 03:00:00,3.319881,1.0641061
2017-04-30 03:30:00,3.546647,3.7339134
2017-04-30 04:00:00,3.0768971,3.1638327
2017-04-30 04:30:00,1.681385,2.5158935
2017-04-30 05:00:00,1.5997813,3.3373306
2017-04-30 05:30:00,1.5181812,1.5124803
2017-04-30 06:00:00,2.3045082,-0.3026109
2017-04-30 06:30:00,1.5486305,-3.7905698
2017-04-30 07:00:00,-4.5931444,-8.285148
2017-04-30 07:30:00,-5.6566725,-11.808372
