时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,-1.9877472
2017-04-28 19:30:00,3.883183,-1.278608
2017-04-28 20:00:00,3.1135032,-1.1549457
2017-04-28 20:30:00,4.2741365,-0.7323899
2017-04-28 21:00:00,4.9026327,-0.6612386
2017-04-28 21:30:00,5.051767,-0.3454268
2017-04-28 22:00:00,5.8418956,-0.65929055
2017-04-28 22:30:00,5.061944,-0.36097735
2017-04-28 23:00:00,5.4606485,-0.6878747
2017-04-28 23:30:00,3.9218051,-0.7269414
2017-04-29 00:00:00,3.5646358,-0.7407474
2017-04-29 00:30:00,2.9955382,-1.10745
2017-04-29 01:00:00,2.980568,-0.7495946
2017-04-29 01:30:00,4.8063188,-1.317524
2017-04-29 02:00:00,4.851331,-1.6191192
2017-04-29 02:30:00,4.3052826,-1.5752859
2017-04-29 03:00:00,3.1283154,-1.9007175
2017-04-29 03:30:00,2.5324876,-0.92591107
2017-04-29 04:00:00,8.713393,-1.5439436
2017-04-29 04:30:00,2.7933695,-1.6156412
2017-04-29 05:00:00,8.1307125,-0.28623515
2017-04-29 05:30:00,5.280869,-0.74930453
2017-04-29 06:00:00,4.4633207,-1.4995941
2017-04-29 06:30:00,3.363409,-2.3170297
2017-04-29 07:00:00,-2.8686924,-2.9386606
2017-04-29 07:30:00,-8.9101095,-4.0489726
2017-04-29 08:00:00,-11.509184,-9.70849
2017-04-29 08:30:00,-7.713828,-9.006903
2017-04-29 09:00:00,-20.0258,-8.455013
2017-04-29 09:30:00,-15.869132,-10.618495
2017-04-29 10:00:00,-14.503749,-8.049466
2017-04-29 10:30:00,-18.653013,-7.718745
2017-04-29 11:00:00,-26.628038,-15.101984
2017-04-29 11:30:00,-25.448153,-11.478332
2017-04-29 12:00:00,-24.268265,-14.135339
2017-04-29 12:30:00,-23.088379,-13.417002
2017-04-29 13:00:00,-21.908491,-9.572126
2017-04-29 13:30:00,-20.728605,-11.899463
2017-04-29 14:00:00,-19.54872,-9.694251
2017-04-29 14:30:00,-18.368832,-7.4838853
2017-04-29 15:00:00,-17.188948,-6.515473
2017-04-29 15:30:00,-16.00906,-6.174001
2017-04-29 16:00:00,-14.829176,-4.8646708
2017-04-29 16:30:00,-13.649288,-3.3623354
2017-04-29 17:00:00,-12.4694,-3.0287461
2017-04-29 17:30:00,-11.289516,-2.0626929
2017-04-29 18:00:00,-10.109629,-1.3370987
2017-04-29 18:30:00,-8.929745,-1.1697804
2017-04-29 19:00:00,-7.7498574,-1.036374
2017-04-29 19:30:00,-6.5699697,-1.1429446
2017-04-29 20:00:00,-5.3900857,-1.0358766
2017-04-29 20:30:00,-4.210198,-0.69035023
2017-04-29 21:00:00,-3.0303137,-0.36553288
2017-04-29 21:30:00,-1.8504258,-0.24558587
2017-04-29 22:00:00,-0.67053807,-0.10549131
2017-04-29 22:30:00,0.50934595,-0.29337928
2017-04-29 23:00:00,1.6892338,-0.24009588
2017-04-29 23:30:00,2.8691177,-0.68030477
2017-04-30 00:00:00,4.0490055,-0.78027755
2017-04-30 00:30:00,4.402034,-1.0088713
2017-04-30 01:00:00,3.1360586,-0.9745485
2017-04-30 01:30:00,3.6348224,-0.36668214
2017-04-30 02:00:00,2.5813513,-0.28333378
2017-04-30 02:30:00,3.3770566,-1.1844832
2017-04-30 03:00:00,3.319881,1.0548179
2017-04-30 03:30:00,3.546647,2.0758653
