时间,真实值,预测值
2017-04-28 19:00:00,3.9815166,2.9682806
2017-04-28 19:30:00,3.883183,2.7628825
2017-04-28 20:00:00,3.1135032,2.6362436
2017-04-28 20:30:00,4.2741365,2.2114985
2017-04-28 21:00:00,4.9026327,2.4630132
2017-04-28 21:30:00,5.051767,2.5080183
2017-04-28 22:00:00,5.8418956,1.8392495
2017-04-28 22:30:00,5.061944,2.7997563
2017-04-28 23:00:00,5.4606485,2.6044152
2017-04-28 23:30:00,3.9218051,3.1553245
2017-04-29 00:00:00,3.5646358,2.9022048
2017-04-29 00:30:00,2.9955382,4.4143515
2017-04-29 01:00:00,2.980568,5.7913136
2017-04-29 01:30:00,4.8063188,6.4624786
2017-04-29 02:00:00,4.851331,7.1933517
2017-04-29 02:30:00,4.3052826,6.834419
2017-04-29 03:00:00,3.1283154,6.8438463
2017-04-29 03:30:00,2.5324876,7.093658
2017-04-29 04:00:00,8.713393,7.977196
2017-04-29 04:30:00,2.7933695,9.471634
2017-04-29 05:00:00,8.1307125,10.792863
2017-04-29 05:30:00,5.280869,11.225981
2017-04-29 06:00:00,4.4633207,9.960947
2017-04-29 06:30:00,3.363409,7.3566046
2017-04-29 07:00:00,-2.8686924,3.4210293
2017-04-29 07:30:00,-8.9101095,-2.9497838
2017-04-29 08:00:00,-11.509184,-11.345716
2017-04-29 08:30:00,-7.713828,-13.651821
2017-04-29 09:00:00,-20.0258,-16.643661
2017-04-29 09:30:00,-15.869132,-19.802084
2017-04-29 10:00:00,-14.503749,-20.252087
2017-04-29 10:30:00,-18.653013,-21.820019
2017-04-29 11:00:00,-26.628038,-24.219486
2017-04-29 11:30:00,-25.448153,-23.891342
2017-04-29 12:00:00,-24.268265,-25.099283
2017-04-29 12:30:00,-23.088379,-24.365158
2017-04-29 13:00:00,-21.908491,-23.733232
2017-04-29 13:30:00,-20.728605,-23.609137
2017-04-29 14:00:00,-19.54872,-21.936058
2017-04-29 14:30:00,-18.368832,-19.52153
2017-04-29 15:00:00,-17.188948,-17.294554
2017-04-29 15:30:00,-16.00906,-13.756356
2017-04-29 16:00:00,-14.829176,-10.471577
2017-04-29 16:30:00,-13.649288,-6.0323615
2017-04-29 17:00:00,-12.4694,-1.6605673
2017-04-29 17:30:00,-11.289516,1.1719427
2017-04-29 18:00:00,-10.109629,3.2749436
2017-04-29 18:30:00,-8.929745,5.2544703
2017-04-29 19:00:00,-7.7498574,6.736398
2017-04-29 19:30:00,-6.5699697,6.74731
2017-04-29 20:00:00,-5.3900857,6.614601
2017-04-29 20:30:00,-4.210198,6.1363654
2017-04-29 21:00:00,-3.0303137,6.7975526
2017-04-29 21:30:00,-1.8504258,6.3787236
2017-04-29 22:00:00,-0.67053807,6.5090966
2017-04-29 22:30:00,0.50934595,7.5023212
2017-04-29 23:00:00,1.6892338,7.523128
2017-04-29 23:30:00,2.8691177,8.676086
2017-04-30 00:00:00,4.0490055,7.7455535
2017-04-30 00:30:00,4.402034,8.010498
2017-04-30 01:00:00,3.1360586,8.288102
2017-04-30 01:30:00,3.6348224,7.6893272
2017-04-30 02:00:00,2.5813513,6.856545
2017-04-30 02:30:00,3.3770566,6.0415545
2017-04-30 03:00:00,3.319881,5.5808854
2017-04-30 03:30:00,3.546647,4.878295
2017-04-30 04:00:00,3.0768971,5.179698
2017-04-30 04:30:00,1.681385,5.977928
2017-04-30 05:00:00,1.5997813,6.3741417
2017-04-30 05:30:00,1.5181812,7.2245436
2017-04-30 06:00:00,2.3045082,6.596032
2017-04-30 06:30:00,1.5486305,6.2978773
2017-04-30 07:00:00,-4.5931444,4.8158364
2017-04-30 07:30:00,-5.6566725,2.945729
2017-04-30 08:00:00,-12.827279,-0.82674086
2017-04-30 08:30:00,-21.595823,-3.6178102
2017-04-30 09:00:00,-15.995048,-7.7707963
2017-04-30 09:30:00,-17.463516,-10.516385
2017-04-30 10:00:00,-18.164124,-12.057576
2017-04-30 10:30:00,-28.081053,-13.729016
2017-04-30 11:00:00,-22.780973,-16.332676
2017-04-30 11:30:00,-24.080145,-15.573674
2017-04-30 12:00:00,-24.742592,-15.835729
2017-04-30 12:30:00,-39.56868,-15.28196
2017-04-30 13:00:00,-19.774418,-16.110012
2017-04-30 13:30:00,-28.12152,-17.32772
2017-04-30 14:00:00,-22.585518,-16.852533
2017-04-30 14:30:00,-17.433907,-17.049656
2017-04-30 15:00:00,-15.301105,-16.237171
2017-04-30 15:30:00,-20.10085,-14.276289
2017-04-30 16:00:00,-11.108061,-12.3403845
2017-04-30 16:30:00,-8.658282,-8.36466
2017-04-30 17:00:00,-2.5876744,-5.002704
2017-04-30 17:30:00,1.5230796,-3.1807325
2017-04-30 18:00:00,-2.3123763,-0.5643292
2017-04-30 18:30:00,0.94773114,2.5674963
2017-04-30 19:00:00,0.6754812,4.2024727
2017-04-30 19:30:00,-0.471429,6.0893784
2017-04-30 20:00:00,-3.3934329,6.700971
2017-04-30 20:30:00,1.6562335,6.64626
2017-04-30 21:00:00,6.7059035,7.227317
2017-04-30 21:30:00,4.49926,5.856274
2017-04-30 22:00:00,2.2926126,5.641603
2017-04-30 22:30:00,4.898838,6.090471
2017-04-30 23:00:00,7.505068,6.5068283
2017-04-30 23:30:00,0.98324084,8.506202
