时间,真实值,预测值
2018-07-25 23:30:00,42.391376,7.8770537
2018-07-26 00:00:00,7.7510285,8.417501
2018-07-26 00:30:00,7.4822836,7.718892
2018-07-26 01:00:00,3.355278,7.5689363
2018-07-26 01:30:00,4.7732563,7.64789
2018-07-26 02:00:00,4.843734,7.5058517
2018-07-26 02:30:00,4.9142065,7.1966944
2018-07-26 03:00:00,5.619554,8.155184
2018-07-26 03:30:00,4.443017,6.777395
2018-07-26 04:00:00,-2.9978292,5.342787
2018-07-26 04:30:00,10.351522,6.1539683
2018-07-26 05:00:00,8.137016,6.3394732
2018-07-26 05:30:00,17.288946,4.77652
2018-07-26 06:00:00,7.157698,1.2770481
2018-07-26 06:30:00,13.257681,0.6318535
2018-07-26 07:00:00,1.7393246,-4.120951
2018-07-26 07:30:00,-9.779031,-5.81228
2018-07-26 08:00:00,-7.134819,-9.482619
2018-07-26 08:30:00,-8.1670065,-11.960316
2018-07-26 09:00:00,-9.319551,-13.118804
2018-07-26 09:30:00,-12.254601,-16.114302
2018-07-26 10:00:00,-17.388987,-21.841362
2018-07-26 10:30:00,-24.315876,-21.905838
2018-07-26 11:00:00,-19.384172,-25.222607
2018-07-26 11:30:00,-31.685522,-25.251352
2018-07-26 12:00:00,-16.390364,-25.338165
2018-07-26 12:30:00,-15.588437,-26.057806
2018-07-26 13:00:00,-23.952736,-26.234598
2018-07-26 13:30:00,-18.220188,-24.16669
2018-07-26 14:00:00,-17.177326,-24.288658
2018-07-26 14:30:00,-24.131285,-20.628857
2018-07-26 15:00:00,-17.948454,-19.745121
2018-07-26 15:30:00,-22.859354,-19.622732
2018-07-26 16:00:00,-19.44365,-16.34856
2018-07-26 16:30:00,-12.525674,-13.756229
2018-07-26 17:00:00,-17.620943,-11.556982
2018-07-26 17:30:00,-4.0231433,-6.711701
2018-07-26 18:00:00,-1.9767619,-4.2063236
2018-07-26 18:30:00,2.1956367,-1.9021424
2018-07-26 19:00:00,6.368031,0.84595567
2018-07-26 19:30:00,16.040987,3.14028
2018-07-26 20:00:00,25.713942,4.2736044
2018-07-26 20:30:00,15.029607,4.9886384
2018-07-26 21:00:00,17.568579,5.3656297
2018-07-26 21:30:00,17.224018,5.4594703
2018-07-26 22:00:00,16.879456,8.103997
2018-07-26 22:30:00,16.534893,9.635614
2018-07-26 23:00:00,16.190336,11.568921
2018-07-26 23:30:00,15.845774,13.374548
2018-07-27 00:00:00,15.501212,14.825603
2018-07-27 00:30:00,15.15665,16.197287
2018-07-27 01:00:00,14.812088,13.150178
2018-07-27 01:30:00,14.4675255,12.353738
2018-07-27 02:00:00,14.122968,10.754712
2018-07-27 02:30:00,13.778406,9.413809
2018-07-27 03:00:00,13.433845,9.79568
2018-07-27 03:30:00,13.089282,11.260796
2018-07-27 04:00:00,12.74472,9.548887
2018-07-27 04:30:00,12.400158,8.427944
2018-07-27 05:00:00,12.0556,8.000951
2018-07-27 05:30:00,11.711039,6.621003
2018-07-27 06:00:00,11.366477,4.2791014
2018-07-27 06:30:00,2.2563095,2.0650327
2018-07-27 07:00:00,0.56336844,-2.177175
2018-07-27 07:30:00,-1.1295683,-3.7390575
2018-07-27 08:00:00,-2.8225093,-7.2325306
2018-07-27 08:30:00,-4.5154505,-11.499237
2018-07-27 09:00:00,-6.2083874,-14.3950405
2018-07-27 09:30:00,-7.9013286,-14.797201
2018-07-27 10:00:00,-9.594269,-17.710749
2018-07-27 10:30:00,-11.287206,-16.684105
2018-07-27 11:00:00,-12.980146,-19.78747
2018-07-27 11:30:00,-14.673086,-17.87188
2018-07-27 12:00:00,-16.366024,-20.615387
2018-07-27 12:30:00,-18.058964,-21.395035
2018-07-27 13:00:00,-24.650272,-20.193514
2018-07-27 13:30:00,-23.832281,-18.329145
2018-07-27 14:00:00,-14.167013,-18.702982
2018-07-27 14:30:00,-21.019697,-17.384182
2018-07-27 15:00:00,-22.745687,-16.36707
2018-07-27 15:30:00,-14.631099,-17.706154
2018-07-27 16:00:00,-13.521618,-14.687769
2018-07-27 16:30:00,-14.239326,-14.80804
2018-07-27 17:00:00,-11.147906,-12.772266
2018-07-27 17:30:00,-4.386371,-7.2105966
2018-07-27 18:00:00,-3.8519351,-3.7507892
2018-07-27 18:30:00,-0.7601273,-1.8850363
2018-07-27 19:00:00,2.3316808,1.4866979
2018-07-27 19:30:00,11.0862665,4.864204
2018-07-27 20:00:00,-27.292652,7.067834
2018-07-27 20:30:00,-24.57848,8.498955
2018-07-27 21:00:00,-21.864311,9.680116
2018-07-27 21:30:00,-19.15014,11.224857
2018-07-27 22:00:00,-16.435966,10.961561
2018-07-27 22:30:00,-13.721797,11.308941
2018-07-27 23:00:00,-11.007625,10.068489
2018-07-27 23:30:00,-8.293455,11.304034
2018-07-28 00:00:00,-5.579285,11.577123
2018-07-28 00:30:00,-2.8651147,13.566978
2018-07-28 01:00:00,-0.1509448,15.338143
2018-07-28 01:30:00,2.5632255,14.223279
2018-07-28 02:00:00,5.2773995,15.452629
2018-07-28 02:30:00,7.9915695,15.712395
2018-07-28 03:00:00,7.1563435,12.9614
2018-07-28 03:30:00,6.3211217,9.402452
2018-07-28 04:00:00,5.4859004,7.4545426
2018-07-28 04:30:00,4.6506743,4.3891997
2018-07-28 05:00:00,3.8154528,-0.18797497
2018-07-28 05:30:00,5.0560136,-1.7275478
2018-07-28 06:00:00,7.026395,-2.95906
2018-07-28 06:30:00,4.5030866,-7.002572
2018-07-28 07:00:00,-6.083057,-8.943203
2018-07-28 07:30:00,-4.4361296,-11.645688
2018-07-28 08:00:00,-4.6948647,-11.192329
2018-07-28 08:30:00,-2.858766,-17.707628
2018-07-28 09:00:00,-8.621086,-17.461615
