时间,真实值,预测值
2018-07-25 23:30:00,42.391376,8.671417
2018-07-26 00:00:00,7.7510285,8.189833
2018-07-26 00:30:00,7.4822836,7.4149036
2018-07-26 01:00:00,3.355278,7.390143
2018-07-26 01:30:00,4.7732563,7.723589
2018-07-26 02:00:00,4.843734,6.958286
2018-07-26 02:30:00,4.9142065,7.272262
2018-07-26 03:00:00,5.619554,7.739131
2018-07-26 03:30:00,4.443017,7.013868
2018-07-26 04:00:00,-2.9978292,6.999174
2018-07-26 04:30:00,10.351522,7.093482
2018-07-26 05:00:00,8.137016,6.897613
2018-07-26 05:30:00,17.288946,6.4788594
2018-07-26 06:00:00,7.157698,4.494811
2018-07-26 06:30:00,13.257681,4.5950522
2018-07-26 07:00:00,1.7393246,3.0916975
2018-07-26 07:30:00,-9.779031,0.6342217
2018-07-26 08:00:00,-7.134819,-2.1996553
2018-07-26 08:30:00,-8.1670065,-5.5437884
2018-07-26 09:00:00,-9.319551,-8.475045
2018-07-26 09:30:00,-12.254601,-11.532833
2018-07-26 10:00:00,-17.388987,-14.018765
2018-07-26 10:30:00,-24.315876,-15.842922
2018-07-26 11:00:00,-19.384172,-16.397497
2018-07-26 11:30:00,-31.685522,-16.636702
2018-07-26 12:00:00,-16.390364,-16.428288
2018-07-26 12:30:00,-15.588437,-16.862352
2018-07-26 13:00:00,-23.952736,-17.094788
2018-07-26 13:30:00,-18.220188,-16.570084
2018-07-26 14:00:00,-17.177326,-17.208227
2018-07-26 14:30:00,-24.131285,-16.001135
2018-07-26 15:00:00,-17.948454,-14.793608
2018-07-26 15:30:00,-22.859354,-14.174284
2018-07-26 16:00:00,-19.44365,-11.767301
2018-07-26 16:30:00,-12.525674,-9.715484
2018-07-26 17:00:00,-17.620943,-6.983076
2018-07-26 17:30:00,-4.0231433,-3.9491444
2018-07-26 18:00:00,-1.9767619,-1.8291525
2018-07-26 18:30:00,2.1956367,0.39917725
2018-07-26 19:00:00,6.368031,2.387342
2018-07-26 19:30:00,16.040987,4.173057
2018-07-26 20:00:00,25.713942,5.2835164
2018-07-26 20:30:00,15.029607,6.3130035
2018-07-26 21:00:00,17.568579,7.2797556
2018-07-26 21:30:00,17.224018,8.059024
2018-07-26 22:00:00,16.879456,8.587666
2018-07-26 22:30:00,16.534893,9.0617485
2018-07-26 23:00:00,16.190336,9.307149
2018-07-26 23:30:00,15.845774,11.306499
2018-07-27 00:00:00,15.501212,9.359869
2018-07-27 00:30:00,15.15665,8.158723
2018-07-27 01:00:00,14.812088,7.4829955
2018-07-27 01:30:00,14.4675255,7.1946497
2018-07-27 02:00:00,14.122968,7.199233
2018-07-27 02:30:00,13.778406,7.2716813
2018-07-27 03:00:00,13.433845,7.3235188
2018-07-27 03:30:00,13.089282,7.410757
2018-07-27 04:00:00,12.74472,7.0968766
2018-07-27 04:30:00,12.400158,7.5728116
2018-07-27 05:00:00,12.0556,7.422231
2018-07-27 05:30:00,11.711039,7.5146427
2018-07-27 06:00:00,11.366477,6.5498395
2018-07-27 06:30:00,2.2563095,5.9099054
2018-07-27 07:00:00,0.56336844,4.0910883
2018-07-27 07:30:00,-1.1295683,1.3472066
2018-07-27 08:00:00,-2.8225093,-1.1659038
2018-07-27 08:30:00,-4.5154505,-3.7774072
2018-07-27 09:00:00,-6.2083874,-6.3667064
2018-07-27 09:30:00,-7.9013286,-8.873704
2018-07-27 10:00:00,-9.594269,-11.746651
2018-07-27 10:30:00,-11.287206,-15.262529
2018-07-27 11:00:00,-12.980146,-17.478569
2018-07-27 11:30:00,-14.673086,-20.447084
2018-07-27 12:00:00,-16.366024,-20.77581
2018-07-27 12:30:00,-18.058964,-19.27743
2018-07-27 13:00:00,-24.650272,-19.667807
2018-07-27 13:30:00,-23.832281,-19.412476
2018-07-27 14:00:00,-14.167013,-19.383028
2018-07-27 14:30:00,-21.019697,-19.267063
2018-07-27 15:00:00,-22.745687,-17.484873
2018-07-27 15:30:00,-14.631099,-15.9009
2018-07-27 16:00:00,-13.521618,-14.335342
2018-07-27 16:30:00,-14.239326,-11.626975
2018-07-27 17:00:00,-11.147906,-9.861227
2018-07-27 17:30:00,-4.386371,-6.17418
2018-07-27 18:00:00,-3.8519351,-3.0112867
2018-07-27 18:30:00,-0.7601273,0.106160425
2018-07-27 19:00:00,2.3316808,3.273864
2018-07-27 19:30:00,11.0862665,5.9444933
2018-07-27 20:00:00,-27.292652,8.818533
2018-07-27 20:30:00,-24.57848,9.747601
2018-07-27 21:00:00,-21.864311,10.616501
2018-07-27 21:30:00,-19.15014,10.227197
2018-07-27 22:00:00,-16.435966,9.551648
2018-07-27 22:30:00,-13.721797,9.489149
2018-07-27 23:00:00,-11.007625,9.752966
2018-07-27 23:30:00,-8.293455,9.8349
2018-07-28 00:00:00,-5.579285,9.762718
2018-07-28 00:30:00,-2.8651147,9.807967
2018-07-28 01:00:00,-0.1509448,9.001338
2018-07-28 01:30:00,2.5632255,8.786484
2018-07-28 02:00:00,5.2773995,8.828937
2018-07-28 02:30:00,7.9915695,8.890723
2018-07-28 03:00:00,7.1563435,8.90329
2018-07-28 03:30:00,6.3211217,8.98771
2018-07-28 04:00:00,5.4859004,9.207256
2018-07-28 04:30:00,4.6506743,10.1406355
2018-07-28 05:00:00,3.8154528,9.887843
2018-07-28 05:30:00,5.0560136,8.990952
2018-07-28 06:00:00,7.026395,7.2750807
2018-07-28 06:30:00,4.5030866,5.1909213
2018-07-28 07:00:00,-6.083057,2.7877877
2018-07-28 07:30:00,-4.4361296,0.29939458
2018-07-28 08:00:00,-4.6948647,-2.3833597
2018-07-28 08:30:00,-2.858766,-4.91816
2018-07-28 09:00:00,-8.621086,-7.474863
2018-07-28 09:30:00,-13.9625,-9.727306
2018-07-28 10:00:00,-25.69164,-12.097247
2018-07-28 10:30:00,-18.475042,-14.026041
2018-07-28 11:00:00,-17.14543,-15.731703
2018-07-28 11:30:00,-24.660486,-17.2345
2018-07-28 12:00:00,-25.684952,-18.603409
2018-07-28 12:30:00,-28.317654,-19.743387
2018-07-28 13:00:00,-27.179781,-21.570202
2018-07-28 13:30:00,-24.388834,-22.684353
2018-07-28 14:00:00,-22.956675,-21.585205
2018-07-28 14:30:00,-19.48677,-21.484726
2018-07-28 15:00:00,-14.403572,-20.921743
2018-07-28 15:30:00,-14.702431,-18.227674
2018-07-28 16:00:00,-19.622494,-17.141788
2018-07-28 16:30:00,-19.665897,-14.928336
2018-07-28 17:00:00,-12.633283,-12.010747
2018-07-28 17:30:00,-11.377035,-8.17315
2018-07-28 18:00:00,-6.676593,-4.1362743
2018-07-28 18:30:00,-3.5327897,-0.7113348
2018-07-28 19:00:00,0.9774467,2.8641334
2018-07-28 19:30:00,2.4138944,5.9282045
2018-07-28 20:00:00,17.955074,5.105431
2018-07-28 20:30:00,15.900399,5.687882
2018-07-28 21:00:00,-22.039137,6.329297
2018-07-28 21:30:00,17.837612,7.025473
2018-07-28 22:00:00,20.475708,7.102229
2018-07-28 22:30:00,6.0276814,7.3321967
2018-07-28 23:00:00,12.873031,7.4494042
2018-07-28 23:30:00,19.718378,7.5734324
2018-07-29 00:00:00,26.563726,7.332476
2018-07-29 00:30:00,15.260902,6.8311553
2018-07-29 01:00:00,3.9580812,6.7388487
2018-07-29 01:30:00,2.3923185,6.8326406
2018-07-29 02:00:00,3.9359984,6.783573
2018-07-29 02:30:00,5.479678,6.632586
2018-07-29 03:00:00,7.0233583,6.3565574
2018-07-29 03:30:00,14.019747,6.02561
2018-07-29 04:00:00,9.38931,5.6509213
2018-07-29 04:30:00,-5.8243265,5.260879
2018-07-29 05:00:00,4.330454,4.7541227
2018-07-29 05:30:00,14.485239,4.4279165
2018-07-29 06:00:00,5.1508503,3.6209428
2018-07-29 06:30:00,-4.183542,2.1660695
2018-07-29 07:00:00,-13.51793,-0.53560865
2018-07-29 07:30:00,-6.413004,-3.1908972
2018-07-29 08:00:00,-5.727926,-5.923349
2018-07-29 08:30:00,-13.963234,-9.015698
2018-07-29 09:00:00,-14.274739,-12.34723
2018-07-29 09:30:00,-17.51702,-15.652651
2018-07-29 10:00:00,-18.040487,-19.859549
2018-07-29 10:30:00,-19.667141,-22.033815
2018-07-29 11:00:00,-22.21754,-24.225153
2018-07-29 11:30:00,-21.040516,-26.173443
2018-07-29 12:00:00,-26.42999,-27.43022
2018-07-29 12:30:00,-20.427803,-28.764254
2018-07-29 13:00:00,-18.281633,-29.662193
2018-07-29 13:30:00,-15.957052,-29.690403
2018-07-29 14:00:00,-14.039068,-28.435287
2018-07-29 14:30:00,-19.526794,-26.035799
2018-07-29 15:00:00,-21.105865,-21.90354
2018-07-29 15:30:00,-16.608442,-18.092838
2018-07-29 16:00:00,-18.312607,-14.880714
2018-07-29 16:30:00,-11.887125,-11.872711
2018-07-29 17:00:00,-7.2395434,-9.201282
2018-07-29 17:30:00,-5.302059,-6.275684
2018-07-29 18:00:00,-9.119257,-3.3437893
2018-07-29 18:30:00,-3.3777566,-0.3129076
2018-07-29 19:00:00,1.9233962,2.567704
2018-07-29 19:30:00,7.2245445,5.397137
2018-07-29 20:00:00,8.540316,8.42361
2018-07-29 20:30:00,13.223622,9.668624
2018-07-29 21:00:00,17.906923,8.41229
2018-07-29 21:30:00,22.590223,9.932467
2018-07-29 22:00:00,27.273525,9.898958
2018-07-29 22:30:00,15.010198,8.839261
2018-07-29 23:00:00,4.310023,8.881915
2018-07-29 23:30:00,18.545725,9.124204
2018-07-30 00:00:00,13.302598,8.852308
2018-07-30 00:30:00,8.059469,7.583508
2018-07-30 01:00:00,17.261284,6.5868826
2018-07-30 01:30:00,5.078612,6.2646656
2018-07-30 02:00:00,6.6328263,6.7635527
2018-07-30 02:30:00,6.3705044,6.720576
2018-07-30 03:00:00,6.1081862,6.8510184
2018-07-30 03:30:00,5.8458643,7.033683
2018-07-30 04:00:00,11.182226,6.951439
2018-07-30 04:30:00,15.435213,6.3327355
2018-07-30 05:00:00,5.798505,6.430089
2018-07-30 05:30:00,14.166801,6.5931964
2018-07-30 06:00:00,22.535091,5.437671
2018-07-30 06:30:00,30.903393,3.6885846
2018-07-30 07:00:00,-10.068308,1.2317817
2018-07-30 07:30:00,-8.541656,-2.0954552
2018-07-30 08:00:00,-6.605093,-5.5381956
2018-07-30 08:30:00,-14.874156,-10.033672
2018-07-30 09:00:00,-25.045712,-13.993078
2018-07-30 09:30:00,-23.805569,-17.244654
2018-07-30 10:00:00,-21.427992,-19.961226
2018-07-30 10:30:00,-22.410004,-21.363981
2018-07-30 11:00:00,-22.030146,-21.967142
2018-07-30 11:30:00,-23.283754,-21.99887
2018-07-30 12:00:00,-26.903828,-21.694067
2018-07-30 12:30:00,-21.077774,-21.754927
2018-07-30 13:00:00,-23.652575,-21.200123
2018-07-30 13:30:00,-20.546167,-19.894785
2018-07-30 14:00:00,-8.8564625,-18.462606
2018-07-30 14:30:00,-30.533598,-16.626589
2018-07-30 15:00:00,-23.422832,-15.20198
2018-07-30 15:30:00,-19.925797,-13.961103
2018-07-30 16:00:00,-21.415047,-13.388352
2018-07-30 16:30:00,-15.1754465,-11.700799
2018-07-30 17:00:00,36.191772,-9.064666
2018-07-30 17:30:00,-0.27224648,-5.7829924
2018-07-30 18:00:00,-0.71048284,-3.191911
2018-07-30 18:30:00,-3.0232806,-0.8121137
2018-07-30 19:00:00,1.5713015,1.9698467
2018-07-30 19:30:00,6.1658835,4.112533
2018-07-30 20:00:00,9.739595,6.252746
2018-07-30 20:30:00,6.2009344,8.098832
2018-07-30 21:00:00,6.7271867,9.365715
2018-07-30 21:30:00,11.883471,10.271729
2018-07-30 22:00:00,17.25459,10.367248
2018-07-30 22:30:00,22.625708,9.568614
2018-07-30 23:00:00,5.6632648,8.506763
