时间,真实值,预测值
2018-07-25 23:30:00,42.391376,8.400217
2018-07-26 00:00:00,7.7510285,8.444889
2018-07-26 00:30:00,7.4822836,8.269111
2018-07-26 01:00:00,3.355278,9.071213
2018-07-26 01:30:00,4.7732563,9.487729
2018-07-26 02:00:00,4.843734,8.920409
2018-07-26 02:30:00,4.9142065,8.039213
2018-07-26 03:00:00,5.619554,7.622784
2018-07-26 03:30:00,4.443017,6.5692086
2018-07-26 04:00:00,-2.9978292,5.762694
2018-07-26 04:30:00,10.351522,5.6592016
2018-07-26 05:00:00,8.137016,5.6033525
2018-07-26 05:30:00,17.288946,5.3064427
2018-07-26 06:00:00,7.157698,3.26149
2018-07-26 06:30:00,13.257681,2.5399106
2018-07-26 07:00:00,1.7393246,1.2179178
2018-07-26 07:30:00,-9.779031,-0.9697421
2018-07-26 08:00:00,-7.134819,-3.2516923
2018-07-26 08:30:00,-8.1670065,-5.9893656
2018-07-26 09:00:00,-9.319551,-9.443028
2018-07-26 09:30:00,-12.254601,-13.383979
2018-07-26 10:00:00,-17.388987,-15.108423
2018-07-26 10:30:00,-24.315876,-17.47908
2018-07-26 11:00:00,-19.384172,-18.097277
2018-07-26 11:30:00,-31.685522,-18.944567
2018-07-26 12:00:00,-16.390364,-18.714153
2018-07-26 12:30:00,-15.588437,-19.75041
2018-07-26 13:00:00,-23.952736,-22.416666
2018-07-26 13:30:00,-18.220188,-21.074959
2018-07-26 14:00:00,-17.177326,-23.169127
2018-07-26 14:30:00,-24.131285,-19.367712
2018-07-26 15:00:00,-17.948454,-19.535408
2018-07-26 15:30:00,-22.859354,-18.589828
2018-07-26 16:00:00,-19.44365,-17.369282
2018-07-26 16:30:00,-12.525674,-14.930076
2018-07-26 17:00:00,-17.620943,-12.092362
2018-07-26 17:30:00,-4.0231433,-10.25636
2018-07-26 18:00:00,-1.9767619,-5.3827653
2018-07-26 18:30:00,2.1956367,-2.872311
2018-07-26 19:00:00,6.368031,1.9191929
2018-07-26 19:30:00,16.040987,3.7794888
2018-07-26 20:00:00,25.713942,6.576973
2018-07-26 20:30:00,15.029607,7.5915914
2018-07-26 21:00:00,17.568579,6.9472837
2018-07-26 21:30:00,17.224018,7.235743
2018-07-26 22:00:00,16.879456,7.8291698
2018-07-26 22:30:00,16.534893,8.761522
2018-07-26 23:00:00,16.190336,9.086671
2018-07-26 23:30:00,15.845774,9.95077
2018-07-27 00:00:00,15.501212,10.30169
2018-07-27 00:30:00,15.15665,9.703858
2018-07-27 01:00:00,14.812088,9.478903
2018-07-27 01:30:00,14.4675255,8.537895
2018-07-27 02:00:00,14.122968,8.076929
2018-07-27 02:30:00,13.778406,7.067873
2018-07-27 03:00:00,13.433845,6.3845344
2018-07-27 03:30:00,13.089282,5.911422
2018-07-27 04:00:00,12.74472,5.051334
2018-07-27 04:30:00,12.400158,4.777752
2018-07-27 05:00:00,12.0556,4.1055946
2018-07-27 05:30:00,11.711039,4.206557
2018-07-27 06:00:00,11.366477,3.70843
2018-07-27 06:30:00,2.2563095,2.9268115
2018-07-27 07:00:00,0.56336844,1.0608356
2018-07-27 07:30:00,-1.1295683,-0.66602916
2018-07-27 08:00:00,-2.8225093,-2.7701733
2018-07-27 08:30:00,-4.5154505,-4.885547
2018-07-27 09:00:00,-6.2083874,-6.9314
2018-07-27 09:30:00,-7.9013286,-10.573775
2018-07-27 10:00:00,-9.594269,-13.240661
2018-07-27 10:30:00,-11.287206,-17.309204
2018-07-27 11:00:00,-12.980146,-18.346636
2018-07-27 11:30:00,-14.673086,-22.177841
2018-07-27 12:00:00,-16.366024,-21.975374
2018-07-27 12:30:00,-18.058964,-21.743643
2018-07-27 13:00:00,-24.650272,-23.873579
2018-07-27 13:30:00,-23.832281,-24.031439
2018-07-27 14:00:00,-14.167013,-23.950094
2018-07-27 14:30:00,-21.019697,-23.035946
2018-07-27 15:00:00,-22.745687,-21.414858
2018-07-27 15:30:00,-14.631099,-22.358877
2018-07-27 16:00:00,-13.521618,-20.134977
2018-07-27 16:30:00,-14.239326,-18.491436
2018-07-27 17:00:00,-11.147906,-14.8476515
2018-07-27 17:30:00,-4.386371,-11.252264
2018-07-27 18:00:00,-3.8519351,-7.2619934
2018-07-27 18:30:00,-0.7601273,-4.325362
2018-07-27 19:00:00,2.3316808,0.86083764
2018-07-27 19:30:00,11.0862665,3.2799375
2018-07-27 20:00:00,-27.292652,5.131669
2018-07-27 20:30:00,-24.57848,8.159877
2018-07-27 21:00:00,-21.864311,9.646756
2018-07-27 21:30:00,-19.15014,6.715669
2018-07-27 22:00:00,-16.435966,9.014402
2018-07-27 22:30:00,-13.721797,9.712894
2018-07-27 23:00:00,-11.007625,9.872052
2018-07-27 23:30:00,-8.293455,10.391344
2018-07-28 00:00:00,-5.579285,10.443029
2018-07-28 00:30:00,-2.8651147,9.657753
2018-07-28 01:00:00,-0.1509448,9.229387
2018-07-28 01:30:00,2.5632255,8.602788
2018-07-28 02:00:00,5.2773995,8.074076
2018-07-28 02:30:00,7.9915695,7.0763717
2018-07-28 03:00:00,7.1563435,6.104564
2018-07-28 03:30:00,6.3211217,5.9190636
2018-07-28 04:00:00,5.4859004,5.662448
2018-07-28 04:30:00,4.6506743,4.9675827
2018-07-28 05:00:00,3.8154528,3.6355581
2018-07-28 05:30:00,5.0560136,3.4179869
2018-07-28 06:00:00,7.026395,3.5216494
2018-07-28 06:30:00,4.5030866,2.7848952
2018-07-28 07:00:00,-6.083057,0.52117807
2018-07-28 07:30:00,-4.4361296,-0.9286616
2018-07-28 08:00:00,-4.6948647,-3.1493535
2018-07-28 08:30:00,-2.858766,-4.8798714
2018-07-28 09:00:00,-8.621086,-7.8149247
2018-07-28 09:30:00,-13.9625,-10.927984
2018-07-28 10:00:00,-25.69164,-12.706548
2018-07-28 10:30:00,-18.475042,-14.1294155
2018-07-28 11:00:00,-17.14543,-15.211046
2018-07-28 11:30:00,-24.660486,-16.875992
2018-07-28 12:00:00,-25.684952,-19.17896
2018-07-28 12:30:00,-28.317654,-19.121365
2018-07-28 13:00:00,-27.179781,-21.43937
2018-07-28 13:30:00,-24.388834,-23.102242
2018-07-28 14:00:00,-22.956675,-23.315395
2018-07-28 14:30:00,-19.48677,-25.712334
2018-07-28 15:00:00,-14.403572,-25.725607
2018-07-28 15:30:00,-14.702431,-23.613554
2018-07-28 16:00:00,-19.622494,-23.582615
2018-07-28 16:30:00,-19.665897,-22.209234
