时间,真实值,预测值
2018-07-25 23:30:00,42.391376,3.5332108
2018-07-26 00:00:00,7.7510285,3.3362408
2018-07-26 00:30:00,7.4822836,3.9096732
2018-07-26 01:00:00,3.355278,5.529528
2018-07-26 01:30:00,4.7732563,7.4168744
2018-07-26 02:00:00,4.843734,8.506291
2018-07-26 02:30:00,4.9142065,9.326898
2018-07-26 03:00:00,5.619554,9.254289
2018-07-26 03:30:00,4.443017,7.769358
2018-07-26 04:00:00,-2.9978292,5.4207053
2018-07-26 04:30:00,10.351522,2.0832267
2018-07-26 05:00:00,8.137016,-1.4026434
2018-07-26 05:30:00,17.288946,-4.4125085
2018-07-26 06:00:00,7.157698,-7.6389713
2018-07-26 06:30:00,13.257681,-9.5996
2018-07-26 07:00:00,1.7393246,-10.269481
2018-07-26 07:30:00,-9.779031,-11.75851
2018-07-26 08:00:00,-7.134819,-14.388416
2018-07-26 08:30:00,-8.1670065,-17.18618
2018-07-26 09:00:00,-9.319551,-19.223297
2018-07-26 09:30:00,-12.254601,-21.113335
2018-07-26 10:00:00,-17.388987,-22.781368
2018-07-26 10:30:00,-24.315876,-24.011795
2018-07-26 11:00:00,-19.384172,-24.749916
2018-07-26 11:30:00,-31.685522,-25.196987
2018-07-26 12:00:00,-16.390364,-24.887367
2018-07-26 12:30:00,-15.588437,-24.718336
2018-07-26 13:00:00,-23.952736,-24.142555
2018-07-26 13:30:00,-18.220188,-23.035204
2018-07-26 14:00:00,-17.177326,-22.592037
2018-07-26 14:30:00,-24.131285,-20.33245
2018-07-26 15:00:00,-17.948454,-19.066046
2018-07-26 15:30:00,-22.859354,-17.797487
2018-07-26 16:00:00,-19.44365,-15.017521
2018-07-26 16:30:00,-12.525674,-12.223923
2018-07-26 17:00:00,-17.620943,-9.632064
2018-07-26 17:30:00,-4.0231433,-6.62396
2018-07-26 18:00:00,-1.9767619,-3.3226986
2018-07-26 18:30:00,2.1956367,0.053404987
2018-07-26 19:00:00,6.368031,3.1053386
2018-07-26 19:30:00,16.040987,5.581043
2018-07-26 20:00:00,25.713942,7.2768283
2018-07-26 20:30:00,15.029607,8.696366
2018-07-26 21:00:00,17.568579,9.718881
2018-07-26 21:30:00,17.224018,10.238299
2018-07-26 22:00:00,16.879456,10.21224
2018-07-26 22:30:00,16.534893,9.297842
2018-07-26 23:00:00,16.190336,7.2336154
2018-07-26 23:30:00,15.845774,4.611608
2018-07-27 00:00:00,15.501212,1.3297249
2018-07-27 00:30:00,15.15665,0.02652479
2018-07-27 01:00:00,14.812088,1.111249
2018-07-27 01:30:00,14.4675255,3.6494615
2018-07-27 02:00:00,14.122968,6.4145994
2018-07-27 02:30:00,13.778406,8.051836
2018-07-27 03:00:00,13.433845,8.461068
2018-07-27 03:30:00,13.089282,8.083513
2018-07-27 04:00:00,12.74472,8.570241
2018-07-27 04:30:00,12.400158,9.9084835
2018-07-27 05:00:00,12.0556,10.60113
2018-07-27 05:30:00,11.711039,9.987901
2018-07-27 06:00:00,11.366477,8.719777
2018-07-27 06:30:00,2.2563095,6.9882154
2018-07-27 07:00:00,0.56336844,5.3162866
2018-07-27 07:30:00,-1.1295683,4.0477705
2018-07-27 08:00:00,-2.8225093,0.77646124
2018-07-27 08:30:00,-4.5154505,-3.8815637
2018-07-27 09:00:00,-6.2083874,-8.390577
2018-07-27 09:30:00,-7.9013286,-11.911725
2018-07-27 10:00:00,-9.594269,-14.091269
2018-07-27 10:30:00,-11.287206,-15.284318
2018-07-27 11:00:00,-12.980146,-16.219524
2018-07-27 11:30:00,-14.673086,-17.289822
2018-07-27 12:00:00,-16.366024,-16.907946
2018-07-27 12:30:00,-18.058964,-15.876488
2018-07-27 13:00:00,-24.650272,-16.245562
2018-07-27 13:30:00,-23.832281,-16.138107
2018-07-27 14:00:00,-14.167013,-15.603221
2018-07-27 14:30:00,-21.019697,-15.546074
2018-07-27 15:00:00,-22.745687,-14.370706
2018-07-27 15:30:00,-14.631099,-13.587081
2018-07-27 16:00:00,-13.521618,-12.109105
2018-07-27 16:30:00,-14.239326,-9.141676
2018-07-27 17:00:00,-11.147906,-6.774912
2018-07-27 17:30:00,-4.386371,-3.0192826
2018-07-27 18:00:00,-3.8519351,0.024742099
2018-07-27 18:30:00,-0.7601273,2.4987426
2018-07-27 19:00:00,2.3316808,4.4884453
2018-07-27 19:30:00,11.0862665,6.4203844
2018-07-27 20:00:00,-27.292652,8.330696
2018-07-27 20:30:00,-24.57848,8.987426
2018-07-27 21:00:00,-21.864311,9.070504
2018-07-27 21:30:00,-19.15014,8.171565
2018-07-27 22:00:00,-16.435966,8.232788
2018-07-27 22:30:00,-13.721797,10.4749775
2018-07-27 23:00:00,-11.007625,14.66003
2018-07-27 23:30:00,-8.293455,19.568584
2018-07-28 00:00:00,-5.579285,24.076828
2018-07-28 00:30:00,-2.8651147,27.389025
2018-07-28 01:00:00,-0.1509448,28.345823
2018-07-28 01:30:00,2.5632255,26.755768
2018-07-28 02:00:00,5.2773995,22.554287
2018-07-28 02:30:00,7.9915695,16.802197
2018-07-28 03:00:00,7.1563435,10.680215
2018-07-28 03:30:00,6.3211217,5.450111
2018-07-28 04:00:00,5.4859004,2.2011466
2018-07-28 04:30:00,4.6506743,0.26378882
2018-07-28 05:00:00,3.8154528,-1.1671184
2018-07-28 05:30:00,5.0560136,-1.3729144
2018-07-28 06:00:00,7.026395,-0.9671861
2018-07-28 06:30:00,4.5030866,-0.5279186
2018-07-28 07:00:00,-6.083057,-0.13702844
2018-07-28 07:30:00,-4.4361296,-0.17739679
2018-07-28 08:00:00,-4.6948647,-0.013052715
2018-07-28 08:30:00,-2.858766,0.38295388
2018-07-28 09:00:00,-8.621086,1.5938691
2018-07-28 09:30:00,-13.9625,3.0987582
2018-07-28 10:00:00,-25.69164,5.079547
2018-07-28 10:30:00,-18.475042,6.8986964
2018-07-28 11:00:00,-17.14543,7.912279
2018-07-28 11:30:00,-24.660486,7.401835
2018-07-28 12:00:00,-25.684952,4.6995015
2018-07-28 12:30:00,-28.317654,-0.65804195
2018-07-28 13:00:00,-27.179781,-7.4875126
2018-07-28 13:30:00,-24.388834,-14.761239
2018-07-28 14:00:00,-22.956675,-19.841593
2018-07-28 14:30:00,-19.48677,-23.058838
2018-07-28 15:00:00,-14.403572,-25.807022
2018-07-28 15:30:00,-14.702431,-26.58645
2018-07-28 16:00:00,-19.622494,-25.806744
2018-07-28 16:30:00,-19.665897,-23.410807
2018-07-28 17:00:00,-12.633283,-19.646158
2018-07-28 17:30:00,-11.377035,-15.741071
2018-07-28 18:00:00,-6.676593,-12.608417
2018-07-28 18:30:00,-3.5327897,-9.701143
2018-07-28 19:00:00,0.9774467,-6.3525844
2018-07-28 19:30:00,2.4138944,-2.7288873
2018-07-28 20:00:00,17.955074,0.6601581
2018-07-28 20:30:00,15.900399,5.0004005
2018-07-28 21:00:00,-22.039137,9.178751
2018-07-28 21:30:00,17.837612,13.106336
2018-07-28 22:00:00,20.475708,15.675474
2018-07-28 22:30:00,6.0276814,15.900679
2018-07-28 23:00:00,12.873031,14.54676
2018-07-28 23:30:00,19.718378,12.837612
2018-07-29 00:00:00,26.563726,11.476292
2018-07-29 00:30:00,15.260902,10.785175
2018-07-29 01:00:00,3.9580812,10.595406
2018-07-29 01:30:00,2.3923185,10.488916
2018-07-29 02:00:00,3.9359984,10.157161
2018-07-29 02:30:00,5.479678,9.3897295
2018-07-29 03:00:00,7.0233583,8.359682
2018-07-29 03:30:00,14.019747,7.174376
2018-07-29 04:00:00,9.38931,5.8681083
2018-07-29 04:30:00,-5.8243265,4.4974284
2018-07-29 05:00:00,4.330454,3.24604
2018-07-29 05:30:00,14.485239,2.3546941
2018-07-29 06:00:00,5.1508503,2.0680563
2018-07-29 06:30:00,-4.183542,2.305111
2018-07-29 07:00:00,-13.51793,2.3485596
2018-07-29 07:30:00,-6.413004,2.1543946
2018-07-29 08:00:00,-5.727926,2.031153
2018-07-29 08:30:00,-13.963234,1.4091246
2018-07-29 09:00:00,-14.274739,0.381027
2018-07-29 09:30:00,-17.51702,-1.2767147
2018-07-29 10:00:00,-18.040487,-3.44608
2018-07-29 10:30:00,-19.667141,-6.4776177
2018-07-29 11:00:00,-22.21754,-10.077414
2018-07-29 11:30:00,-21.040516,-13.840978
2018-07-29 12:00:00,-26.42999,-17.236433
2018-07-29 12:30:00,-20.427803,-20.773907
2018-07-29 13:00:00,-18.281633,-24.182697
2018-07-29 13:30:00,-15.957052,-27.33495
2018-07-29 14:00:00,-14.039068,-29.250912
2018-07-29 14:30:00,-19.526794,-28.981789
2018-07-29 15:00:00,-21.105865,-27.940271
2018-07-29 15:30:00,-16.608442,-25.425596
2018-07-29 16:00:00,-18.312607,-22.972721
2018-07-29 16:30:00,-11.887125,-20.841127
2018-07-29 17:00:00,-7.2395434,-17.816021
2018-07-29 17:30:00,-5.302059,-15.494341
2018-07-29 18:00:00,-9.119257,-13.266649
2018-07-29 18:30:00,-3.3777566,-11.108565
2018-07-29 19:00:00,1.9233962,-9.201011
2018-07-29 19:30:00,7.2245445,-7.323802
2018-07-29 20:00:00,8.540316,-4.562884
2018-07-29 20:30:00,13.223622,-1.5426897
2018-07-29 21:00:00,17.906923,3.2831182
2018-07-29 21:30:00,22.590223,7.0792904
2018-07-29 22:00:00,27.273525,9.301652
2018-07-29 22:30:00,15.010198,11.645822
2018-07-29 23:00:00,4.310023,12.47792
2018-07-29 23:30:00,18.545725,11.774927
2018-07-30 00:00:00,13.302598,9.958067
2018-07-30 00:30:00,8.059469,9.097673
2018-07-30 01:00:00,17.261284,9.547541
2018-07-30 01:30:00,5.078612,10.492718
2018-07-30 02:00:00,6.6328263,11.422741
2018-07-30 02:30:00,6.3705044,12.24048
2018-07-30 03:00:00,6.1081862,13.007554
2018-07-30 03:30:00,5.8458643,13.403705
2018-07-30 04:00:00,11.182226,13.076676
2018-07-30 04:30:00,15.435213,11.486472
2018-07-30 05:00:00,5.798505,8.318305
2018-07-30 05:30:00,14.166801,7.2416377
2018-07-30 06:00:00,22.535091,5.9889035
2018-07-30 06:30:00,30.903393,5.040677
2018-07-30 07:00:00,-10.068308,3.4269133
2018-07-30 07:30:00,-8.541656,0.33498287
2018-07-30 08:00:00,-6.605093,-4.006566
2018-07-30 08:30:00,-14.874156,-10.9635515
2018-07-30 09:00:00,-25.045712,-18.91245
2018-07-30 09:30:00,-23.805569,-25.107765
2018-07-30 10:00:00,-21.427992,-28.925713
2018-07-30 10:30:00,-22.410004,-29.99969
2018-07-30 11:00:00,-22.030146,-29.25221
2018-07-30 11:30:00,-23.283754,-27.67342
2018-07-30 12:00:00,-26.903828,-26.111216
2018-07-30 12:30:00,-21.077774,-24.81822
2018-07-30 13:00:00,-23.652575,-23.236113
2018-07-30 13:30:00,-20.546167,-21.95874
2018-07-30 14:00:00,-8.8564625,-21.226645
2018-07-30 14:30:00,-30.533598,-19.403494
2018-07-30 15:00:00,-23.422832,-17.112667
2018-07-30 15:30:00,-19.925797,-15.218533
2018-07-30 16:00:00,-21.415047,-13.50199
2018-07-30 16:30:00,-15.1754465,-11.09284
2018-07-30 17:00:00,36.191772,-7.9933686
2018-07-30 17:30:00,-0.27224648,-4.4903617
2018-07-30 18:00:00,-0.71048284,-1.3875343
2018-07-30 18:30:00,-3.0232806,1.5418128
2018-07-30 19:00:00,1.5713015,3.990244
2018-07-30 19:30:00,6.1658835,4.979734
2018-07-30 20:00:00,9.739595,4.958254
2018-07-30 20:30:00,6.2009344,3.7569036
2018-07-30 21:00:00,6.7271867,2.1682673
2018-07-30 21:30:00,11.883471,1.4411038
2018-07-30 22:00:00,17.25459,2.403255
2018-07-30 22:30:00,22.625708,4.5324445
2018-07-30 23:00:00,5.6632648,6.9218717
2018-07-30 23:30:00,27.127573,9.425758
2018-07-31 00:00:00,8.04228,11.4754
2018-07-31 00:30:00,5.302274,12.972005
2018-07-31 01:00:00,2.5622685,13.696748
2018-07-31 01:30:00,17.940868,13.921524
2018-07-31 02:00:00,6.450542,14.161698
2018-07-31 02:30:00,11.606559,13.839336
2018-07-31 03:00:00,16.762571,12.5266285
2018-07-31 03:30:00,30.142332,9.991859
2018-07-31 04:00:00,25.945297,6.9575167
2018-07-31 04:30:00,21.748264,3.809056
2018-07-31 05:00:00,17.551233,0.82912934
2018-07-31 05:30:00,13.354199,-1.2828536
2018-07-31 06:00:00,6.421062,-2.9632807
2018-07-31 06:30:00,6.8559074,-4.583368
2018-07-31 07:00:00,-6.534231,-7.2364326
2018-07-31 07:30:00,-6.212875,-10.661931
2018-07-31 08:00:00,-16.457838,-14.758841
2018-07-31 08:30:00,-18.107769,-19.104116
2018-07-31 09:00:00,-21.004599,-23.514755
2018-07-31 09:30:00,-23.221128,-26.3992
2018-07-31 10:00:00,-30.873781,-26.529758
2018-07-31 10:30:00,-28.654419,-25.123615
2018-07-31 11:00:00,-22.983656,-23.777374
2018-07-31 11:30:00,-25.59316,-23.132385
2018-07-31 12:00:00,-26.0685,-23.361715
2018-07-31 12:30:00,-25.63467,-23.610256
2018-07-31 13:00:00,-27.20523,-23.69829
2018-07-31 13:30:00,-26.098606,-23.276997
2018-07-31 14:00:00,-26.727377,-21.410337
2018-07-31 14:30:00,-21.440096,-20.356853
2018-07-31 15:00:00,-20.669367,-18.068893
2018-07-31 15:30:00,-20.650873,-14.99406
2018-07-31 16:00:00,-16.5043,-13.011899
2018-07-31 16:30:00,-18.329731,-11.708017
2018-07-31 17:00:00,-12.977027,-8.467512
2018-07-31 17:30:00,-9.91989,-9.154967
2018-07-31 18:00:00,-2.2094252,-9.067712
2018-07-31 18:30:00,-1.9211621,-9.8706
2018-07-31 19:00:00,0.15403968,-10.121745
2018-07-31 19:30:00,2.2292414,-8.572403
2018-07-31 20:00:00,5.588667,-4.635861
2018-07-31 20:30:00,8.948093,1.0205414
2018-07-31 21:00:00,9.080121,6.8909626
2018-07-31 21:30:00,9.755941,11.603369
2018-07-31 22:00:00,6.990431,14.538196
2018-07-31 22:30:00,5.47374,15.939347
2018-07-31 23:00:00,14.260598,17.17117
2018-07-31 23:30:00,36.07665,16.863726
2018-08-01 00:00:00,13.5728855,16.60327
2018-08-01 00:30:00,17.98797,16.386112
2018-08-01 01:00:00,22.159546,16.179031
2018-08-01 01:30:00,26.33113,15.775873
2018-08-01 02:00:00,24.87183,14.959697
2018-08-01 02:30:00,22.024067,14.664758
2018-08-01 03:00:00,15.59901,14.460046
2018-08-01 03:30:00,9.173958,13.549973
2018-08-01 04:00:00,19.954016,11.67784
2018-08-01 04:30:00,30.73408,8.972238
2018-08-01 05:00:00,41.51414,5.742044
2018-08-01 05:30:00,27.40485,2.7590857
2018-08-01 06:00:00,13.295563,0.4633367
2018-08-01 06:30:00,-0.81372166,-1.2444121
2018-08-01 07:00:00,-14.923012,-3.4298172
2018-08-01 07:30:00,-35.049557,-6.691969
2018-08-01 08:00:00,-9.939661,-11.7169485
2018-08-01 08:30:00,-16.798828,-17.597038
2018-08-01 09:00:00,-17.137207,-22.315634
2018-08-01 09:30:00,-21.265368,-25.011614
2018-08-01 10:00:00,-26.13217,-26.254936
2018-08-01 10:30:00,-22.777262,-26.39794
2018-08-01 11:00:00,-23.039085,-25.841995
2018-08-01 11:30:00,-28.955797,-25.704477
2018-08-01 12:00:00,-30.114344,-25.893032
2018-08-01 12:30:00,-28.585165,-25.929811
2018-08-01 13:00:00,-23.287918,-25.852818
2018-08-01 13:30:00,-11.857999,-25.351004
2018-08-01 14:00:00,-27.894735,-24.21358
2018-08-01 14:30:00,-33.17802,-22.14099
2018-08-01 15:00:00,-27.934544,-19.256176
2018-08-01 15:30:00,-27.578918,-16.21755
2018-08-01 16:00:00,-20.216751,-12.816603
2018-08-01 16:30:00,-12.428356,-9.224557
2018-08-01 17:00:00,-15.75781,-5.6005244
2018-08-01 17:30:00,-10.682598,-2.558234
2018-08-01 18:00:00,-4.0719404,0.07344279
2018-08-01 18:30:00,2.538722,1.9204862
2018-08-01 19:00:00,2.7293828,3.5714948
2018-08-01 19:30:00,6.1297884,5.1971173
2018-08-01 20:00:00,7.883769,6.3646407
2018-08-01 20:30:00,9.637746,7.170749
2018-08-01 21:00:00,11.391727,7.920817
2018-08-01 21:30:00,23.195076,8.799492
2018-08-01 22:00:00,15.094968,10.435112
2018-08-01 22:30:00,6.9948616,12.885527
2018-08-01 23:00:00,5.1166997,15.58218
2018-08-01 23:30:00,3.2385378,17.731407
2018-08-02 00:00:00,12.27693,19.811195
2018-08-02 00:30:00,21.315315,20.041521
2018-08-02 01:00:00,30.353703,19.39471
2018-08-02 01:30:00,13.152634,17.987967
2018-08-02 02:00:00,11.590113,17.174334
2018-08-02 02:30:00,10.027596,17.400919
2018-08-02 03:00:00,8.481373,19.528446
2018-08-02 03:30:00,1.7450178,22.868372
2018-08-02 04:00:00,4.437442,26.187508
2018-08-02 04:30:00,3.6752841,27.12232
2018-08-02 05:00:00,-6.852739,24.547232
2018-08-02 05:30:00,-3.7958415,19.479702
2018-08-02 06:00:00,-0.7389447,13.907612
2018-08-02 06:30:00,2.3179524,8.280711
2018-08-02 07:00:00,-1.3893694,1.9495249
2018-08-02 07:30:00,-7.534911,-5.9637566
2018-08-02 08:00:00,-11.005492,-14.669651
2018-08-02 08:30:00,-19.157345,-22.965555
2018-08-02 09:00:00,-18.080477,-29.543072
2018-08-02 09:30:00,-29.290564,-32.604458
2018-08-02 10:00:00,-26.63439,-32.661938
2018-08-02 10:30:00,-28.925701,-30.756287
2018-08-02 11:00:00,-26.574846,-28.243206
2018-08-02 11:30:00,-22.44857,-26.545326
2018-08-02 12:00:00,-33.040276,-25.523842
2018-08-02 12:30:00,-27.32369,-24.732174
2018-08-02 13:00:00,-29.89873,-23.34711
2018-08-02 13:30:00,-21.24728,-22.199814
2018-08-02 14:00:00,-23.454506,-21.800407
2018-08-02 14:30:00,-23.745384,-19.651093
2018-08-02 15:00:00,-25.22357,-17.183605
2018-08-02 15:30:00,-24.638023,-15.755016
2018-08-02 16:00:00,-19.42946,-14.982982
2018-08-02 16:30:00,-18.290962,-12.816214
2018-08-02 17:00:00,-12.41755,-9.967079
2018-08-02 17:30:00,-5.326344,-6.4195666
2018-08-02 18:00:00,-1.2854402,-1.9413573
2018-08-02 18:30:00,2.7320218,2.2118034
2018-08-02 19:00:00,3.2371004,5.1073275
2018-08-02 19:30:00,8.565526,7.2066393
2018-08-02 20:00:00,6.9102755,8.25314
2018-08-02 20:30:00,5.328608,8.52237
2018-08-02 21:00:00,6.5611734,8.270155
2018-08-02 21:30:00,5.91372,8.7328415
2018-08-02 22:00:00,7.615234,10.663218
2018-08-02 22:30:00,8.415929,13.884961
2018-08-02 23:00:00,9.468793,18.237202
2018-08-02 23:30:00,6.566788,21.592855
2018-08-03 00:00:00,3.6647847,21.901794
2018-08-03 00:30:00,42.187325,20.568464
2018-08-03 01:00:00,7.903396,18.62428
2018-08-03 01:30:00,-47.063297,17.047937
2018-08-03 02:00:00,-25.337866,15.459157
2018-08-03 02:30:00,-3.6124296,14.018838
2018-08-03 03:00:00,18.112999,13.248095
2018-08-03 03:30:00,12.649123,13.126251
2018-08-03 04:00:00,7.185247,13.476262
2018-08-03 04:30:00,1.7213665,14.246926
2018-08-03 05:00:00,3.8154266,14.897827
2018-08-03 05:30:00,5.9094863,14.987993
2018-08-03 06:00:00,8.003546,13.749634
2018-08-03 06:30:00,-0.7397094,10.763232
2018-08-03 07:00:00,-9.48296,6.4909406
2018-08-03 07:30:00,-11.313348,0.79877114
2018-08-03 08:00:00,-13.545254,-6.598561
2018-08-03 08:30:00,-18.024336,-14.907344
2018-08-03 09:00:00,-21.095913,-22.371508
2018-08-03 09:30:00,-15.17012,-28.33034
2018-08-03 10:00:00,-21.497509,-31.834236
2018-08-03 10:30:00,-19.045546,-32.52376
2018-08-03 11:00:00,-24.063637,-31.27826
2018-08-03 11:30:00,-26.764723,-29.162697
2018-08-03 12:00:00,-24.815437,-28.099209
2018-08-03 12:30:00,-22.155897,-26.956066
2018-08-03 13:00:00,-16.84306,-25.67315
2018-08-03 13:30:00,-20.262878,-23.876995
