时间,真实值,预测值
2018-07-25 23:30:00,42.391376,4.859944
2018-07-26 00:00:00,7.7510285,4.049418
2018-07-26 00:30:00,7.4822836,2.5409155
2018-07-26 01:00:00,3.355278,2.7430065
2018-07-26 01:30:00,4.7732563,1.7751356
2018-07-26 02:00:00,4.843734,4.6040797
2018-07-26 02:30:00,4.9142065,6.175649
2018-07-26 03:00:00,5.619554,4.8476615
2018-07-26 03:30:00,4.443017,4.459022
2018-07-26 04:00:00,-2.9978292,3.2673275
2018-07-26 04:30:00,10.351522,3.4577522
2018-07-26 05:00:00,8.137016,2.4437413
2018-07-26 05:30:00,17.288946,2.1197107
2018-07-26 06:00:00,7.157698,-0.5904701
2018-07-26 06:30:00,13.257681,-1.4619879
2018-07-26 07:00:00,1.7393246,-0.59852713
2018-07-26 07:30:00,-9.779031,-2.7586033
2018-07-26 08:00:00,-7.134819,-8.924655
2018-07-26 08:30:00,-8.1670065,-7.283154
2018-07-26 09:00:00,-9.319551,-7.1649284
2018-07-26 09:30:00,-12.254601,-9.465256
2018-07-26 10:00:00,-17.388987,-12.049464
2018-07-26 10:30:00,-24.315876,-14.297652
2018-07-26 11:00:00,-19.384172,-13.202123
2018-07-26 11:30:00,-31.685522,-14.485127
2018-07-26 12:00:00,-16.390364,-14.70498
2018-07-26 12:30:00,-15.588437,-15.241383
2018-07-26 13:00:00,-23.952736,-14.76096
2018-07-26 13:30:00,-18.220188,-15.768286
2018-07-26 14:00:00,-17.177326,-13.873599
2018-07-26 14:30:00,-24.131285,-14.169565
2018-07-26 15:00:00,-17.948454,-14.56534
2018-07-26 15:30:00,-22.859354,-14.6239805
2018-07-26 16:00:00,-19.44365,-11.2226925
2018-07-26 16:30:00,-12.525674,-11.066444
2018-07-26 17:00:00,-17.620943,-6.9662366
2018-07-26 17:30:00,-4.0231433,-4.4083796
2018-07-26 18:00:00,-1.9767619,-1.6478947
2018-07-26 18:30:00,2.1956367,1.6037395
2018-07-26 19:00:00,6.368031,3.6648896
2018-07-26 19:30:00,16.040987,5.9327745
2018-07-26 20:00:00,25.713942,6.6565695
2018-07-26 20:30:00,15.029607,6.083718
2018-07-26 21:00:00,17.568579,9.12038
2018-07-26 21:30:00,17.224018,7.925929
2018-07-26 22:00:00,16.879456,6.8895297
2018-07-26 22:30:00,16.534893,8.001518
2018-07-26 23:00:00,16.190336,7.7781577
2018-07-26 23:30:00,15.845774,7.519104
2018-07-27 00:00:00,15.501212,5.328866
2018-07-27 00:30:00,15.15665,6.394942
2018-07-27 01:00:00,14.812088,7.5970488
2018-07-27 01:30:00,14.4675255,5.476327
2018-07-27 02:00:00,14.122968,5.670011
2018-07-27 02:30:00,13.778406,6.0331388
2018-07-27 03:00:00,13.433845,8.395502
2018-07-27 03:30:00,13.089282,9.854295
2018-07-27 04:00:00,12.74472,7.6865635
2018-07-27 04:30:00,12.400158,6.737708
2018-07-27 05:00:00,12.0556,5.20832
2018-07-27 05:30:00,11.711039,6.7221007
2018-07-27 06:00:00,11.366477,6.779588
2018-07-27 06:30:00,2.2563095,1.8015964
2018-07-27 07:00:00,0.56336844,3.228331
2018-07-27 07:30:00,-1.1295683,-0.2863551
2018-07-27 08:00:00,-2.8225093,-2.5309255
2018-07-27 08:30:00,-4.5154505,-5.8291197
2018-07-27 09:00:00,-6.2083874,-7.773241
2018-07-27 09:30:00,-7.9013286,-11.5984955
2018-07-27 10:00:00,-9.594269,-10.508803
2018-07-27 10:30:00,-11.287206,-16.309652
2018-07-27 11:00:00,-12.980146,-15.284075
2018-07-27 11:30:00,-14.673086,-18.685627
2018-07-27 12:00:00,-16.366024,-17.654846
2018-07-27 12:30:00,-18.058964,-16.05352
2018-07-27 13:00:00,-24.650272,-18.222363
2018-07-27 13:30:00,-23.832281,-19.087559
