时间,真实值,预测值
2018-07-25 23:30:00,42.391376,6.244982
2018-07-26 00:00:00,7.7510285,5.9932637
2018-07-26 00:30:00,7.4822836,5.8595753
2018-07-26 01:00:00,3.355278,6.4709425
2018-07-26 01:30:00,4.7732563,7.0303493
2018-07-26 02:00:00,4.843734,5.648964
2018-07-26 02:30:00,4.9142065,6.2115083
2018-07-26 03:00:00,5.619554,6.7544513
2018-07-26 03:30:00,4.443017,5.256641
2018-07-26 04:00:00,-2.9978292,5.5324426
2018-07-26 04:30:00,10.351522,5.716741
2018-07-26 05:00:00,8.137016,5.7531075
2018-07-26 05:30:00,17.288946,5.585748
2018-07-26 06:00:00,7.157698,-1.3513868
2018-07-26 06:30:00,13.257681,4.675798
2018-07-26 07:00:00,1.7393246,2.4154499
2018-07-26 07:30:00,-9.779031,-4.679227
2018-07-26 08:00:00,-7.134819,-7.3529325
2018-07-26 08:30:00,-8.1670065,-12.21535
2018-07-26 09:00:00,-9.319551,-12.993766
2018-07-26 09:30:00,-12.254601,-18.203154
2018-07-26 10:00:00,-17.388987,-16.80085
2018-07-26 10:30:00,-24.315876,-17.941124
2018-07-26 11:00:00,-19.384172,-16.91035
2018-07-26 11:30:00,-31.685522,-17.596062
2018-07-26 12:00:00,-16.390364,-14.360293
2018-07-26 12:30:00,-15.588437,-17.809326
2018-07-26 13:00:00,-23.952736,-17.746407
2018-07-26 13:30:00,-18.220188,-15.396789
2018-07-26 14:00:00,-17.177326,-16.95695
2018-07-26 14:30:00,-24.131285,-13.28249
2018-07-26 15:00:00,-17.948454,-15.711189
2018-07-26 15:30:00,-22.859354,-17.142796
2018-07-26 16:00:00,-19.44365,-12.583219
2018-07-26 16:30:00,-12.525674,-11.392922
2018-07-26 17:00:00,-17.620943,-7.9542108
2018-07-26 17:30:00,-4.0231433,-4.2584367
2018-07-26 18:00:00,-1.9767619,-1.6406634
2018-07-26 18:30:00,2.1956367,1.381104
2018-07-26 19:00:00,6.368031,3.405167
2018-07-26 19:30:00,16.040987,4.580922
2018-07-26 20:00:00,25.713942,5.2074203
2018-07-26 20:30:00,15.029607,5.429431
2018-07-26 21:00:00,17.568579,5.7081294
2018-07-26 21:30:00,17.224018,5.7605395
2018-07-26 22:00:00,16.879456,5.795385
2018-07-26 22:30:00,16.534893,6.06867
2018-07-26 23:00:00,16.190336,6.0351615
2018-07-26 23:30:00,15.845774,9.156488
2018-07-27 00:00:00,15.501212,5.846664
2018-07-27 00:30:00,15.15665,5.855031
2018-07-27 01:00:00,14.812088,5.4688163
2018-07-27 01:30:00,14.4675255,5.3781915
2018-07-27 02:00:00,14.122968,5.4407997
2018-07-27 02:30:00,13.778406,5.468759
2018-07-27 03:00:00,13.433845,5.4639835
2018-07-27 03:30:00,13.089282,5.41156
2018-07-27 04:00:00,12.74472,4.50684
2018-07-27 04:30:00,12.400158,5.8308597
2018-07-27 05:00:00,12.0556,5.6562567
2018-07-27 05:30:00,11.711039,6.2835937
2018-07-27 06:00:00,11.366477,5.401004
2018-07-27 06:30:00,2.2563095,5.866055
2018-07-27 07:00:00,0.56336844,4.2161565
2018-07-27 07:30:00,-1.1295683,-2.4199793
2018-07-27 08:00:00,-2.8225093,-2.8754046
2018-07-27 08:30:00,-4.5154505,-5.4592023
2018-07-27 09:00:00,-6.2083874,-6.9680457
2018-07-27 09:30:00,-7.9013286,-9.190581
2018-07-27 10:00:00,-9.594269,-12.764878
2018-07-27 10:30:00,-11.287206,-17.824177
2018-07-27 11:00:00,-12.980146,-15.479059
2018-07-27 11:30:00,-14.673086,-20.779545
2018-07-27 12:00:00,-16.366024,-14.984847
2018-07-27 12:30:00,-18.058964,-13.843588
2018-07-27 13:00:00,-24.650272,-18.75105
2018-07-27 13:30:00,-23.832281,-15.911196
2018-07-27 14:00:00,-14.167013,-14.422024
2018-07-27 14:30:00,-21.019697,-19.785528
2018-07-27 15:00:00,-22.745687,-15.303289
2018-07-27 15:30:00,-14.631099,-17.496363
2018-07-27 16:00:00,-13.521618,-16.903835
2018-07-27 16:30:00,-14.239326,-10.3694515
2018-07-27 17:00:00,-11.147906,-12.929537
2018-07-27 17:30:00,-4.386371,-4.2777014
2018-07-27 18:00:00,-3.8519351,-2.428849
2018-07-27 18:30:00,-0.7601273,2.5127158
2018-07-27 19:00:00,2.3316808,5.170696
2018-07-27 19:30:00,11.0862665,6.9532
2018-07-27 20:00:00,-27.292652,8.404031
2018-07-27 20:30:00,-24.57848,7.2337856
2018-07-27 21:00:00,-21.864311,7.430769
2018-07-27 21:30:00,-19.15014,6.7390933
2018-07-27 22:00:00,-16.435966,5.55771
2018-07-27 22:30:00,-13.721797,6.2313666
2018-07-27 23:00:00,-11.007625,6.2176604
2018-07-27 23:30:00,-8.293455,5.808471
2018-07-28 00:00:00,-5.579285,5.4999433
2018-07-28 00:30:00,-2.8651147,5.7640047
2018-07-28 01:00:00,-0.1509448,4.8145595
2018-07-28 01:30:00,2.5632255,4.5668793
2018-07-28 02:00:00,5.2773995,4.61187
2018-07-28 02:30:00,7.9915695,4.565743
2018-07-28 03:00:00,7.1563435,4.511598
2018-07-28 03:30:00,6.3211217,4.732062
2018-07-28 04:00:00,5.4859004,5.237031
2018-07-28 04:30:00,4.6506743,5.566991
2018-07-28 05:00:00,3.8154528,4.7497797
2018-07-28 05:30:00,5.0560136,4.8792257
2018-07-28 06:00:00,7.026395,4.8723264
2018-07-28 06:30:00,4.5030866,4.5115676
2018-07-28 07:00:00,-6.083057,4.207496
2018-07-28 07:30:00,-4.4361296,3.8103144
2018-07-28 08:00:00,-4.6948647,3.3906915
2018-07-28 08:30:00,-2.858766,3.110197
2018-07-28 09:00:00,-8.621086,2.6764219
2018-07-28 09:30:00,-13.9625,1.899723
2018-07-28 10:00:00,-25.69164,-0.4088409
2018-07-28 10:30:00,-18.475042,-2.821299
2018-07-28 11:00:00,-17.14543,-4.6364856
