时间,真实值,预测值
2018-07-25 23:30:00,42.391376,6.227308
2018-07-26 00:00:00,7.7510285,6.3634086
2018-07-26 00:30:00,7.4822836,6.115365
2018-07-26 01:00:00,3.355278,6.5640836
2018-07-26 01:30:00,4.7732563,6.4945717
2018-07-26 02:00:00,4.843734,5.449818
2018-07-26 02:30:00,4.9142065,5.8949275
2018-07-26 03:00:00,5.619554,7.4361215
2018-07-26 03:30:00,4.443017,5.975616
2018-07-26 04:00:00,-2.9978292,5.784265
2018-07-26 04:30:00,10.351522,5.9366546
2018-07-26 05:00:00,8.137016,5.3891063
2018-07-26 05:30:00,17.288946,3.7897305
2018-07-26 06:00:00,7.157698,-0.8984869
2018-07-26 06:30:00,13.257681,-0.18370612
2018-07-26 07:00:00,1.7393246,-1.6397852
2018-07-26 07:30:00,-9.779031,-4.087189
2018-07-26 08:00:00,-7.134819,-6.2266164
2018-07-26 08:30:00,-8.1670065,-9.127855
2018-07-26 09:00:00,-9.319551,-10.342567
2018-07-26 09:30:00,-12.254601,-15.002475
2018-07-26 10:00:00,-17.388987,-17.51787
2018-07-26 10:30:00,-24.315876,-19.051695
2018-07-26 11:00:00,-19.384172,-20.222107
2018-07-26 11:30:00,-31.685522,-22.97813
2018-07-26 12:00:00,-16.390364,-19.464859
2018-07-26 12:30:00,-15.588437,-21.61268
2018-07-26 13:00:00,-23.952736,-22.690098
2018-07-26 13:30:00,-18.220188,-19.525183
2018-07-26 14:00:00,-17.177326,-21.674782
2018-07-26 14:30:00,-24.131285,-16.30291
2018-07-26 15:00:00,-17.948454,-16.290287
2018-07-26 15:30:00,-22.859354,-14.5112915
2018-07-26 16:00:00,-19.44365,-10.305834
2018-07-26 16:30:00,-12.525674,-10.008788
2018-07-26 17:00:00,-17.620943,-7.434298
2018-07-26 17:30:00,-4.0231433,-4.4602523
2018-07-26 18:00:00,-1.9767619,-2.7636979
2018-07-26 18:30:00,2.1956367,-0.24218103
2018-07-26 19:00:00,6.368031,1.9604132
2018-07-26 19:30:00,16.040987,3.2955184
2018-07-26 20:00:00,25.713942,5.206341
2018-07-26 20:30:00,15.029607,6.390035
2018-07-26 21:00:00,17.568579,7.3154445
2018-07-26 21:30:00,17.224018,7.8926563
2018-07-26 22:00:00,16.879456,8.776273
2018-07-26 22:30:00,16.534893,8.583096
2018-07-26 23:00:00,16.190336,8.62359
2018-07-26 23:30:00,15.845774,11.135754
2018-07-27 00:00:00,15.501212,9.575172
2018-07-27 00:30:00,15.15665,8.802354
2018-07-27 01:00:00,14.812088,8.447733
2018-07-27 01:30:00,14.4675255,8.322202
2018-07-27 02:00:00,14.122968,7.8930583
2018-07-27 02:30:00,13.778406,6.695679
2018-07-27 03:00:00,13.433845,7.3939705
2018-07-27 03:30:00,13.089282,7.013344
2018-07-27 04:00:00,12.74472,5.417118
2018-07-27 04:30:00,12.400158,5.847
2018-07-27 05:00:00,12.0556,4.174263
2018-07-27 05:30:00,11.711039,3.624578
2018-07-27 06:00:00,11.366477,2.664651
2018-07-27 06:30:00,2.2563095,0.9261899
2018-07-27 07:00:00,0.56336844,-1.3568615
2018-07-27 07:30:00,-1.1295683,-3.98042
2018-07-27 08:00:00,-2.8225093,-6.512118
2018-07-27 08:30:00,-4.5154505,-10.162157
2018-07-27 09:00:00,-6.2083874,-12.073688
2018-07-27 09:30:00,-7.9013286,-14.104113
2018-07-27 10:00:00,-9.594269,-17.574148
2018-07-27 10:30:00,-11.287206,-21.053833
2018-07-27 11:00:00,-12.980146,-22.165892
2018-07-27 11:30:00,-14.673086,-24.785435
2018-07-27 12:00:00,-16.366024,-24.257963
2018-07-27 12:30:00,-18.058964,-21.792444
2018-07-27 13:00:00,-24.650272,-24.666012
2018-07-27 13:30:00,-23.832281,-20.020798
2018-07-27 14:00:00,-14.167013,-20.404549
2018-07-27 14:30:00,-21.019697,-19.637964
2018-07-27 15:00:00,-22.745687,-16.45362
2018-07-27 15:30:00,-14.631099,-17.039791
2018-07-27 16:00:00,-13.521618,-12.467151
2018-07-27 16:30:00,-14.239326,-9.514389
2018-07-27 17:00:00,-11.147906,-9.3626375
2018-07-27 17:30:00,-4.386371,-4.5149612
2018-07-27 18:00:00,-3.8519351,-3.6023364
2018-07-27 18:30:00,-0.7601273,-0.89527106
2018-07-27 19:00:00,2.3316808,1.8951964
2018-07-27 19:30:00,11.0862665,4.255048
2018-07-27 20:00:00,-27.292652,7.22572
2018-07-27 20:30:00,-24.57848,7.706046
2018-07-27 21:00:00,-21.864311,9.911079
2018-07-27 21:30:00,-19.15014,9.567448
2018-07-27 22:00:00,-16.435966,10.155736
2018-07-27 22:30:00,-13.721797,9.212378
2018-07-27 23:00:00,-11.007625,7.8256087
2018-07-27 23:30:00,-8.293455,8.450294
2018-07-28 00:00:00,-5.579285,7.639938
2018-07-28 00:30:00,-2.8651147,8.1118965
2018-07-28 01:00:00,-0.1509448,7.9825644
2018-07-28 01:30:00,2.5632255,7.452214
2018-07-28 02:00:00,5.2773995,8.425996
2018-07-28 02:30:00,7.9915695,8.908909
2018-07-28 03:00:00,7.1563435,8.503932
2018-07-28 03:30:00,6.3211217,10.874782
2018-07-28 04:00:00,5.4859004,9.8078575
2018-07-28 04:30:00,4.6506743,11.11388
2018-07-28 05:00:00,3.8154528,10.004172
2018-07-28 05:30:00,5.0560136,6.3942513
2018-07-28 06:00:00,7.026395,6.626635
2018-07-28 06:30:00,4.5030866,2.8566048
2018-07-28 07:00:00,-6.083057,0.94913334
2018-07-28 07:30:00,-4.4361296,-0.5089818
2018-07-28 08:00:00,-4.6948647,-4.2934093
2018-07-28 08:30:00,-2.858766,-5.806513
2018-07-28 09:00:00,-8.621086,-8.540148
2018-07-28 09:30:00,-13.9625,-10.281614
2018-07-28 10:00:00,-25.69164,-11.591531
2018-07-28 10:30:00,-18.475042,-13.045932
2018-07-28 11:00:00,-17.14543,-13.381484
2018-07-28 11:30:00,-24.660486,-14.850178
2018-07-28 12:00:00,-25.684952,-15.720817
2018-07-28 12:30:00,-28.317654,-17.209038
2018-07-28 13:00:00,-27.179781,-19.200527
2018-07-28 13:30:00,-24.388834,-20.001957
2018-07-28 14:00:00,-22.956675,-18.909477
2018-07-28 14:30:00,-19.48677,-19.786705
2018-07-28 15:00:00,-14.403572,-18.150578
2018-07-28 15:30:00,-14.702431,-15.549242
2018-07-28 16:00:00,-19.622494,-15.564355
2018-07-28 16:30:00,-19.665897,-11.5994215
2018-07-28 17:00:00,-12.633283,-8.748063
2018-07-28 17:30:00,-11.377035,-5.097342
2018-07-28 18:00:00,-6.676593,-2.885703
2018-07-28 18:30:00,-3.5327897,-0.5486817
2018-07-28 19:00:00,0.9774467,1.931462
2018-07-28 19:30:00,2.4138944,3.9474375
2018-07-28 20:00:00,17.955074,5.2028584
2018-07-28 20:30:00,15.900399,5.244197
2018-07-28 21:00:00,-22.039137,5.6194797
2018-07-28 21:30:00,17.837612,4.4097924
2018-07-28 22:00:00,20.475708,4.2391305
2018-07-28 22:30:00,6.0276814,4.2380204
2018-07-28 23:00:00,12.873031,3.9909081
2018-07-28 23:30:00,19.718378,3.583231
2018-07-29 00:00:00,26.563726,4.647821
2018-07-29 00:30:00,15.260902,4.555873
2018-07-29 01:00:00,3.9580812,4.270734
2018-07-29 01:30:00,2.3923185,3.8725731
2018-07-29 02:00:00,3.9359984,5.401961
2018-07-29 02:30:00,5.479678,4.9826264
2018-07-29 03:00:00,7.0233583,4.5640826
2018-07-29 03:30:00,14.019747,4.8478847
2018-07-29 04:00:00,9.38931,4.9803762
2018-07-29 04:30:00,-5.8243265,4.218621
2018-07-29 05:00:00,4.330454,4.1689587
2018-07-29 05:30:00,14.485239,3.1631536
2018-07-29 06:00:00,5.1508503,2.927904
2018-07-29 06:30:00,-4.183542,1.472786
2018-07-29 07:00:00,-13.51793,-0.71989
2018-07-29 07:30:00,-6.413004,-2.9617996
2018-07-29 08:00:00,-5.727926,-5.234784
2018-07-29 08:30:00,-13.963234,-6.6983395
2018-07-29 09:00:00,-14.274739,-10.026009
2018-07-29 09:30:00,-17.51702,-12.472866
2018-07-29 10:00:00,-18.040487,-18.250986
2018-07-29 10:30:00,-19.667141,-18.874456
2018-07-29 11:00:00,-22.21754,-20.208689
2018-07-29 11:30:00,-21.040516,-21.746399
2018-07-29 12:00:00,-26.42999,-21.523869
2018-07-29 12:30:00,-20.427803,-24.756693
2018-07-29 13:00:00,-18.281633,-23.930748
2018-07-29 13:30:00,-15.957052,-21.594618
2018-07-29 14:00:00,-14.039068,-19.47367
2018-07-29 14:30:00,-19.526794,-18.68317
2018-07-29 15:00:00,-21.105865,-14.871976
2018-07-29 15:30:00,-16.608442,-13.30929
2018-07-29 16:00:00,-18.312607,-12.582642
2018-07-29 16:30:00,-11.887125,-9.768051
2018-07-29 17:00:00,-7.2395434,-7.3272667
2018-07-29 17:30:00,-5.302059,-5.425506
2018-07-29 18:00:00,-9.119257,-3.8499122
2018-07-29 18:30:00,-3.3777566,-1.9265407
2018-07-29 19:00:00,1.9233962,0.8511508
2018-07-29 19:30:00,7.2245445,1.9771872
2018-07-29 20:00:00,8.540316,4.009788
2018-07-29 20:30:00,13.223622,5.3273234
2018-07-29 21:00:00,17.906923,3.0461514
2018-07-29 21:30:00,22.590223,6.400303
2018-07-29 22:00:00,27.273525,6.535604
2018-07-29 22:30:00,15.010198,6.181172
2018-07-29 23:00:00,4.310023,5.4070425
2018-07-29 23:30:00,18.545725,5.357769
2018-07-30 00:00:00,13.302598,8.49154
2018-07-30 00:30:00,8.059469,7.2947164
2018-07-30 01:00:00,17.261284,5.8238993
2018-07-30 01:30:00,5.078612,5.238801
2018-07-30 02:00:00,6.6328263,5.5068164
2018-07-30 02:30:00,6.3705044,4.6342673
2018-07-30 03:00:00,6.1081862,5.001292
2018-07-30 03:30:00,5.8458643,5.0445704
2018-07-30 04:00:00,11.182226,5.1370783
2018-07-30 04:30:00,15.435213,4.553535
2018-07-30 05:00:00,5.798505,5.64286
2018-07-30 05:30:00,14.166801,4.809251
2018-07-30 06:00:00,22.535091,3.715718
2018-07-30 06:30:00,30.903393,1.8502403
2018-07-30 07:00:00,-10.068308,0.06436767
2018-07-30 07:30:00,-8.541656,-2.1094632
2018-07-30 08:00:00,-6.605093,-4.2737036
2018-07-30 08:30:00,-14.874156,-6.970165
2018-07-30 09:00:00,-25.045712,-10.141118
2018-07-30 09:30:00,-23.805569,-14.406567
2018-07-30 10:00:00,-21.427992,-17.518414
2018-07-30 10:30:00,-22.410004,-19.843437
2018-07-30 11:00:00,-22.030146,-23.316654
2018-07-30 11:30:00,-23.283754,-23.790657
